File: 2mm-cv-au-50mv
Potential/V, Current/A
0.500, 8.202e-7
0.499, 7.813e-7
0.498, 7.489e-7
0.497, 7.229e-7
0.496, 7.055e-7
0.495, 6.924e-7
0.494, 6.813e-7
0.493, 6.702e-7
0.492, 6.606e-7
0.491, 6.525e-7
0.490, 6.453e-7
0.489, 6.393e-7
0.488, 6.344e-7
0.487, 6.307e-7
0.486, 6.278e-7
0.485, 6.254e-7
0.484, 6.233e-7
0.483, 6.212e-7
0.482, 6.189e-7
0.481, 6.162e-7
0.480, 6.133e-7
0.479, 6.100e-7
0.478, 6.064e-7
0.477, 6.026e-7
0.476, 5.987e-7
0.475, 5.947e-7
0.474, 5.907e-7
0.473, 5.868e-7
0.472, 5.829e-7
0.471, 5.789e-7
0.470, 5.750e-7
0.469, 5.711e-7
0.468, 5.673e-7
0.467, 5.636e-7
0.466, 5.598e-7
0.465, 5.560e-7
0.464, 5.521e-7
0.463, 5.481e-7
0.462, 5.440e-7
0.461, 5.402e-7
0.460, 5.367e-7
0.459, 5.333e-7
0.458, 5.301e-7
0.457, 5.269e-7
0.456, 5.239e-7
0.455, 5.211e-7
0.454, 5.184e-7
0.453, 5.157e-7
0.452, 5.130e-7
0.451, 5.105e-7
0.450, 5.079e-7
0.449, 5.055e-7
0.448, 5.033e-7
0.447, 5.012e-7
0.446, 4.992e-7
0.445, 4.971e-7
0.444, 4.950e-7
0.443, 4.929e-7
0.442, 4.908e-7
0.441, 4.887e-7
0.440, 4.865e-7
0.439, 4.841e-7
0.438, 4.817e-7
0.437, 4.791e-7
0.436, 4.765e-7
0.435, 4.740e-7
0.434, 4.716e-7
0.433, 4.693e-7
0.432, 4.672e-7
0.431, 4.650e-7
0.430, 4.628e-7
0.429, 4.605e-7
0.428, 4.583e-7
0.427, 4.559e-7
0.426, 4.535e-7
0.425, 4.510e-7
0.424, 4.485e-7
0.423, 4.460e-7
0.422, 4.436e-7
0.421, 4.412e-7
0.420, 4.388e-7
0.419, 4.366e-7
0.418, 4.345e-7
0.417, 4.324e-7
0.416, 4.304e-7
0.415, 4.282e-7
0.414, 4.261e-7
0.413, 4.238e-7
0.412, 4.212e-7
0.411, 4.182e-7
0.410, 4.152e-7
0.409, 4.125e-7
0.408, 4.105e-7
0.407, 4.090e-7
0.406, 4.076e-7
0.405, 4.061e-7
0.404, 4.043e-7
0.403, 4.023e-7
0.402, 4.003e-7
0.401, 3.982e-7
0.400, 3.963e-7
0.399, 3.946e-7
0.398, 3.930e-7
0.397, 3.915e-7
0.396, 3.901e-7
0.395, 3.886e-7
0.394, 3.873e-7
0.393, 3.861e-7
0.392, 3.849e-7
0.391, 3.838e-7
0.390, 3.826e-7
0.389, 3.812e-7
0.388, 3.800e-7
0.387, 3.786e-7
0.386, 3.771e-7
0.385, 3.755e-7
0.384, 3.739e-7
0.383, 3.724e-7
0.382, 3.710e-7
0.381, 3.697e-7
0.380, 3.683e-7
0.379, 3.668e-7
0.378, 3.653e-7
0.377, 3.637e-7
0.376, 3.620e-7
0.375, 3.601e-7
0.374, 3.582e-7
0.373, 3.562e-7
0.372, 3.541e-7
0.371, 3.518e-7
0.370, 3.495e-7
0.369, 3.472e-7
0.368, 3.452e-7
0.367, 3.431e-7
0.366, 3.411e-7
0.365, 3.390e-7
0.364, 3.366e-7
0.363, 3.341e-7
0.362, 3.316e-7
0.361, 3.290e-7
0.360, 3.264e-7
0.359, 3.237e-7
0.358, 3.211e-7
0.357, 3.186e-7
0.356, 3.161e-7
0.355, 3.135e-7
0.354, 3.107e-7
0.353, 3.079e-7
0.352, 3.050e-7
0.351, 3.020e-7
0.350, 2.989e-7
0.349, 2.959e-7
0.348, 2.929e-7
0.347, 2.898e-7
0.346, 2.865e-7
0.345, 2.833e-7
0.344, 2.800e-7
0.343, 2.770e-7
0.342, 2.742e-7
0.341, 2.714e-7
0.340, 2.687e-7
0.339, 2.660e-7
0.338, 2.632e-7
0.337, 2.604e-7
0.336, 2.574e-7
0.335, 2.541e-7
0.334, 2.504e-7
0.333, 2.465e-7
0.332, 2.426e-7
0.331, 2.386e-7
0.330, 2.343e-7
0.329, 2.296e-7
0.328, 2.242e-7
0.327, 2.184e-7
0.326, 2.121e-7
0.325, 2.053e-7
0.324, 1.981e-7
0.323, 1.905e-7
0.322, 1.828e-7
0.321, 1.751e-7
0.320, 1.677e-7
0.319, 1.606e-7
0.318, 1.542e-7
0.317, 1.485e-7
0.316, 1.436e-7
0.315, 1.392e-7
0.314, 1.350e-7
0.313, 1.307e-7
0.312, 1.258e-7
0.311, 1.198e-7
0.310, 1.129e-7
0.309, 1.050e-7
0.308, 9.612e-8
0.307, 8.665e-8
0.306, 7.640e-8
0.305, 6.546e-8
0.304, 5.431e-8
0.303, 4.317e-8
0.302, 3.233e-8
0.301, 2.216e-8
0.300, 1.212e-8
0.299, 1.248e-9
0.298, -1.118e-8
0.297, -2.596e-8
0.296, -4.294e-8
0.295, -6.071e-8
0.294, -7.763e-8
0.293, -9.275e-8
0.292, -1.059e-7
0.291, -1.183e-7
0.290, -1.318e-7
0.289, -1.477e-7
0.288, -1.659e-7
0.287, -1.853e-7
0.286, -2.045e-7
0.285, -2.237e-7
0.284, -2.444e-7
0.283, -2.683e-7
0.282, -2.942e-7
0.281, -3.192e-7
0.280, -3.408e-7
0.279, -3.596e-7
0.278, -3.790e-7
0.277, -4.020e-7
0.276, -4.288e-7
0.275, -4.583e-7
0.274, -4.888e-7
0.273, -5.199e-7
0.272, -5.515e-7
0.271, -5.838e-7
0.270, -6.160e-7
0.269, -6.492e-7
0.268, -6.841e-7
0.267, -7.210e-7
0.266, -7.601e-7
0.265, -8.009e-7
0.264, -8.415e-7
0.263, -8.824e-7
0.262, -9.241e-7
0.261, -9.667e-7
0.260, -1.010e-6
0.259, -1.055e-6
0.258, -1.101e-6
0.257, -1.152e-6
0.256, -1.206e-6
0.255, -1.261e-6
0.254, -1.315e-6
0.253, -1.369e-6
0.252, -1.424e-6
0.251, -1.482e-6
0.250, -1.544e-6
0.249, -1.608e-6
0.248, -1.674e-6
0.247, -1.742e-6
0.246, -1.810e-6
0.245, -1.879e-6
0.244, -1.951e-6
0.243, -2.026e-6
0.242, -2.104e-6
0.241, -2.185e-6
0.240, -2.266e-6
0.239, -2.346e-6
0.238, -2.428e-6
0.237, -2.514e-6
0.236, -2.602e-6
0.235, -2.693e-6
0.234, -2.785e-6
0.233, -2.880e-6
0.232, -2.981e-6
0.231, -3.085e-6
0.230, -3.189e-6
0.229, -3.291e-6
0.228, -3.391e-6
0.227, -3.492e-6
0.226, -3.598e-6
0.225, -3.708e-6
0.224, -3.820e-6
0.223, -3.934e-6
0.222, -4.048e-6
0.221, -4.165e-6
0.220, -4.284e-6
0.219, -4.407e-6
0.218, -4.532e-6
0.217, -4.657e-6
0.216, -4.783e-6
0.215, -4.907e-6
0.214, -5.030e-6
0.213, -5.155e-6
0.212, -5.280e-6
0.211, -5.406e-6
0.210, -5.533e-6
0.209, -5.662e-6
0.208, -5.791e-6
0.207, -5.920e-6
0.206, -6.047e-6
0.205, -6.174e-6
0.204, -6.301e-6
0.203, -6.431e-6
0.202, -6.559e-6
0.201, -6.686e-6
0.200, -6.811e-6
0.199, -6.935e-6
0.198, -7.057e-6
0.197, -7.178e-6
0.196, -7.296e-6
0.195, -7.413e-6
0.194, -7.528e-6
0.193, -7.645e-6
0.192, -7.760e-6
0.191, -7.872e-6
0.190, -7.981e-6
0.189, -8.086e-6
0.188, -8.187e-6
0.187, -8.286e-6
0.186, -8.382e-6
0.185, -8.475e-6
0.184, -8.565e-6
0.183, -8.653e-6
0.182, -8.737e-6
0.181, -8.821e-6
0.180, -8.903e-6
0.179, -8.981e-6
0.178, -9.054e-6
0.177, -9.119e-6
0.176, -9.177e-6
0.175, -9.231e-6
0.174, -9.282e-6
0.173, -9.331e-6
0.172, -9.377e-6
0.171, -9.420e-6
0.170, -9.461e-6
0.169, -9.499e-6
0.168, -9.537e-6
0.167, -9.573e-6
0.166, -9.605e-6
0.165, -9.630e-6
0.164, -9.647e-6
0.163, -9.657e-6
0.162, -9.663e-6
0.161, -9.667e-6
0.160, -9.670e-6
0.159, -9.671e-6
0.158, -9.671e-6
0.157, -9.669e-6
0.156, -9.666e-6
0.155, -9.662e-6
0.154, -9.658e-6
0.153, -9.651e-6
0.152, -9.640e-6
0.151, -9.622e-6
0.150, -9.597e-6
0.149, -9.568e-6
0.148, -9.536e-6
0.147, -9.505e-6
0.146, -9.475e-6
0.145, -9.446e-6
0.144, -9.416e-6
0.143, -9.386e-6
0.142, -9.353e-6
0.141, -9.316e-6
0.140, -9.277e-6
0.139, -9.238e-6
0.138, -9.200e-6
0.137, -9.163e-6
0.136, -9.124e-6
0.135, -9.080e-6
0.134, -9.035e-6
0.133, -8.989e-6
0.132, -8.945e-6
0.131, -8.901e-6
0.130, -8.857e-6
0.129, -8.811e-6
0.128, -8.765e-6
0.127, -8.720e-6
0.126, -8.674e-6
0.125, -8.628e-6
0.124, -8.578e-6
0.123, -8.528e-6
0.122, -8.479e-6
0.121, -8.430e-6
0.120, -8.381e-6
0.119, -8.331e-6
0.118, -8.282e-6
0.117, -8.235e-6
0.116, -8.191e-6
0.115, -8.146e-6
0.114, -8.100e-6
0.113, -8.051e-6
0.112, -8.002e-6
0.111, -7.953e-6
0.110, -7.905e-6
0.109, -7.858e-6
0.108, -7.811e-6
0.107, -7.767e-6
0.106, -7.723e-6
0.105, -7.681e-6
0.104, -7.637e-6
0.103, -7.590e-6
0.102, -7.544e-6
0.101, -7.499e-6
0.100, -7.457e-6
0.099, -7.417e-6
0.098, -7.376e-6
0.097, -7.334e-6
0.096, -7.293e-6
0.095, -7.255e-6
0.094, -7.219e-6
0.093, -7.185e-6
0.092, -7.147e-6
0.091, -7.106e-6
0.090, -7.065e-6
0.089, -7.024e-6
0.088, -6.986e-6
0.087, -6.950e-6
0.086, -6.914e-6
0.085, -6.876e-6
0.084, -6.838e-6
0.083, -6.802e-6
0.082, -6.767e-6
0.081, -6.734e-6
0.080, -6.702e-6
0.079, -6.670e-6
0.078, -6.637e-6
0.077, -6.603e-6
0.076, -6.570e-6
0.075, -6.539e-6
0.074, -6.508e-6
0.073, -6.478e-6
0.072, -6.447e-6
0.071, -6.415e-6
0.070, -6.382e-6
0.069, -6.349e-6
0.068, -6.317e-6
0.067, -6.287e-6
0.066, -6.261e-6
0.065, -6.238e-6
0.064, -6.214e-6
0.063, -6.189e-6
0.062, -6.160e-6
0.061, -6.130e-6
0.060, -6.100e-6
0.059, -6.072e-6
0.058, -6.045e-6
0.057, -6.020e-6
0.056, -5.996e-6
0.055, -5.972e-6
0.054, -5.948e-6
0.053, -5.922e-6
0.052, -5.896e-6
0.051, -5.871e-6
0.050, -5.847e-6
0.049, -5.823e-6
0.048, -5.800e-6
0.047, -5.777e-6
0.046, -5.757e-6
0.045, -5.740e-6
0.044, -5.723e-6
0.043, -5.704e-6
0.042, -5.681e-6
0.041, -5.657e-6
0.040, -5.634e-6
0.039, -5.612e-6
0.038, -5.592e-6
0.037, -5.571e-6
0.036, -5.548e-6
0.035, -5.527e-6
0.034, -5.508e-6
0.033, -5.491e-6
0.032, -5.475e-6
0.031, -5.457e-6
0.030, -5.438e-6
0.029, -5.418e-6
0.028, -5.398e-6
0.027, -5.380e-6
0.026, -5.363e-6
0.025, -5.346e-6
0.024, -5.328e-6
0.023, -5.309e-6
0.022, -5.291e-6
0.021, -5.275e-6
0.020, -5.261e-6
0.019, -5.250e-6
0.018, -5.241e-6
0.017, -5.230e-6
0.016, -5.217e-6
0.015, -5.200e-6
0.014, -5.182e-6
0.013, -5.163e-6
0.012, -5.146e-6
0.011, -5.130e-6
0.010, -5.115e-6
0.009, -5.100e-6
0.008, -5.085e-6
0.007, -5.069e-6
0.006, -5.053e-6
0.005, -5.038e-6
0.004, -5.025e-6
0.003, -5.013e-6
0.002, -5.003e-6
0.001, -4.993e-6
0.000, -4.982e-6
-0.001, -4.970e-6
-0.002, -4.955e-6
-0.003, -4.940e-6
-0.004, -4.925e-6
-0.005, -4.911e-6
-0.006, -4.898e-6
-0.007, -4.886e-6
-0.008, -4.875e-6
-0.009, -4.863e-6
-0.010, -4.852e-6
-0.011, -4.839e-6
-0.012, -4.827e-6
-0.013, -4.814e-6
-0.014, -4.802e-6
-0.015, -4.791e-6
-0.016, -4.780e-6
-0.017, -4.770e-6
-0.018, -4.762e-6
-0.019, -4.755e-6
-0.020, -4.748e-6
-0.021, -4.740e-6
-0.022, -4.729e-6
-0.023, -4.716e-6
-0.024, -4.702e-6
-0.025, -4.688e-6
-0.026, -4.674e-6
-0.027, -4.661e-6
-0.028, -4.650e-6
-0.029, -4.640e-6
-0.030, -4.632e-6
-0.031, -4.623e-6
-0.032, -4.614e-6
-0.033, -4.604e-6
-0.034, -4.594e-6
-0.035, -4.583e-6
-0.036, -4.572e-6
-0.037, -4.561e-6
-0.038, -4.551e-6
-0.039, -4.541e-6
-0.040, -4.532e-6
-0.041, -4.524e-6
-0.042, -4.516e-6
-0.043, -4.510e-6
-0.044, -4.503e-6
-0.045, -4.496e-6
-0.046, -4.488e-6
-0.047, -4.479e-6
-0.048, -4.469e-6
-0.049, -4.459e-6
-0.050, -4.449e-6
-0.051, -4.440e-6
-0.052, -4.430e-6
-0.053, -4.421e-6
-0.054, -4.412e-6
-0.055, -4.404e-6
-0.056, -4.397e-6
-0.057, -4.390e-6
-0.058, -4.383e-6
-0.059, -4.376e-6
-0.060, -4.369e-6
-0.061, -4.361e-6
-0.062, -4.352e-6
-0.063, -4.344e-6
-0.064, -4.335e-6
-0.065, -4.326e-6
-0.066, -4.317e-6
-0.067, -4.308e-6
