100 mV/s
Potential/V, Current/A
0.500, 6.202e-7
0.499, 5.747e-7
0.498, 5.379e-7
0.497, 5.100e-7
0.496, 4.936e-7
0.495, 4.831e-7
0.494, 4.747e-7
0.493, 4.654e-7
0.492, 4.556e-7
0.491, 4.465e-7
0.490, 4.375e-7
0.489, 4.290e-7
0.488, 4.206e-7
0.487, 4.129e-7
0.486, 4.059e-7
0.485, 4.002e-7
0.484, 3.951e-7
0.483, 3.910e-7
0.482, 3.869e-7
0.481, 3.833e-7
0.480, 3.799e-7
0.479, 3.765e-7
0.478, 3.730e-7
0.477, 3.694e-7
0.476, 3.654e-7
0.475, 3.614e-7
0.474, 3.572e-7
0.473, 3.533e-7
0.472, 3.492e-7
0.471, 3.454e-7
0.470, 3.414e-7
0.469, 3.373e-7
0.468, 3.333e-7
0.467, 3.298e-7
0.466, 3.262e-7
0.465, 3.227e-7
0.464, 3.187e-7
0.463, 3.147e-7
0.462, 3.105e-7
0.461, 3.070e-7
0.460, 3.034e-7
0.459, 3.001e-7
0.458, 2.968e-7
0.457, 2.940e-7
0.456, 2.911e-7
0.455, 2.888e-7
0.454, 2.862e-7
0.453, 2.836e-7
0.452, 2.810e-7
0.451, 2.785e-7
0.450, 2.757e-7
0.449, 2.733e-7
0.448, 2.707e-7
0.447, 2.684e-7
0.446, 2.663e-7
0.445, 2.646e-7
0.444, 2.629e-7
0.443, 2.614e-7
0.442, 2.597e-7
0.441, 2.580e-7
0.440, 2.561e-7
0.439, 2.542e-7
0.438, 2.521e-7
0.437, 2.499e-7
0.436, 2.475e-7
0.435, 2.456e-7
0.434, 2.436e-7
0.433, 2.419e-7
0.432, 2.401e-7
0.431, 2.384e-7
0.430, 2.365e-7
0.429, 2.350e-7
0.428, 2.330e-7
0.427, 2.308e-7
0.426, 2.284e-7
0.425, 2.262e-7
0.424, 2.236e-7
0.423, 2.214e-7
0.422, 2.189e-7
0.421, 2.162e-7
0.420, 2.136e-7
0.419, 2.117e-7
0.418, 2.097e-7
0.417, 2.080e-7
0.416, 2.059e-7
0.415, 2.036e-7
0.414, 2.009e-7
0.413, 1.982e-7
0.412, 1.946e-7
0.411, 1.910e-7
0.410, 1.873e-7
0.409, 1.845e-7
0.408, 1.824e-7
0.407, 1.810e-7
0.406, 1.795e-7
0.405, 1.782e-7
0.404, 1.767e-7
0.403, 1.754e-7
0.402, 1.731e-7
0.401, 1.707e-7
0.400, 1.680e-7
0.399, 1.656e-7
0.398, 1.633e-7
0.397, 1.616e-7
0.396, 1.594e-7
0.395, 1.577e-7
0.394, 1.560e-7
0.393, 1.546e-7
0.392, 1.531e-7
0.391, 1.519e-7
0.390, 1.503e-7
0.389, 1.489e-7
0.388, 1.473e-7
0.387, 1.459e-7
0.386, 1.444e-7
0.385, 1.432e-7
0.384, 1.418e-7
0.383, 1.407e-7
0.382, 1.396e-7
0.381, 1.388e-7
0.380, 1.379e-7
0.379, 1.370e-7
0.378, 1.360e-7
0.377, 1.351e-7
0.376, 1.339e-7
0.375, 1.327e-7
0.374, 1.315e-7
0.373, 1.304e-7
0.372, 1.289e-7
0.371, 1.275e-7
0.370, 1.259e-7
0.369, 1.245e-7
0.368, 1.232e-7
0.367, 1.220e-7
0.366, 1.205e-7
0.365, 1.191e-7
0.364, 1.171e-7
0.363, 1.150e-7
0.362, 1.126e-7
0.361, 1.102e-7
0.360, 1.075e-7
0.359, 1.050e-7
0.358, 1.023e-7
0.357, 9.997e-8
0.356, 9.750e-8
0.355, 9.527e-8
0.354, 9.265e-8
0.353, 8.999e-8
0.352, 8.707e-8
0.351, 8.394e-8
0.350, 8.038e-8
0.349, 7.695e-8
0.348, 7.319e-8
0.347, 6.942e-8
0.346, 6.551e-8
0.345, 6.150e-8
0.344, 5.715e-8
0.343, 5.307e-8
0.342, 4.893e-8
0.341, 4.487e-8
0.340, 4.073e-8
0.339, 3.658e-8
0.338, 3.208e-8
0.337, 2.784e-8
0.336, 2.347e-8
0.335, 1.916e-8
0.334, 1.464e-8
0.333, 1.007e-8
0.332, 5.199e-9
0.331, 3.274e-10
0.330, -4.863e-9
0.329, -1.010e-8
0.328, -1.591e-8
0.327, -2.208e-8
0.326, -2.930e-8
0.325, -3.756e-8
0.324, -4.689e-8
0.323, -5.660e-8
0.322, -6.673e-8
0.321, -7.621e-8
0.320, -8.512e-8
0.319, -9.304e-8
0.318, -1.002e-7
0.317, -1.064e-7
0.316, -1.128e-7
0.315, -1.195e-7
0.314, -1.272e-7
0.313, -1.359e-7
0.312, -1.461e-7
0.311, -1.572e-7
0.310, -1.696e-7
0.309, -1.825e-7
0.308, -1.958e-7
0.307, -2.083e-7
0.306, -2.204e-7
0.305, -2.318e-7
0.304, -2.442e-7
0.303, -2.587e-7
0.302, -2.766e-7
0.301, -2.961e-7
0.300, -3.156e-7
0.299, -3.324e-7
0.298, -3.462e-7
0.297, -3.581e-7
0.296, -3.716e-7
0.295, -3.879e-7
0.294, -4.080e-7
0.293, -4.302e-7
0.292, -4.530e-7
0.291, -4.752e-7
0.290, -4.986e-7
0.289, -5.226e-7
0.288, -5.477e-7
0.287, -5.729e-7
0.286, -5.983e-7
0.285, -6.241e-7
0.284, -6.520e-7
0.283, -6.819e-7
0.282, -7.145e-7
0.281, -7.480e-7
0.280, -7.831e-7
0.279, -8.181e-7
0.278, -8.527e-7
0.277, -8.871e-7
0.276, -9.230e-7
0.275, -9.596e-7
0.274, -9.983e-7
0.273, -1.038e-6
0.272, -1.077e-6
0.271, -1.119e-6
0.270, -1.165e-6
0.269, -1.214e-6
0.268, -1.265e-6
0.267, -1.316e-6
0.266, -1.366e-6
0.265, -1.416e-6
0.264, -1.469e-6
0.263, -1.526e-6
0.262, -1.585e-6
0.261, -1.648e-6
0.260, -1.713e-6
0.259, -1.778e-6
0.258, -1.844e-6
0.257, -1.912e-6
0.256, -1.984e-6
0.255, -2.059e-6
0.254, -2.137e-6
0.253, -2.215e-6
0.252, -2.295e-6
0.251, -2.375e-6
0.250, -2.459e-6
0.249, -2.546e-6
0.248, -2.636e-6
0.247, -2.730e-6
0.246, -2.826e-6
0.245, -2.926e-6
0.244, -3.030e-6
0.243, -3.134e-6
0.242, -3.240e-6
0.241, -3.345e-6
0.240, -3.454e-6
0.239, -3.566e-6
0.238, -3.684e-6
0.237, -3.804e-6
0.236, -3.928e-6
0.235, -4.053e-6
0.234, -4.183e-6
0.233, -4.316e-6
0.232, -4.455e-6
0.231, -4.597e-6
0.230, -4.741e-6
0.229, -4.883e-6
0.228, -5.026e-6
0.227, -5.168e-6
0.226, -5.314e-6
0.225, -5.465e-6
0.224, -5.621e-6
0.223, -5.779e-6
0.222, -5.941e-6
0.221, -6.103e-6
0.220, -6.268e-6
0.219, -6.436e-6
0.218, -6.608e-6
0.217, -6.780e-6
0.216, -6.954e-6
0.215, -7.124e-6
0.214, -7.292e-6
0.213, -7.460e-6
0.212, -7.632e-6
0.211, -7.808e-6
0.210, -7.990e-6
0.209, -8.173e-6
0.208, -8.355e-6
0.207, -8.533e-6
0.206, -8.709e-6
0.205, -8.880e-6
0.204, -9.054e-6
0.203, -9.230e-6
0.202, -9.409e-6
0.201, -9.586e-6
0.200, -9.760e-6
0.199, -9.930e-6
0.198, -1.010e-5
0.197, -1.027e-5
0.196, -1.044e-5
0.195, -1.061e-5
0.194, -1.077e-5
0.193, -1.093e-5
0.192, -1.109e-5
0.191, -1.124e-5
0.190, -1.139e-5
0.189, -1.154e-5
0.188, -1.168e-5
0.187, -1.181e-5
0.186, -1.194e-5
0.185, -1.207e-5
0.184, -1.220e-5
0.183, -1.232e-5
0.182, -1.244e-5
0.181, -1.255e-5
0.180, -1.267e-5
0.179, -1.277e-5
0.178, -1.287e-5
0.177, -1.296e-5
0.176, -1.305e-5
0.175, -1.312e-5
0.174, -1.320e-5
0.173, -1.326e-5
0.172, -1.333e-5
0.171, -1.339e-5
0.170, -1.345e-5
0.169, -1.350e-5
0.168, -1.355e-5
0.167, -1.359e-5
0.166, -1.363e-5
0.165, -1.366e-5
0.164, -1.368e-5
0.163, -1.371e-5
0.162, -1.372e-5
0.161, -1.373e-5
0.160, -1.374e-5
0.159, -1.374e-5
0.158, -1.374e-5
0.157, -1.374e-5
0.156, -1.374e-5
0.155, -1.373e-5
0.154, -1.371e-5
0.153, -1.370e-5
0.152, -1.368e-5
0.151, -1.365e-5
0.150, -1.362e-5
0.149, -1.359e-5
0.148, -1.355e-5
0.147, -1.351e-5
0.146, -1.347e-5
0.145, -1.342e-5
