150 mV/s
Potential/V, Current/A
0.500, 1.292e-7
0.499, 1.082e-7
0.498, 9.152e-8
0.497, 7.901e-8
0.496, 7.221e-8
0.495, 6.803e-8
0.494, 6.443e-8
0.493, 6.009e-8
0.492, 5.554e-8
0.491, 5.108e-8
0.490, 4.739e-8
0.489, 4.399e-8
0.488, 4.064e-8
0.487, 3.775e-8
0.486, 3.505e-8
0.485, 3.242e-8
0.484, 3.034e-8
0.483, 2.852e-8
0.482, 2.657e-8
0.481, 2.493e-8
0.480, 2.352e-8
0.479, 2.169e-8
0.478, 2.009e-8
0.477, 1.847e-8
0.476, 1.658e-8
0.475, 1.494e-8
0.474, 1.338e-8
0.473, 1.169e-8
0.472, 1.051e-8
0.471, 9.447e-9
0.470, 8.296e-9
0.469, 7.345e-9
0.468, 6.231e-9
0.467, 4.950e-9
0.466, 3.947e-9
0.465, 2.890e-9
0.464, 1.610e-9
0.463, 2.267e-10
0.462, -1.309e-9
0.461, -2.852e-9
0.460, -3.935e-9
0.459, -4.792e-9
0.458, -5.766e-9
0.457, -6.809e-9
0.456, -7.804e-9
0.455, -8.947e-9
0.454, -9.926e-9
0.453, -1.093e-8
0.452, -1.228e-8
0.451, -1.348e-8
0.450, -1.459e-8
0.449, -1.587e-8
0.448, -1.680e-8
0.447, -1.774e-8
0.446, -1.900e-8
0.445, -1.981e-8
0.444, -2.077e-8
0.443, -2.198e-8
0.442, -2.284e-8
0.441, -2.392e-8
0.440, -2.537e-8
0.439, -2.646e-8
0.438, -2.787e-8
0.437, -2.960e-8
0.436, -3.099e-8
0.435, -3.220e-8
0.434, -3.344e-8
0.433, -3.395e-8
0.432, -3.454e-8
0.431, -3.552e-8
0.430, -3.636e-8
0.429, -3.746e-8
0.428, -3.920e-8
0.427, -4.041e-8
0.426, -4.184e-8
0.425, -4.355e-8
0.424, -4.472e-8
0.423, -4.592e-8
0.422, -4.736e-8
0.421, -4.841e-8
0.420, -4.967e-8
0.419, -5.102e-8
0.418, -5.192e-8
0.417, -5.272e-8
0.416, -5.386e-8
0.415, -5.515e-8
0.414, -5.680e-8
0.413, -5.902e-8
0.412, -6.127e-8
0.411, -6.326e-8
0.410, -6.520e-8
0.409, -6.627e-8
0.408, -6.700e-8
0.407, -6.824e-8
0.406, -6.949e-8
0.405, -7.093e-8
0.404, -7.283e-8
0.403, -7.429e-8
0.402, -7.593e-8
0.401, -7.789e-8
0.400, -7.931e-8
0.399, -8.075e-8
0.398, -8.249e-8
0.397, -8.399e-8
0.396, -8.592e-8
0.395, -8.797e-8
0.394, -8.931e-8
0.393, -9.057e-8
0.392, -9.207e-8
0.391, -9.342e-8
0.390, -9.532e-8
0.389, -9.739e-8
0.388, -9.896e-8
0.387, -1.003e-7
0.386, -1.020e-7
0.385, -1.037e-7
0.384, -1.056e-7
0.383, -1.075e-7
0.382, -1.090e-7
0.381, -1.103e-7
0.380, -1.119e-7
0.379, -1.135e-7
0.378, -1.153e-7
0.377, -1.175e-7
0.376, -1.197e-7
0.375, -1.220e-7
0.374, -1.246e-7
0.373, -1.270e-7
0.372, -1.294e-7
0.371, -1.325e-7
0.370, -1.357e-7
0.369, -1.392e-7
0.368, -1.430e-7
0.367, -1.466e-7
0.366, -1.504e-7
0.365, -1.547e-7
0.364, -1.591e-7
0.363, -1.637e-7
0.362, -1.689e-7
0.361, -1.743e-7
0.360, -1.802e-7
0.359, -1.864e-7
0.358, -1.923e-7
0.357, -1.978e-7
0.356, -2.032e-7
0.355, -2.082e-7
0.354, -2.135e-7
0.353, -2.190e-7
0.352, -2.242e-7
0.351, -2.295e-7
0.350, -2.352e-7
0.349, -2.411e-7
0.348, -2.480e-7
0.347, -2.563e-7
0.346, -2.652e-7
0.345, -2.750e-7
0.344, -2.857e-7
0.343, -2.966e-7
0.342, -3.076e-7
0.341, -3.187e-7
0.340, -3.287e-7
0.339, -3.373e-7
0.338, -3.449e-7
0.337, -3.513e-7
0.336, -3.575e-7
0.335, -3.652e-7
0.334, -3.743e-7
0.333, -3.851e-7
0.332, -3.977e-7
0.331, -4.113e-7
0.330, -4.257e-7
0.329, -4.409e-7
0.328, -4.556e-7
0.327, -4.699e-7
0.326, -4.844e-7
0.325, -4.996e-7
0.324, -5.167e-7
0.323, -5.356e-7
0.322, -5.546e-7
0.321, -5.728e-7
0.320, -5.899e-7
0.319, -6.068e-7
0.318, -6.251e-7
0.317, -6.455e-7
0.316, -6.670e-7
0.315, -6.887e-7
0.314, -7.106e-7
0.313, -7.335e-7
0.312, -7.584e-7
0.311, -7.853e-7
0.310, -8.124e-7
0.309, -8.392e-7
0.308, -8.661e-7
0.307, -8.932e-7
0.306, -9.213e-7
0.305, -9.509e-7
0.304, -9.808e-7
0.303, -1.011e-6
0.302, -1.043e-6
0.301, -1.074e-6
0.300, -1.105e-6
0.299, -1.140e-6
0.298, -1.177e-6
0.297, -1.218e-6
0.296, -1.261e-6
0.295, -1.303e-6
0.294, -1.342e-6
0.293, -1.382e-6
0.292, -1.424e-6
0.291, -1.469e-6
0.290, -1.517e-6
0.289, -1.567e-6
0.288, -1.617e-6
0.287, -1.671e-6
0.286, -1.727e-6
0.285, -1.782e-6
0.284, -1.836e-6
0.283, -1.892e-6
0.282, -1.950e-6
0.281, -2.013e-6
0.280, -2.079e-6
0.279, -2.147e-6
0.278, -2.216e-6
0.277, -2.284e-6
0.276, -2.353e-6
0.275, -2.425e-6
0.274, -2.499e-6
0.273, -2.576e-6
0.272, -2.657e-6
0.271, -2.739e-6
0.270, -2.821e-6
0.269, -2.909e-6
0.268, -3.000e-6
0.267, -3.094e-6
0.266, -3.188e-6
0.265, -3.282e-6
0.264, -3.375e-6
0.263, -3.473e-6
0.262, -3.576e-6
0.261, -3.683e-6
0.260, -3.794e-6
0.259, -3.906e-6
0.258, -4.021e-6
0.257, -4.141e-6
0.256, -4.263e-6
0.255, -4.388e-6
0.254, -4.515e-6
0.253, -4.645e-6
0.252, -4.778e-6
0.251, -4.912e-6
0.250, -5.049e-6
0.249, -5.188e-6
0.248, -5.331e-6
0.247, -5.478e-6
0.246, -5.629e-6
0.245, -5.785e-6
0.244, -5.944e-6
0.243, -6.107e-6
0.242, -6.274e-6
0.241, -6.443e-6
0.240, -6.614e-6
0.239, -6.789e-6
0.238, -6.966e-6
0.237, -7.143e-6
0.236, -7.323e-6
0.235, -7.506e-6
0.234, -7.696e-6
0.233, -7.893e-6
0.232, -8.095e-6
0.231, -8.301e-6
0.230, -8.510e-6
0.229, -8.720e-6
0.228, -8.931e-6
0.227, -9.145e-6
0.226, -9.362e-6
0.225, -9.582e-6
0.224, -9.806e-6
0.223, -1.003e-5
0.222, -1.026e-5
0.221, -1.050e-5
0.220, -1.073e-5
0.219, -1.097e-5
0.218, -1.121e-5
0.217, -1.146e-5
0.216, -1.170e-5
0.215, -1.195e-5
0.214, -1.220e-5
0.213, -1.245e-5
0.212, -1.271e-5
0.211, -1.296e-5
0.210, -1.322e-5
0.209, -1.348e-5
0.208, -1.374e-5
0.207, -1.401e-5
0.206, -1.427e-5
0.205, -1.454e-5
0.204, -1.480e-5
0.203, -1.507e-5
0.202, -1.534e-5
0.201, -1.561e-5
0.200, -1.589e-5
0.199, -1.616e-5
0.198, -1.643e-5
0.197, -1.670e-5
0.196, -1.698e-5
0.195, -1.725e-5
0.194, -1.753e-5
0.193, -1.780e-5
0.192, -1.807e-5
0.191, -1.834e-5
0.190, -1.861e-5
0.189, -1.888e-5
0.188, -1.915e-5
0.187, -1.942e-5
0.186, -1.968e-5
0.185, -1.994e-5
0.184, -2.020e-5
0.183, -2.046e-5
0.182, -2.071e-5
0.181, -2.097e-5
0.180, -2.122e-5
0.179, -2.148e-5
0.178, -2.172e-5
0.177, -2.197e-5
0.176, -2.221e-5
0.175, -2.244e-5
0.174, -2.267e-5
0.173, -2.289e-5
0.172, -2.311e-5
0.171, -2.333e-5
0.170, -2.354e-5
0.169, -2.375e-5
0.168, -2.396e-5
0.167, -2.417e-5
0.166, -2.437e-5
0.165, -2.456e-5
0.164, -2.475e-5
0.163, -2.493e-5
0.162, -2.511e-5
0.161, -2.528e-5
0.160, -2.545e-5
0.159, -2.561e-5
0.158, -2.577e-5
0.157, -2.593e-5
0.156, -2.608e-5
0.155, -2.623e-5
0.154, -2.637e-5
0.153, -2.651e-5
0.152, -2.664e-5
0.151, -2.676e-5
0.150, -2.687e-5
0.149, -2.697e-5
0.148, -2.708e-5
0.147, -2.718e-5
0.146, -2.728e-5
0.145, -2.737e-5
0.144, -2.745e-5
0.143, -2.753e-5
0.142, -2.761e-5
0.141, -2.768e-5
0.140, -2.775e-5
0.139, -2.781e-5
0.138, -2.786e-5
0.137, -2.791e-5
0.136, -2.796e-5
0.135, -2.800e-5
0.134, -2.804e-5
0.133, -2.807e-5
0.132, -2.809e-5
0.131, -2.812e-5
0.130, -2.814e-5
0.129, -2.816e-5
0.128, -2.818e-5
0.127, -2.819e-5
0.126, -2.819e-5
0.125, -2.819e-5
0.124, -2.818e-5
0.123, -2.817e-5
0.122, -2.815e-5
0.121, -2.813e-5
0.120, -2.811e-5
0.119, -2.809e-5
0.118, -2.806e-5
0.117, -2.804e-5
0.116, -2.801e-5
0.115, -2.797e-5
0.114, -2.793e-5
0.113, -2.789e-5
0.112, -2.785e-5
0.111, -2.780e-5
0.110, -2.776e-5
0.109, -2.771e-5
0.108, -2.766e-5
0.107, -2.760e-5
0.106, -2.755e-5
0.105, -2.749e-5
0.104, -2.742e-5
0.103, -2.736e-5
0.102, -2.730e-5
0.101, -2.724e-5
0.100, -2.717e-5
0.099, -2.710e-5
0.098, -2.702e-5
0.097, -2.695e-5
0.096, -2.688e-5
0.095, -2.681e-5
0.094, -2.674e-5
0.093, -2.667e-5
0.092, -2.659e-5
0.091, -2.651e-5
0.090, -2.643e-5
0.089, -2.635e-5
0.088, -2.627e-5
0.087, -2.619e-5
0.086, -2.611e-5
0.085, -2.602e-5
0.084, -2.594e-5
0.083, -2.586e-5
0.082, -2.577e-5
0.081, -2.569e-5
0.080, -2.560e-5
0.079, -2.552e-5
0.078, -2.543e-5
0.077, -2.535e-5
0.076, -2.527e-5
0.075, -2.518e-5
0.074, -2.509e-5
0.073, -2.500e-5
0.072, -2.492e-5
