20 mV/s
Potential/V, Current/A
0.500, 1.829e-6
0.499, 1.802e-6
0.498, 1.777e-6
0.497, 1.755e-6
0.496, 1.736e-6
0.495, 1.718e-6
0.494, 1.701e-6
0.493, 1.682e-6
0.492, 1.662e-6
0.491, 1.643e-6
0.490, 1.626e-6
0.489, 1.613e-6
0.488, 1.602e-6
0.487, 1.592e-6
0.486, 1.581e-6
0.485, 1.568e-6
0.484, 1.554e-6
0.483, 1.539e-6
0.482, 1.524e-6
0.481, 1.511e-6
0.480, 1.499e-6
0.479, 1.488e-6
0.478, 1.478e-6
0.477, 1.467e-6
0.476, 1.456e-6
0.475, 1.445e-6
0.474, 1.433e-6
0.473, 1.420e-6
0.472, 1.408e-6
0.471, 1.396e-6
0.470, 1.384e-6
0.469, 1.375e-6
0.468, 1.366e-6
0.467, 1.359e-6
0.466, 1.352e-6
0.465, 1.345e-6
0.464, 1.338e-6
0.463, 1.330e-6
0.462, 1.321e-6
0.461, 1.312e-6
0.460, 1.303e-6
0.459, 1.294e-6
0.458, 1.285e-6
0.457, 1.276e-6
0.456, 1.267e-6
0.455, 1.258e-6
0.454, 1.251e-6
0.453, 1.244e-6
0.452, 1.238e-6
0.451, 1.231e-6
0.450, 1.225e-6
0.449, 1.218e-6
0.448, 1.211e-6
0.447, 1.202e-6
0.446, 1.193e-6
0.445, 1.184e-6
0.444, 1.174e-6
0.443, 1.165e-6
0.442, 1.155e-6
0.441, 1.147e-6
0.440, 1.139e-6
0.439, 1.132e-6
0.438, 1.127e-6
0.437, 1.122e-6
0.436, 1.118e-6
0.435, 1.115e-6
0.434, 1.112e-6
0.433, 1.108e-6
0.432, 1.105e-6
0.431, 1.101e-6
0.430, 1.096e-6
0.429, 1.091e-6
0.428, 1.086e-6
0.427, 1.081e-6
0.426, 1.075e-6
0.425, 1.069e-6
0.424, 1.064e-6
0.423, 1.058e-6
0.422, 1.052e-6
0.421, 1.047e-6
0.420, 1.041e-6
0.419, 1.035e-6
0.418, 1.030e-6
0.417, 1.024e-6
0.416, 1.019e-6
0.415, 1.014e-6
0.414, 1.009e-6
0.413, 1.005e-6
0.412, 1.000e-6
0.411, 9.963e-7
0.410, 9.922e-7
0.409, 9.880e-7
0.408, 9.838e-7
0.407, 9.794e-7
0.406, 9.749e-7
0.405, 9.701e-7
0.404, 9.651e-7
0.403, 9.600e-7
0.402, 9.548e-7
0.401, 9.496e-7
0.400, 9.443e-7
0.399, 9.391e-7
0.398, 9.339e-7
0.397, 9.286e-7
0.396, 9.235e-7
0.395, 9.182e-7
0.394, 9.131e-7
0.393, 9.080e-7
0.392, 9.031e-7
0.391, 8.983e-7
0.390, 8.938e-7
0.389, 8.894e-7
0.388, 8.853e-7
0.387, 8.814e-7
0.386, 8.779e-7
0.385, 8.745e-7
0.384, 8.713e-7
0.383, 8.681e-7
0.382, 8.649e-7
0.381, 8.618e-7
0.380, 8.584e-7
0.379, 8.550e-7
0.378, 8.512e-7
0.377, 8.472e-7
0.376, 8.430e-7
0.375, 8.385e-7
0.374, 8.339e-7
0.373, 8.293e-7
0.372, 8.245e-7
0.371, 8.195e-7
0.370, 8.144e-7
0.369, 8.090e-7
0.368, 8.036e-7
0.367, 7.979e-7
0.366, 7.922e-7
0.365, 7.865e-7
0.364, 7.807e-7
0.363, 7.751e-7
0.362, 7.696e-7
0.361, 7.644e-7
0.360, 7.593e-7
0.359, 7.545e-7
0.358, 7.500e-7
0.357, 7.454e-7
0.356, 7.407e-7
0.355, 7.357e-7
0.354, 7.302e-7
0.353, 7.241e-7
0.352, 7.174e-7
0.351, 7.101e-7
0.350, 7.025e-7
0.349, 6.948e-7
0.348, 6.870e-7
0.347, 6.791e-7
0.346, 6.714e-7
0.345, 6.639e-7
0.344, 6.568e-7
0.343, 6.501e-7
0.342, 6.441e-7
0.341, 6.387e-7
0.340, 6.341e-7
0.339, 6.303e-7
0.338, 6.272e-7
0.337, 6.243e-7
0.336, 6.213e-7
0.335, 6.176e-7
0.334, 6.130e-7
0.333, 6.075e-7
0.332, 6.011e-7
0.331, 5.940e-7
0.330, 5.865e-7
0.329, 5.783e-7
0.328, 5.696e-7
0.327, 5.604e-7
0.326, 5.506e-7
0.325, 5.406e-7
0.324, 5.307e-7
0.323, 5.213e-7
0.322, 5.123e-7
0.321, 5.037e-7
0.320, 4.949e-7
0.319, 4.854e-7
0.318, 4.749e-7
0.317, 4.633e-7
0.316, 4.505e-7
0.315, 4.370e-7
0.314, 4.231e-7
0.313, 4.096e-7
0.312, 3.971e-7
0.311, 3.856e-7
0.310, 3.743e-7
0.309, 3.619e-7
0.308, 3.477e-7
0.307, 3.316e-7
0.306, 3.143e-7
0.305, 2.972e-7
0.304, 2.811e-7
0.303, 2.659e-7
0.302, 2.502e-7
0.301, 2.322e-7
0.300, 2.111e-7
0.299, 1.884e-7
0.298, 1.665e-7
0.297, 1.477e-7
0.296, 1.315e-7
0.295, 1.151e-7
0.294, 9.623e-8
0.293, 7.456e-8
0.292, 5.123e-8
0.291, 2.737e-8
0.290, 2.568e-9
0.289, -2.394e-8
0.288, -5.192e-8
0.287, -8.013e-8
0.286, -1.073e-7
0.285, -1.338e-7
0.284, -1.609e-7
0.283, -1.906e-7
0.282, -2.233e-7
0.281, -2.579e-7
0.280, -2.927e-7
0.279, -3.259e-7
0.278, -3.572e-7
0.277, -3.888e-7
0.276, -4.236e-7
0.275, -4.617e-7
0.274, -5.026e-7
0.273, -5.447e-7
0.272, -5.860e-7
0.271, -6.277e-7
0.270, -6.718e-7
0.269, -7.181e-7
0.268, -7.665e-7
0.267, -8.163e-7
0.266, -8.661e-7
0.265, -9.161e-7
0.264, -9.666e-7
0.263, -1.017e-6
0.262, -1.068e-6
0.261, -1.122e-6
0.260, -1.179e-6
