10 mM/l
Potential/V, Current/A
0.500, 5.789e-6
0.499, 5.708e-6
0.498, 5.643e-6
0.497, 5.594e-6
0.496, 5.569e-6
0.495, 5.554e-6
0.494, 5.540e-6
0.493, 5.523e-6
0.492, 5.509e-6
0.491, 5.497e-6
0.490, 5.487e-6
0.489, 5.475e-6
0.488, 5.463e-6
0.487, 5.450e-6
0.486, 5.436e-6
0.485, 5.421e-6
0.484, 5.407e-6
0.483, 5.393e-6
0.482, 5.382e-6
0.481, 5.368e-6
0.480, 5.352e-6
0.479, 5.333e-6
0.478, 5.316e-6
0.477, 5.305e-6
0.476, 5.301e-6
0.475, 5.299e-6
0.474, 5.294e-6
0.473, 5.285e-6
0.472, 5.273e-6
0.471, 5.261e-6
0.470, 5.249e-6
0.469, 5.239e-6
0.468, 5.230e-6
0.467, 5.221e-6
0.466, 5.207e-6
0.465, 5.191e-6
0.464, 5.177e-6
0.463, 5.168e-6
0.462, 5.162e-6
0.461, 5.153e-6
0.460, 5.141e-6
0.459, 5.125e-6
0.458, 5.111e-6
0.457, 5.098e-6
0.456, 5.083e-6
0.455, 5.067e-6
0.454, 5.055e-6
0.453, 5.048e-6
0.452, 5.047e-6
0.451, 5.044e-6
0.450, 5.035e-6
0.449, 5.025e-6
0.448, 5.017e-6
0.447, 5.010e-6
0.446, 5.001e-6
0.445, 4.987e-6
0.444, 4.971e-6
0.443, 4.957e-6
0.442, 4.948e-6
0.441, 4.939e-6
0.440, 4.929e-6
0.439, 4.917e-6
0.438, 4.906e-6
0.437, 4.896e-6
0.436, 4.885e-6
0.435, 4.872e-6
0.434, 4.857e-6
0.433, 4.841e-6
0.432, 4.831e-6
0.431, 4.820e-6
0.430, 4.812e-6
0.429, 4.804e-6
0.428, 4.795e-6
0.427, 4.785e-6
0.426, 4.773e-6
0.425, 4.757e-6
0.424, 4.738e-6
0.423, 4.720e-6
0.422, 4.709e-6
0.421, 4.698e-6
0.420, 4.688e-6
0.419, 4.672e-6
0.418, 4.652e-6
0.417, 4.634e-6
0.416, 4.619e-6
0.415, 4.605e-6
0.414, 4.593e-6
0.413, 4.580e-6
0.412, 4.568e-6
0.411, 4.559e-6
0.410, 4.549e-6
0.409, 4.540e-6
0.408, 4.529e-6
0.407, 4.515e-6
0.406, 4.502e-6
0.405, 4.486e-6
0.404, 4.470e-6
0.403, 4.455e-6
0.402, 4.441e-6
0.401, 4.424e-6
0.400, 4.407e-6
0.399, 4.387e-6
0.398, 4.366e-6
0.397, 4.345e-6
0.396, 4.324e-6
0.395, 4.304e-6
0.394, 4.288e-6
0.393, 4.270e-6
0.392, 4.253e-6
0.391, 4.235e-6
0.390, 4.215e-6
0.389, 4.193e-6
0.388, 4.169e-6
0.387, 4.141e-6
0.386, 4.114e-6
0.385, 4.090e-6
0.384, 4.073e-6
0.383, 4.058e-6
0.382, 4.040e-6
0.381, 4.017e-6
0.380, 3.991e-6
0.379, 3.962e-6
0.378, 3.935e-6
0.377, 3.907e-6
0.376, 3.876e-6
0.375, 3.847e-6
0.374, 3.819e-6
0.373, 3.791e-6
0.372, 3.765e-6
0.371, 3.736e-6
0.370, 3.701e-6
0.369, 3.666e-6
0.368, 3.630e-6
0.367, 3.595e-6
0.366, 3.562e-6
0.365, 3.526e-6
0.364, 3.489e-6
0.363, 3.451e-6
0.362, 3.413e-6
0.361, 3.374e-6
0.360, 3.333e-6
0.359, 3.286e-6
0.358, 3.239e-6
0.357, 3.194e-6
0.356, 3.152e-6
0.355, 3.109e-6
0.354, 3.067e-6
0.353, 3.020e-6
0.352, 2.970e-6
0.351, 2.917e-6
0.350, 2.859e-6
0.349, 2.800e-6
0.348, 2.743e-6
0.347, 2.688e-6
0.346, 2.632e-6
0.345, 2.573e-6
0.344, 2.510e-6
0.343, 2.442e-6
0.342, 2.373e-6
0.341, 2.305e-6
0.340, 2.236e-6
0.339, 2.167e-6
0.338, 2.097e-6
0.337, 2.021e-6
0.336, 1.938e-6
0.335, 1.852e-6
0.334, 1.762e-6
0.333, 1.673e-6
0.332, 1.585e-6
0.331, 1.493e-6
0.330, 1.398e-6
0.329, 1.304e-6
0.328, 1.207e-6
0.327, 1.110e-6
0.326, 1.010e-6
0.325, 9.006e-7
0.324, 7.857e-7
0.323, 6.679e-7
0.322, 5.464e-7
0.321, 4.203e-7
0.320, 2.914e-7
0.319, 1.601e-7
0.318, 2.705e-8
0.317, -1.052e-7
0.316, -2.406e-7
0.315, -3.832e-7
0.314, -5.318e-7
0.313, -6.837e-7
0.312, -8.404e-7
0.311, -1.002e-6
0.310, -1.171e-6
0.309, -1.344e-6
0.308, -1.522e-6
0.307, -1.701e-6
0.306, -1.884e-6
0.305, -2.075e-6
0.304, -2.274e-6
0.303, -2.476e-6
0.302, -2.681e-6
0.301, -2.889e-6
0.300, -3.106e-6
0.299, -3.333e-6
0.298, -3.568e-6
0.297, -3.807e-6
0.296, -4.053e-6
0.295, -4.308e-6
0.294, -4.575e-6
0.293, -4.850e-6
0.292, -5.125e-6
0.291, -5.405e-6
0.290, -5.694e-6
0.289, -5.991e-6
0.288, -6.299e-6
0.287, -6.612e-6
0.286, -6.930e-6
0.285, -7.261e-6
0.284, -7.604e-6
0.283, -7.958e-6
0.282, -8.323e-6
0.281, -8.694e-6
0.280, -9.074e-6
0.279, -9.467e-6
0.278, -9.867e-6
0.277, -1.027e-5
0.276, -1.069e-5
0.275, -1.112e-5
0.274, -1.157e-5
0.273, -1.202e-5
0.272, -1.248e-5
0.271, -1.296e-5
0.270, -1.345e-5
0.269, -1.396e-5
0.268, -1.447e-5
0.267, -1.499e-5
0.266, -1.553e-5
0.265, -1.608e-5
0.264, -1.664e-5
0.263, -1.723e-5
0.262, -1.782e-5
0.261, -1.842e-5
0.260, -1.904e-5
0.259, -1.968e-5
0.258, -2.034e-5
0.257, -2.100e-5
0.256, -2.169e-5
0.255, -2.239e-5
0.254, -2.311e-5
0.253, -2.384e-5
0.252, -2.458e-5
0.251, -2.532e-5
0.250, -2.609e-5
0.249, -2.689e-5
0.248, -2.770e-5
0.247, -2.852e-5
0.246, -2.935e-5
0.245, -3.020e-5
0.244, -3.108e-5
0.243, -3.197e-5
0.242, -3.288e-5
0.241, -3.381e-5
0.240, -3.475e-5
0.239, -3.572e-5
0.238, -3.669e-5
0.237, -3.769e-5
0.236, -3.869e-5
0.235, -3.972e-5
0.234, -4.078e-5
0.233, -4.186e-5
0.232, -4.295e-5
0.231, -4.406e-5
0.230, -4.520e-5
0.229, -4.635e-5
0.228, -4.752e-5
0.227, -4.870e-5
0.226, -4.989e-5
0.225, -5.110e-5
0.224, -5.234e-5
0.223, -5.358e-5
0.222, -5.484e-5
0.221, -5.611e-5
0.220, -5.740e-5
0.219, -5.873e-5
0.218, -6.008e-5
0.217, -6.144e-5
0.216, -6.281e-5
0.215, -6.420e-5
0.214, -6.561e-5
0.213, -6.703e-5
0.212, -6.845e-5
0.211, -6.988e-5
0.210, -7.132e-5
0.209, -7.279e-5
0.208, -7.428e-5
0.207, -7.577e-5
0.206, -7.727e-5
0.205, -7.877e-5
0.204, -8.030e-5
0.203, -8.184e-5
0.202, -8.339e-5
0.201, -8.494e-5
0.200, -8.651e-5
0.199, -8.810e-5
0.198, -8.969e-5
0.197, -9.130e-5
0.196, -9.291e-5
0.195, -9.453e-5
0.194, -9.617e-5
0.193, -9.782e-5
0.192, -9.946e-5
0.191, -1.011e-4
0.190, -1.027e-4
0.189, -1.044e-4
0.188, -1.060e-4
0.187, -1.077e-4
0.186, -1.093e-4
0.185, -1.110e-4
0.184, -1.126e-4
0.183, -1.143e-4
0.182, -1.159e-4
0.181, -1.176e-4
0.180, -1.192e-4
0.179, -1.209e-4
0.178, -1.226e-4
0.177, -1.242e-4
0.176, -1.258e-4
0.175, -1.274e-4
0.174, -1.290e-4
0.173, -1.306e-4
0.172, -1.322e-4
0.171, -1.337e-4
0.170, -1.353e-4
0.169, -1.368e-4
0.168, -1.384e-4
0.167, -1.399e-4
0.166, -1.414e-4
0.165, -1.429e-4
0.164, -1.444e-4
0.163, -1.458e-4
0.162, -1.473e-4
0.161, -1.487e-4
0.160, -1.500e-4
0.159, -1.514e-4
0.158, -1.528e-4
0.157, -1.541e-4
0.156, -1.555e-4
0.155, -1.568e-4
0.154, -1.581e-4
0.153, -1.593e-4
0.152, -1.606e-4
0.151, -1.618e-4
0.150, -1.629e-4
0.149, -1.641e-4
0.148, -1.652e-4
0.147, -1.663e-4
0.146, -1.674e-4
0.145, -1.684e-4
0.144, -1.694e-4
0.143, -1.704e-4
0.142, -1.714e-4
0.141, -1.723e-4
0.140, -1.732e-4
0.139, -1.741e-4
0.138, -1.750e-4
0.137, -1.758e-4
0.136, -1.765e-4
0.135, -1.773e-4
0.134, -1.780e-4
0.133, -1.787e-4
0.132, -1.794e-4
0.131, -1.801e-4
0.130, -1.807e-4
0.129, -1.813e-4
0.128, -1.819e-4
0.127, -1.824e-4
0.126, -1.829e-4
0.125, -1.834e-4
0.124, -1.838e-4
0.123, -1.843e-4
0.122, -1.846e-4
0.121, -1.850e-4
0.120, -1.853e-4
0.119, -1.856e-4
0.118, -1.859e-4
0.117, -1.861e-4
0.116, -1.864e-4
0.115, -1.866e-4
0.114, -1.867e-4
0.113, -1.869e-4
0.112, -1.870e-4
0.111, -1.871e-4
0.110, -1.872e-4
0.109, -1.872e-4
0.108, -1.873e-4
0.107, -1.873e-4
0.106, -1.873e-4
0.105, -1.872e-4
0.104, -1.872e-4
0.103, -1.871e-4
0.102, -1.870e-4
0.101, -1.869e-4
0.100, -1.868e-4
0.099, -1.866e-4
0.098, -1.864e-4
0.097, -1.862e-4
0.096, -1.860e-4
0.095, -1.858e-4
0.094, -1.855e-4
0.093, -1.853e-4
0.092, -1.850e-4
0.091, -1.847e-4
0.090, -1.844e-4
0.089, -1.841e-4
0.088, -1.838e-4
0.087, -1.834e-4
0.086, -1.831e-4
0.085, -1.827e-4
0.084, -1.823e-4
0.083, -1.819e-4
0.082, -1.815e-4
0.081, -1.811e-4
0.080, -1.807e-4
0.079, -1.803e-4
0.078, -1.799e-4
0.077, -1.794e-4
0.076, -1.790e-4
0.075, -1.786e-4
0.074, -1.781e-4
0.073, -1.776e-4
0.072, -1.771e-4
0.071, -1.766e-4
0.070, -1.761e-4
0.069, -1.756e-4
0.068, -1.751e-4
0.067, -1.746e-4
0.066, -1.741e-4
0.065, -1.736e-4
0.064, -1.731e-4
0.063, -1.726e-4
0.062, -1.721e-4
0.061, -1.715e-4
0.060, -1.710e-4
0.059, -1.704e-4
0.058, -1.699e-4
0.057, -1.693e-4
0.056, -1.688e-4
0.055, -1.682e-4
0.054, -1.677e-4
0.053, -1.672e-4
0.052, -1.666e-4
0.051, -1.661e-4
0.050, -1.656e-4
0.049, -1.650e-4
0.048, -1.645e-4
0.047, -1.639e-4
0.046, -1.634e-4
0.045, -1.628e-4
0.044, -1.623e-4
0.043, -1.617e-4
0.042, -1.612e-4
0.041, -1.606e-4
0.040, -1.601e-4
0.039, -1.595e-4
0.038, -1.590e-4
0.037, -1.585e-4
0.036, -1.579e-4
0.035, -1.574e-4
0.034, -1.568e-4
0.033, -1.563e-4
0.032, -1.558e-4
0.031, -1.552e-4
0.030, -1.547e-4
0.029, -1.542e-4
0.028, -1.537e-4
0.027, -1.531e-4
0.026, -1.526e-4
0.025, -1.521e-4
0.024, -1.516e-4
0.023, -1.511e-4
0.022, -1.506e-4
0.021, -1.500e-4
0.020, -1.495e-4
0.019, -1.490e-4
0.018, -1.485e-4
0.017, -1.480e-4
0.016, -1.475e-4
0.015, -1.470e-4
0.014, -1.466e-4
0.013, -1.461e-4
0.012, -1.456e-4
0.011, -1.451e-4
0.010, -1.446e-4
0.009, -1.441e-4
0.008, -1.437e-4
0.007, -1.432e-4
0.006, -1.427e-4
0.005, -1.422e-4
0.004, -1.418e-4
0.003, -1.413e-4
0.002, -1.408e-4
0.001, -1.404e-4
0.000, -1.400e-4
-0.001, -1.395e-4
-0.002, -1.391e-4
-0.003, -1.386e-4
-0.004, -1.382e-4
-0.005, -1.377e-4
-0.006, -1.373e-4
-0.007, -1.368e-4
-0.008, -1.364e-4
-0.009, -1.360e-4
-0.010, -1.355e-4
-0.011, -1.351e-4
-0.012, -1.347e-4
-0.013, -1.343e-4
-0.014, -1.339e-4
-0.015, -1.335e-4
-0.016, -1.331e-4
-0.017, -1.327e-4
-0.018, -1.323e-4
-0.019, -1.318e-4
-0.020, -1.314e-4
-0.021, -1.310e-4
-0.022, -1.307e-4
-0.023, -1.303e-4
-0.024, -1.299e-4
-0.025, -1.295e-4
-0.026, -1.291e-4
-0.027, -1.288e-4
-0.028, -1.284e-4
-0.029, -1.280e-4
-0.030, -1.276e-4
-0.031, -1.272e-4
-0.032, -1.269e-4
-0.033, -1.265e-4
-0.034, -1.261e-4
-0.035, -1.258e-4
-0.036, -1.254e-4
-0.037, -1.251e-4
-0.038, -1.247e-4
-0.039, -1.244e-4
-0.040, -1.240e-4
-0.041, -1.237e-4
-0.042, -1.233e-4
-0.043, -1.230e-4
-0.044, -1.227e-4
-0.045, -1.223e-4
-0.046, -1.220e-4
-0.047, -1.216e-4
-0.048, -1.213e-4
-0.049, -1.210e-4
-0.050, -1.207e-4
-0.051, -1.204e-4
-0.052, -1.200e-4
-0.053, -1.197e-4
-0.054, -1.194e-4
-0.055, -1.191e-4
-0.056, -1.188e-4
-0.057, -1.185e-4
-0.058, -1.182e-4
-0.059, -1.178e-4
-0.060, -1.175e-4
-0.061, -1.172e-4
-0.062, -1.169e-4
-0.063, -1.167e-4
-0.064, -1.164e-4
-0.065, -1.161e-4
-0.066, -1.158e-4
-0.067, -1.155e-4
-0.068, -1.152e-4
-0.069, -1.149e-4
-0.070, -1.146e-4
-0.071, -1.143e-4
-0.072, -1.141e-4
-0.073, -1.138e-4
-0.074, -1.135e-4
-0.075, -1.132e-4
-0.076, -1.130e-4
-0.077, -1.127e-4
-0.078, -1.124e-4
-0.079, -1.121e-4
-0.080, -1.119e-4
-0.081, -1.116e-4
-0.082, -1.114e-4
-0.083, -1.111e-4
-0.084, -1.108e-4
-0.085, -1.106e-4
-0.086, -1.103e-4
-0.087, -1.101e-4
-0.088, -1.098e-4
-0.089, -1.096e-4
-0.090, -1.093e-4
-0.091, -1.091e-4
-0.092, -1.088e-4
-0.093, -1.086e-4
-0.094, -1.083e-4
-0.095, -1.081e-4
-0.096, -1.078e-4
-0.097, -1.076e-4
-0.098, -1.074e-4
-0.099, -1.071e-4
-0.100, -1.069e-4
-0.101, -1.067e-4
-0.102, -1.064e-4
-0.103, -1.062e-4
-0.104, -1.060e-4
-0.105, -1.057e-4
-0.106, -1.055e-4
-0.107, -1.053e-4
-0.108, -1.051e-4
-0.109, -1.049e-4
-0.110, -1.046e-4
-0.111, -1.044e-4
-0.112, -1.042e-4
-0.113, -1.040e-4
-0.114, -1.038e-4
-0.115, -1.035e-4
-0.116, -1.033e-4
-0.117, -1.031e-4
-0.118, -1.029e-4
-0.119, -1.027e-4
-0.120, -1.025e-4
-0.121, -1.023e-4
-0.122, -1.021e-4
-0.123, -1.019e-4
-0.124, -1.017e-4
-0.125, -1.015e-4
-0.126, -1.013e-4
-0.127, -1.011e-4
-0.128, -1.009e-4
-0.129, -1.007e-4
-0.130, -1.005e-4
-0.131, -1.003e-4
-0.132, -1.001e-4
-0.133, -9.990e-5
-0.134, -9.971e-5
-0.135, -9.952e-5
-0.136, -9.934e-5
-0.137, -9.916e-5
-0.138, -9.897e-5
-0.139, -9.879e-5
-0.140, -9.860e-5
-0.141, -9.842e-5
-0.142, -9.824e-5
