6 mM/l
Potential/V, Current/A
0.500, 4.547e-6
0.499, 4.505e-6
0.498, 4.468e-6
0.497, 4.435e-6
0.496, 4.409e-6
0.495, 4.387e-6
0.494, 4.366e-6
0.493, 4.346e-6
0.492, 4.330e-6
0.491, 4.317e-6
0.490, 4.305e-6
0.489, 4.294e-6
0.488, 4.284e-6
0.487, 4.271e-6
0.486, 4.256e-6
0.485, 4.240e-6
0.484, 4.226e-6
0.483, 4.212e-6
0.482, 4.202e-6
0.481, 4.192e-6
0.480, 4.183e-6
0.479, 4.173e-6
0.478, 4.163e-6
0.477, 4.149e-6
0.476, 4.134e-6
0.475, 4.118e-6
0.474, 4.103e-6
0.473, 4.090e-6
0.472, 4.079e-6
0.471, 4.068e-6
0.470, 4.059e-6
0.469, 4.054e-6
0.468, 4.050e-6
0.467, 4.046e-6
0.466, 4.040e-6
0.465, 4.031e-6
0.464, 4.021e-6
0.463, 4.009e-6
0.462, 3.994e-6
0.461, 3.981e-6
0.460, 3.969e-6
0.459, 3.960e-6
0.458, 3.954e-6
0.457, 3.948e-6
0.456, 3.938e-6
0.455, 3.928e-6
0.454, 3.918e-6
0.453, 3.906e-6
0.452, 3.897e-6
0.451, 3.887e-6
0.450, 3.877e-6
0.449, 3.867e-6
0.448, 3.856e-6
0.447, 3.841e-6
0.446, 3.828e-6
0.445, 3.816e-6
0.444, 3.807e-6
0.443, 3.801e-6
0.442, 3.795e-6
0.441, 3.785e-6
0.440, 3.776e-6
0.439, 3.765e-6
0.438, 3.753e-6
0.437, 3.744e-6
0.436, 3.734e-6
0.435, 3.724e-6
0.434, 3.714e-6
0.433, 3.703e-6
0.432, 3.689e-6
0.431, 3.679e-6
0.430, 3.671e-6
0.429, 3.665e-6
0.428, 3.657e-6
0.427, 3.646e-6
0.426, 3.629e-6
0.425, 3.614e-6
0.424, 3.601e-6
0.423, 3.594e-6
0.422, 3.589e-6
0.421, 3.581e-6
0.420, 3.568e-6
0.419, 3.555e-6
0.418, 3.541e-6
0.417, 3.530e-6
0.416, 3.519e-6
0.415, 3.506e-6
0.414, 3.493e-6
0.413, 3.479e-6
0.412, 3.468e-6
0.411, 3.459e-6
0.410, 3.449e-6
0.409, 3.439e-6
0.408, 3.429e-6
0.407, 3.415e-6
0.406, 3.401e-6
0.405, 3.385e-6
0.404, 3.370e-6
0.403, 3.357e-6
0.402, 3.347e-6
0.401, 3.336e-6
0.400, 3.323e-6
0.399, 3.309e-6
0.398, 3.297e-6
0.397, 3.285e-6
0.396, 3.275e-6
0.395, 3.263e-6
0.394, 3.248e-6
