Próbka
Potential/V, Current/A
0.500, 3.296e-7
0.499, 2.946e-7
0.498, 2.670e-7
0.497, 2.468e-7
0.496, 2.370e-7
0.495, 2.313e-7
0.494, 2.263e-7
0.493, 2.191e-7
0.492, 2.121e-7
0.491, 2.052e-7
0.490, 1.984e-7
0.489, 1.917e-7
0.488, 1.852e-7
0.487, 1.791e-7
0.486, 1.737e-7
0.485, 1.691e-7
0.484, 1.648e-7
0.483, 1.610e-7
0.482, 1.574e-7
0.481, 1.540e-7
0.480, 1.509e-7
0.479, 1.483e-7
0.478, 1.458e-7
0.477, 1.436e-7
0.476, 1.415e-7
0.475, 1.395e-7
0.474, 1.378e-7
0.473, 1.362e-7
0.472, 1.347e-7
0.471, 1.332e-7
0.470, 1.317e-7
0.469, 1.302e-7
0.468, 1.288e-7
0.467, 1.275e-7
0.466, 1.260e-7
0.465, 1.244e-7
0.464, 1.227e-7
0.463, 1.207e-7
0.462, 1.187e-7
0.461, 1.166e-7
0.460, 1.146e-7
0.459, 1.127e-7
0.458, 1.111e-7
0.457, 1.094e-7
0.456, 1.076e-7
0.455, 1.057e-7
0.454, 1.038e-7
0.453, 1.018e-7
0.452, 9.974e-8
0.451, 9.757e-8
0.450, 9.525e-8
0.449, 9.304e-8
0.448, 9.102e-8
0.447, 8.913e-8
0.446, 8.727e-8
0.445, 8.539e-8
0.444, 8.342e-8
0.443, 8.140e-8
0.442, 7.943e-8
0.441, 7.742e-8
0.440, 7.529e-8
0.439, 7.322e-8
0.438, 7.100e-8
0.437, 6.855e-8
0.436, 6.603e-8
0.435, 6.352e-8
0.434, 6.113e-8
0.433, 5.897e-8
0.432, 5.696e-8
0.431, 5.492e-8
0.430, 5.282e-8
0.429, 5.069e-8
0.428, 4.844e-8
0.427, 4.607e-8
0.426, 4.368e-8
0.425, 4.121e-8
0.424, 3.869e-8
0.423, 3.621e-8
0.422, 3.380e-8
0.421, 3.136e-8
0.420, 2.909e-8
0.419, 2.688e-8
0.418, 2.475e-8
0.417, 2.265e-8
0.416, 2.069e-8
0.415, 1.865e-8
0.414, 1.667e-8
0.413, 1.435e-8
0.412, 1.164e-8
0.411, 8.542e-9
0.410, 5.423e-9
0.409, 2.614e-9
0.408, 1.482e-10
0.407, -2.414e-9
0.406, -5.095e-9
0.405, -8.228e-9
0.404, -1.167e-8
0.403, -1.525e-8
0.402, -1.927e-8
0.401, -2.379e-8
0.400, -2.856e-8
0.399, -3.381e-8
0.398, -3.932e-8
0.397, -4.497e-8
0.396, -5.078e-8
0.395, -5.689e-8
0.394, -6.302e-8
0.393, -6.922e-8
0.392, -7.534e-8
0.391, -8.119e-8
0.390, -8.664e-8
0.389, -9.198e-8
0.388, -9.695e-8
0.387, -1.016e-7
0.386, -1.061e-7
0.385, -1.106e-7
0.384, -1.152e-7
0.383, -1.203e-7
0.382, -1.260e-7
0.381, -1.323e-7
0.380, -1.392e-7
0.379, -1.467e-7
0.378, -1.548e-7
0.377, -1.633e-7
0.376, -1.727e-7
0.375, -1.826e-7
0.374, -1.930e-7
0.373, -2.034e-7
0.372, -2.133e-7
0.371, -2.224e-7
0.370, -2.314e-7
0.369, -2.409e-7
0.368, -2.517e-7
0.367, -2.647e-7
0.366, -2.799e-7
0.365, -2.963e-7
0.364, -3.131e-7
0.363, -3.282e-7
0.362, -3.407e-7
0.361, -3.509e-7
0.360, -3.606e-7
0.359, -3.717e-7
0.358, -3.858e-7
0.357, -4.032e-7
0.356, -4.226e-7
0.355, -4.427e-7
0.354, -4.623e-7
0.353, -4.817e-7
0.352, -5.021e-7
0.351, -5.245e-7
0.350, -5.479e-7
0.349, -5.714e-7
0.348, -5.946e-7
0.347, -6.182e-7
0.346, -6.431e-7
0.345, -6.694e-7
0.344, -6.972e-7
0.343, -7.266e-7
0.342, -7.575e-7
0.341, -7.903e-7
0.340, -8.236e-7
0.339, -8.564e-7
0.338, -8.895e-7
0.337, -9.239e-7
0.336, -9.598e-7
0.335, -9.975e-7
0.334, -1.036e-6
0.333, -1.075e-6
0.332, -1.116e-6
0.331, -1.160e-6
0.330, -1.207e-6
0.329, -1.256e-6
0.328, -1.305e-6
0.327, -1.353e-6
0.326, -1.403e-6
0.325, -1.456e-6
0.324, -1.513e-6
0.323, -1.575e-6
0.322, -1.639e-6
0.321, -1.705e-6
0.320, -1.772e-6
0.319, -1.838e-6
0.318, -1.905e-6
0.317, -1.977e-6
0.316, -2.053e-6
0.315, -2.134e-6
0.314, -2.217e-6
0.313, -2.300e-6
0.312, -2.387e-6
0.311, -2.478e-6
0.310, -2.573e-6
0.309, -2.671e-6
0.308, -2.774e-6
0.307, -2.881e-6
0.306, -2.992e-6
0.305, -3.106e-6
0.304, -3.223e-6
0.303, -3.339e-6
0.302, -3.461e-6
0.301, -3.588e-6
0.300, -3.723e-6
0.299, -3.864e-6
0.298, -4.011e-6
0.297, -4.162e-6
0.296, -4.319e-6
0.295, -4.482e-6
0.294, -4.651e-6
0.293, -4.825e-6
0.292, -5.004e-6
0.291, -5.187e-6
0.290, -5.375e-6
0.289, -5.570e-6
0.288, -5.771e-6
0.287, -5.982e-6
0.286, -6.202e-6
0.285, -6.430e-6
0.284, -6.668e-6
0.283, -6.916e-6
0.282, -7.172e-6
0.281, -7.434e-6
0.280, -7.702e-6
0.279, -7.977e-6
0.278, -8.262e-6
0.277, -8.558e-6
0.276, -8.863e-6
0.275, -9.174e-6
0.274, -9.496e-6
0.273, -9.831e-6
0.272, -1.018e-5
0.271, -1.054e-5
0.270, -1.091e-5
0.269, -1.130e-5
0.268, -1.169e-5
0.267, -1.210e-5
0.266, -1.252e-5
0.265, -1.295e-5
0.264, -1.338e-5
0.263, -1.383e-5
0.262, -1.430e-5
0.261, -1.478e-5
0.260, -1.528e-5
0.259, -1.579e-5
0.258, -1.633e-5
0.257, -1.688e-5
0.256, -1.745e-5
0.255, -1.802e-5
0.254, -1.862e-5
0.253, -1.922e-5
0.252, -1.984e-5
0.251, -2.047e-5
0.250, -2.111e-5
0.249, -2.176e-5
0.248, -2.244e-5
0.247, -2.314e-5
0.246, -2.386e-5
0.245, -2.460e-5
0.244, -2.536e-5
0.243, -2.614e-5
0.242, -2.692e-5
0.241, -2.772e-5
0.240, -2.853e-5
0.239, -2.935e-5
0.238, -3.020e-5
0.237, -3.105e-5
0.236, -3.193e-5
0.235, -3.283e-5
0.234, -3.374e-5
0.233, -3.467e-5
0.232, -3.564e-5
0.231, -3.662e-5
0.230, -3.762e-5
0.229, -3.863e-5
0.228, -3.962e-5
0.227, -4.062e-5
0.226, -4.162e-5
0.225, -4.264e-5
0.224, -4.367e-5
0.223, -4.472e-5
0.222, -4.579e-5
0.221, -4.687e-5
0.220, -4.796e-5
0.219, -4.907e-5
0.218, -5.018e-5
0.217, -5.129e-5
0.216, -5.241e-5
0.215, -5.353e-5
0.214, -5.465e-5
0.213, -5.576e-5
0.212, -5.688e-5
0.211, -5.798e-5
0.210, -5.909e-5
0.209, -6.021e-5
0.208, -6.134e-5
0.207, -6.246e-5
0.206, -6.356e-5
0.205, -6.463e-5
0.204, -6.568e-5
0.203, -6.676e-5
0.202, -6.784e-5
0.201, -6.892e-5
0.200, -6.997e-5
0.199, -7.100e-5
0.198, -7.201e-5
0.197, -7.301e-5
0.196, -7.400e-5
0.195, -7.498e-5
0.194, -7.595e-5
0.193, -7.689e-5
0.192, -7.782e-5
0.191, -7.872e-5
0.190, -7.959e-5
0.189, -8.043e-5
0.188, -8.125e-5
0.187, -8.204e-5
0.186, -8.280e-5
0.185, -8.354e-5
0.184, -8.425e-5
0.183, -8.493e-5
0.182, -8.559e-5
0.181, -8.623e-5
0.180, -8.685e-5
0.179, -8.745e-5
0.178, -8.802e-5
0.177, -8.855e-5
0.176, -8.903e-5
0.175, -8.947e-5
0.174, -8.988e-5
0.173, -9.025e-5
0.172, -9.059e-5
0.171, -9.091e-5
0.170, -9.121e-5
0.169, -9.148e-5
0.168, -9.174e-5
0.167, -9.197e-5
0.166, -9.217e-5
0.165, -9.234e-5
0.164, -9.247e-5
0.163, -9.257e-5
0.162, -9.264e-5
0.161, -9.269e-5
0.160, -9.271e-5
0.159, -9.270e-5
0.158, -9.267e-5
0.157, -9.263e-5
0.156, -9.257e-5
0.155, -9.249e-5
0.154, -9.240e-5
0.153, -9.228e-5
0.152, -9.213e-5
0.151, -9.196e-5
0.150, -9.177e-5
0.149, -9.155e-5
0.148, -9.133e-5
0.147, -9.108e-5
0.146, -9.082e-5
0.145, -9.055e-5
0.144, -9.027e-5
0.143, -8.999e-5
