Pomiar CV tla odtlenionego
Potential/V, Current/A
0.500, 1.528e-7
0.499, 1.320e-7
0.498, 1.153e-7
0.497, 1.027e-7
0.496, 9.555e-8
0.495, 9.118e-8
0.494, 8.762e-8
0.493, 8.369e-8
0.492, 7.984e-8
0.491, 7.653e-8
0.490, 7.323e-8
0.489, 7.030e-8
0.488, 6.725e-8
0.487, 6.468e-8
0.486, 6.213e-8
0.485, 5.988e-8
0.484, 5.759e-8
0.483, 5.566e-8
0.482, 5.352e-8
0.481, 5.181e-8
0.480, 4.999e-8
0.479, 4.827e-8
0.478, 4.650e-8
0.477, 4.494e-8
0.476, 4.313e-8
0.475, 4.157e-8
0.474, 3.992e-8
0.473, 3.864e-8
0.472, 3.742e-8
0.471, 3.647e-8
0.470, 3.526e-8
0.469, 3.413e-8
0.468, 3.294e-8
0.467, 3.213e-8
0.466, 3.119e-8
0.465, 3.046e-8
0.464, 2.942e-8
0.463, 2.839e-8
0.462, 2.721e-8
0.461, 2.626e-8
0.460, 2.524e-8
0.459, 2.459e-8
0.458, 2.393e-8
0.457, 2.347e-8
0.456, 2.282e-8
0.455, 2.226e-8
0.454, 2.154e-8
0.453, 2.094e-8
0.452, 2.021e-8
0.451, 1.966e-8
0.450, 1.895e-8
0.449, 1.835e-8
0.448, 1.767e-8
0.447, 1.710e-8
0.446, 1.645e-8
0.445, 1.608e-8
0.444, 1.565e-8
0.443, 1.528e-8
0.442, 1.475e-8
0.441, 1.426e-8
0.440, 1.362e-8
0.439, 1.314e-8
0.438, 1.254e-8
0.437, 1.200e-8
0.436, 1.140e-8
0.435, 1.110e-8
0.434, 1.080e-8
0.433, 1.066e-8
0.432, 1.039e-8
0.431, 1.012e-8
0.430, 9.663e-9
0.429, 9.375e-9
0.428, 8.883e-9
0.427, 8.443e-9
0.426, 7.852e-9
0.425, 7.369e-9
0.424, 6.719e-9
0.423, 6.313e-9
0.422, 5.917e-9
0.421, 5.704e-9
0.420, 5.433e-9
0.419, 5.380e-9
0.418, 5.032e-9
0.417, 4.772e-9
0.416, 4.349e-9
0.415, 4.023e-9
0.414, 3.597e-9
0.413, 3.361e-9
0.412, 2.794e-9
0.411, 2.242e-9
0.410, 1.513e-9
0.409, 1.159e-9
0.408, 7.681e-10
0.407, 6.317e-10
0.406, 4.685e-10
0.405, 4.545e-10
0.404, 3.678e-10
0.403, 5.577e-10
0.402, 3.374e-10
0.401, 2.224e-11
0.400, -4.735e-10
0.399, -9.519e-10
0.398, -1.483e-9
0.397, -1.737e-9
0.396, -2.095e-9
0.395, -2.303e-9
0.394, -2.560e-9
0.393, -2.673e-9
0.392, -2.874e-9
0.391, -2.933e-9
0.390, -3.151e-9
0.389, -3.312e-9
0.388, -3.595e-9
0.387, -3.766e-9
0.386, -4.197e-9
0.385, -4.562e-9
0.384, -5.074e-9
0.383, -5.398e-9
0.382, -5.707e-9
0.381, -5.777e-9
0.380, -6.024e-9
0.379, -6.051e-9
0.378, -6.126e-9
0.377, -6.075e-9
0.376, -6.222e-9
0.375, -6.351e-9
0.374, -6.741e-9
0.373, -7.021e-9
0.372, -7.413e-9
0.371, -7.617e-9
0.370, -7.891e-9
0.369, -7.974e-9
0.368, -8.087e-9
0.367, -8.131e-9
0.366, -8.369e-9
0.365, -8.466e-9
0.364, -8.745e-9
0.363, -8.856e-9
0.362, -9.081e-9
0.361, -9.288e-9
0.360, -9.695e-9
0.359, -9.921e-9
0.358, -1.021e-8
0.357, -1.032e-8
0.356, -1.051e-8
0.355, -1.052e-8
0.354, -1.074e-8
0.353, -1.081e-8
0.352, -1.095e-8
0.351, -1.105e-8
0.350, -1.120e-8
0.349, -1.115e-8
0.348, -1.146e-8
0.347, -1.170e-8
0.346, -1.216e-8
0.345, -1.245e-8
0.344, -1.273e-8
0.343, -1.269e-8
0.342, -1.265e-8
0.341, -1.248e-8
0.340, -1.256e-8
0.339, -1.254e-8
0.338, -1.280e-8
0.337, -1.295e-8
0.336, -1.312e-8
0.335, -1.335e-8
0.334, -1.376e-8
0.333, -1.398e-8
0.332, -1.423e-8
0.331, -1.417e-8
0.330, -1.408e-8
0.329, -1.393e-8
0.328, -1.396e-8
0.327, -1.393e-8
0.326, -1.411e-8
0.325, -1.421e-8
0.324, -1.446e-8
0.323, -1.457e-8
0.322, -1.485e-8
0.321, -1.509e-8
0.320, -1.547e-8
0.319, -1.564e-8
0.318, -1.579e-8
0.317, -1.571e-8
0.316, -1.574e-8
0.315, -1.579e-8
0.314, -1.607e-8
0.313, -1.612e-8
0.312, -1.625e-8
0.311, -1.618e-8
0.310, -1.614e-8
0.309, -1.619e-8
0.308, -1.651e-8
0.307, -1.670e-8
0.306, -1.711e-8
0.305, -1.718e-8
0.304, -1.705e-8
0.303, -1.676e-8
0.302, -1.654e-8
0.301, -1.639e-8
