Pomiar CV tla z tlenem
Potential/V, Current/A
0.500, 1.653e-7
0.499, 1.462e-7
0.498, 1.312e-7
0.497, 1.204e-7
0.496, 1.153e-7
0.495, 1.126e-7
0.494, 1.104e-7
0.493, 1.070e-7
0.492, 1.039e-7
0.491, 1.008e-7
0.490, 9.792e-8
0.489, 9.497e-8
0.488, 9.216e-8
0.487, 8.952e-8
0.486, 8.727e-8
0.485, 8.521e-8
0.484, 8.331e-8
0.483, 8.136e-8
0.482, 7.928e-8
0.481, 7.722e-8
0.480, 7.541e-8
0.479, 7.352e-8
0.478, 7.175e-8
0.477, 6.996e-8
0.476, 6.808e-8
0.475, 6.621e-8
0.474, 6.455e-8
0.473, 6.282e-8
0.472, 6.122e-8
0.471, 5.960e-8
0.470, 5.805e-8
0.469, 5.657e-8
0.468, 5.528e-8
0.467, 5.401e-8
0.466, 5.280e-8
0.465, 5.158e-8
0.464, 5.032e-8
0.463, 4.883e-8
0.462, 4.737e-8
0.461, 4.592e-8
0.460, 4.471e-8
0.459, 4.373e-8
0.458, 4.299e-8
0.457, 4.218e-8
0.456, 4.142e-8
0.455, 4.056e-8
0.454, 3.964e-8
0.453, 3.859e-8
0.452, 3.765e-8
0.451, 3.669e-8
0.450, 3.590e-8
0.449, 3.513e-8
0.448, 3.448e-8
0.447, 3.380e-8
0.446, 3.318e-8
0.445, 3.240e-8
0.444, 3.160e-8
0.443, 3.070e-8
0.442, 3.000e-8
0.441, 2.932e-8
0.440, 2.882e-8
0.439, 2.813e-8
0.438, 2.740e-8
0.437, 2.657e-8
0.436, 2.591e-8
0.435, 2.535e-8
0.434, 2.508e-8
0.433, 2.470e-8
0.432, 2.439e-8
0.431, 2.395e-8
0.430, 2.357e-8
0.429, 2.321e-8
0.428, 2.286e-8
0.427, 2.234e-8
0.426, 2.180e-8
0.425, 2.107e-8
0.424, 2.039e-8
0.423, 1.983e-8
0.422, 1.945e-8
0.421, 1.909e-8
0.420, 1.880e-8
0.419, 1.847e-8
0.418, 1.818e-8
0.417, 1.790e-8
0.416, 1.769e-8
0.415, 1.736e-8
0.414, 1.699e-8
0.413, 1.645e-8
0.412, 1.582e-8
0.411, 1.511e-8
0.410, 1.459e-8
0.409, 1.433e-8
0.408, 1.437e-8
0.407, 1.438e-8
0.406, 1.430e-8
0.405, 1.396e-8
0.404, 1.363e-8
0.403, 1.339e-8
0.402, 1.320e-8
0.401, 1.293e-8
0.400, 1.258e-8
0.399, 1.203e-8
0.398, 1.154e-8
0.397, 1.116e-8
0.396, 1.092e-8
0.395, 1.076e-8
0.394, 1.066e-8
0.393, 1.044e-8
0.392, 1.028e-8
0.391, 1.013e-8
0.390, 9.973e-9
0.389, 9.739e-9
0.388, 9.438e-9
0.387, 8.956e-9
0.386, 8.460e-9
0.385, 8.001e-9
0.384, 7.689e-9
0.383, 7.511e-9
0.382, 7.453e-9
0.381, 7.400e-9
0.380, 7.327e-9
0.379, 7.168e-9
0.378, 7.051e-9
0.377, 6.824e-9
0.376, 6.579e-9
0.375, 6.351e-9
0.374, 6.131e-9
0.373, 5.823e-9
0.372, 5.590e-9
0.371, 5.233e-9
0.370, 4.904e-9
0.369, 4.649e-9
0.368, 4.513e-9
0.367, 4.430e-9
0.366, 4.458e-9
0.365, 4.372e-9
0.364, 4.204e-9
0.363, 3.964e-9
0.362, 3.676e-9
0.361, 3.310e-9
0.360, 2.921e-9
0.359, 2.487e-9
0.358, 2.229e-9
0.357, 2.101e-9
0.356, 2.074e-9
0.355, 2.003e-9
0.354, 1.853e-9
0.353, 1.597e-9
0.352, 1.482e-9
0.351, 1.336e-9
0.350, 1.226e-9
0.349, 9.939e-10
0.348, 6.537e-10
0.347, 2.627e-10
0.346, 1.283e-10
0.345, 1.442e-10
0.344, 2.778e-10
0.343, 2.855e-10
0.342, 1.123e-10
0.341, -2.983e-10
0.340, -6.303e-10
0.339, -9.366e-10
0.338, -1.065e-9
0.337, -1.170e-9
0.336, -1.294e-9
0.335, -1.668e-9
0.334, -2.130e-9
0.333, -2.753e-9
0.332, -3.096e-9
0.331, -3.255e-9
0.330, -3.116e-9
0.329, -2.831e-9
0.328, -2.500e-9
0.327, -2.450e-9
0.326, -2.516e-9
0.325, -2.915e-9
0.324, -3.379e-9
0.323, -3.735e-9
0.322, -3.943e-9
0.321, -4.156e-9
0.320, -4.284e-9
0.319, -4.564e-9
0.318, -4.823e-9
0.317, -4.998e-9
0.316, -5.001e-9
0.315, -4.954e-9
0.314, -4.840e-9
0.313, -4.877e-9
0.312, -4.998e-9
0.311, -5.267e-9
0.310, -5.477e-9
0.309, -5.790e-9
0.308, -6.066e-9
0.307, -6.391e-9
0.306, -6.671e-9
0.305, -6.954e-9
0.304, -6.938e-9
0.303, -6.877e-9
0.302, -6.723e-9
0.301, -6.757e-9
0.300, -6.934e-9
0.299, -7.277e-9
0.298, -7.381e-9
0.297, -7.421e-9
0.296, -7.401e-9
0.295, -7.508e-9
0.294, -7.672e-9
0.293, -8.085e-9
0.292, -8.350e-9
0.291, -8.518e-9
0.290, -8.635e-9
0.289, -8.663e-9
0.288, -8.660e-9
0.287, -8.927e-9
0.286, -9.181e-9
0.285, -9.497e-9
0.284, -9.891e-9
0.283, -1.023e-8
0.282, -1.046e-8
0.281, -1.058e-8
0.280, -1.062e-8
0.279, -1.069e-8
0.278, -1.069e-8
0.277, -1.075e-8
0.276, -1.083e-8
0.275, -1.094e-8
0.274, -1.131e-8
0.273, -1.176e-8
0.272, -1.196e-8
0.271, -1.210e-8
0.270, -1.210e-8
0.269, -1.211e-8
0.268, -1.226e-8
0.267, -1.247e-8
0.266, -1.252e-8
0.265, -1.254e-8
0.264, -1.243e-8
0.263, -1.240e-8
0.262, -1.243e-8
0.261, -1.273e-8
0.260, -1.317e-8
0.259, -1.378e-8
0.258, -1.442e-8
0.257, -1.504e-8
0.256, -1.537e-8
0.255, -1.560e-8
0.254, -1.562e-8
0.253, -1.558e-8
0.252, -1.552e-8
0.251, -1.563e-8
0.250, -1.580e-8
0.249, -1.614e-8
0.248, -1.651e-8
0.247, -1.685e-8
0.246, -1.705e-8
0.245, -1.735e-8
0.244, -1.762e-8
0.243, -1.793e-8
0.242, -1.820e-8
0.241, -1.850e-8
0.240, -1.868e-8
0.239, -1.896e-8
0.238, -1.915e-8
0.237, -1.933e-8
0.236, -1.949e-8
0.235, -1.980e-8
0.234, -2.018e-8
0.233, -2.081e-8
0.232, -2.140e-8
0.231, -2.189e-8
0.230, -2.213e-8
0.229, -2.240e-8
0.228, -2.262e-8
0.227, -2.297e-8
0.226, -2.333e-8
0.225, -2.364e-8
0.224, -2.392e-8
0.223, -2.448e-8
0.222, -2.498e-8
0.221, -2.536e-8
0.220, -2.565e-8
0.219, -2.583e-8
0.218, -2.602e-8
0.217, -2.647e-8
0.216, -2.695e-8
0.215, -2.738e-8
0.214, -2.765e-8
0.213, -2.790e-8
0.212, -2.811e-8
0.211, -2.852e-8
0.210, -2.917e-8
0.209, -2.992e-8
0.208, -3.040e-8
0.207, -3.077e-8
0.206, -3.086e-8
0.205, -3.102e-8
0.204, -3.142e-8
0.203, -3.214e-8
0.202, -3.279e-8
0.201, -3.349e-8
0.200, -3.394e-8
0.199, -3.440e-8
0.198, -3.485e-8
0.197, -3.544e-8
0.196, -3.591e-8
0.195, -3.644e-8
0.194, -3.692e-8
0.193, -3.740e-8
0.192, -3.782e-8
0.191, -3.838e-8
0.190, -3.890e-8
0.189, -3.953e-8
0.188, -4.015e-8
0.187, -4.062e-8
0.186, -4.085e-8
0.185, -4.118e-8
0.184, -4.151e-8
0.183, -4.200e-8
0.182, -4.263e-8
0.181, -4.339e-8
0.180, -4.402e-8
0.179, -4.463e-8
0.178, -4.508e-8
0.177, -4.550e-8
0.176, -4.583e-8
0.175, -4.626e-8
0.174, -4.668e-8
0.173, -4.713e-8
0.172, -4.773e-8
0.171, -4.843e-8
0.170, -4.890e-8
0.169, -4.927e-8
0.168, -4.965e-8
0.167, -4.999e-8
0.166, -5.053e-8
0.165, -5.125e-8
0.164, -5.180e-8
0.163, -5.227e-8
0.162, -5.285e-8
0.161, -5.343e-8
0.160, -5.397e-8
0.159, -5.458e-8
0.158, -5.490e-8
0.157, -5.521e-8
0.156, -5.570e-8
0.155, -5.652e-8
0.154, -5.735e-8
0.153, -5.814e-8
0.152, -5.850e-8
0.151, -5.867e-8
0.150, -5.856e-8
0.149, -5.866e-8
0.148, -5.873e-8
0.147, -5.911e-8
0.146, -5.957e-8
0.145, -6.019e-8
0.144, -6.068e-8
0.143, -6.128e-8
0.142, -6.162e-8
0.141, -6.207e-8
0.140, -6.246e-8
0.139, -6.291e-8
0.138, -6.324e-8
0.137, -6.361e-8
0.136, -6.381e-8
0.135, -6.408e-8
0.134, -6.428e-8
0.133, -6.460e-8
0.132, -6.485e-8
0.131, -6.527e-8
0.130, -6.580e-8
0.129, -6.645e-8
0.128, -6.690e-8
0.127, -6.731e-8
0.126, -6.746e-8
0.125, -6.758e-8
0.124, -6.753e-8
0.123, -6.755e-8
0.122, -6.747e-8
0.121, -6.772e-8
0.120, -6.810e-8
0.119, -6.866e-8
0.118, -6.910e-8
0.117, -6.959e-8
0.116, -6.991e-8
0.115, -7.018e-8
0.114, -7.027e-8
0.113, -7.040e-8
0.112, -7.045e-8
0.111, -7.078e-8
0.110, -7.115e-8
0.109, -7.143e-8
0.108, -7.162e-8
0.107, -7.188e-8
0.106, -7.207e-8
0.105, -7.251e-8
0.104, -7.294e-8
0.103, -7.335e-8
0.102, -7.356e-8
0.101, -7.373e-8
0.100, -7.372e-8
0.099, -7.377e-8
0.098, -7.393e-8
0.097, -7.435e-8
0.096, -7.465e-8
0.095, -7.496e-8
0.094, -7.512e-8
0.093, -7.537e-8
0.092, -7.568e-8
0.091, -7.611e-8
