File: 2mm-swv-10hz
Potential/V, Diff(i/A), For(i/A), Rev(i/A)
0.496, -3.526e-7, 3.042e-6, 3.395e-6
0.492, -3.497e-7, 2.967e-6, 3.316e-6
0.488, -3.477e-7, 2.896e-6, 3.243e-6
0.484, -3.467e-7, 2.829e-6, 3.176e-6
0.480, -3.451e-7, 2.769e-6, 3.114e-6
0.476, -3.479e-7, 2.709e-6, 3.057e-6
0.472, -3.499e-7, 2.655e-6, 3.005e-6
0.468, -3.506e-7, 2.605e-6, 2.956e-6
0.464, -3.478e-7, 2.559e-6, 2.907e-6
0.460, -3.443e-7, 2.515e-6, 2.859e-6
0.456, -3.430e-7, 2.471e-6, 2.814e-6
0.452, -3.477e-7, 2.423e-6, 2.771e-6
0.448, -3.518e-7, 2.379e-6, 2.730e-6
0.444, -3.542e-7, 2.335e-6, 2.689e-6
0.440, -3.583e-7, 2.292e-6, 2.650e-6
0.436, -3.650e-7, 2.252e-6, 2.617e-6
0.432, -3.769e-7, 2.209e-6, 2.586e-6
0.428, -3.919e-7, 2.167e-6, 2.559e-6
0.424, -4.034e-7, 2.128e-6, 2.531e-6
0.420, -4.114e-7, 2.091e-6, 2.503e-6
0.416, -4.181e-7, 2.056e-6, 2.474e-6
0.412, -4.269e-7, 2.020e-6, 2.447e-6
0.408, -4.412e-7, 1.980e-6, 2.421e-6
0.404, -4.586e-7, 1.937e-6, 2.395e-6
0.400, -4.754e-7, 1.895e-6, 2.371e-6
0.396, -4.948e-7, 1.853e-6, 2.348e-6
0.392, -5.168e-7, 1.811e-6, 2.328e-6
0.388, -5.429e-7, 1.767e-6, 2.310e-6
0.384, -5.734e-7, 1.720e-6, 2.293e-6
0.380, -6.058e-7, 1.671e-6, 2.276e-6
0.376, -6.404e-7, 1.621e-6, 2.262e-6
0.372, -6.792e-7, 1.569e-6, 2.249e-6
0.368, -7.237e-7, 1.514e-6, 2.238e-6
0.364, -7.754e-7, 1.454e-6, 2.229e-6
0.360, -8.350e-7, 1.388e-6, 2.223e-6
0.356, -9.021e-7, 1.316e-6, 2.219e-6
0.352, -9.786e-7, 1.239e-6, 2.217e-6
0.348, -1.065e-6, 1.154e-6, 2.219e-6
0.344, -1.163e-6, 1.061e-6, 2.224e-6
0.340, -1.275e-6, 9.572e-7, 2.232e-6
0.336, -1.401e-6, 8.428e-7, 2.243e-6
0.332, -1.540e-6, 7.183e-7, 2.259e-6
0.328, -1.698e-6, 5.807e-7, 2.278e-6
0.324, -1.875e-6, 4.287e-7, 2.304e-6
0.320, -2.076e-6, 2.592e-7, 2.335e-6
0.316, -2.305e-6, 6.758e-8, 2.372e-6
0.312, -2.561e-6, -1.468e-7, 2.414e-6
0.308, -2.849e-6, -3.860e-7, 2.463e-6
0.304, -3.169e-6, -6.510e-7, 2.518e-6
0.300, -3.526e-6, -9.453e-7, 2.580e-6
0.296, -3.922e-6, -1.271e-6, 2.651e-6
0.292, -4.361e-6, -1.632e-6, 2.729e-6
0.288, -4.849e-6, -2.033e-6, 2.816e-6
0.284, -5.391e-6, -2.477e-6, 2.914e-6
0.280, -5.983e-6, -2.964e-6, 3.019e-6
0.276, -6.629e-6, -3.498e-6, 3.131e-6
0.272, -7.331e-6, -4.082e-6, 3.250e-6
0.268, -8.090e-6, -4.717e-6, 3.373e-6
0.264, -8.909e-6, -5.408e-6, 3.501e-6
0.260, -9.787e-6, -6.154e-6, 3.632e-6
0.256, -1.072e-5, -6.955e-6, 3.763e-6
0.252, -1.170e-5, -7.809e-6, 3.890e-6
0.248, -1.273e-5, -8.719e-6, 4.011e-6
0.244, -1.380e-5, -9.677e-6, 4.120e-6
0.240, -1.489e-5, -1.068e-5, 4.212e-6
0.236, -1.600e-5, -1.172e-5, 4.284e-6
0.232, -1.712e-5, -1.279e-5, 4.331e-6
0.228, -1.823e-5, -1.388e-5, 4.347e-6
0.224, -1.931e-5, -1.499e-5, 4.325e-6
0.220, -2.035e-5, -1.609e-5, 4.263e-6
0.216, -2.134e-5, -1.718e-5, 4.154e-6
0.212, -2.224e-5, -1.825e-5, 3.995e-6
0.208, -2.306e-5, -1.928e-5, 3.781e-6
0.204, -2.376e-5, -2.025e-5, 3.511e-6
0.200, -2.434e-5, -2.116e-5, 3.180e-6
0.196, -2.477e-5, -2.197e-5, 2.797e-6
0.192, -2.505e-5, -2.269e-5, 2.356e-6
0.188, -2.517e-5, -2.331e-5, 1.868e-6
0.184, -2.515e-5, -2.381e-5, 1.337e-6
0.180, -2.497e-5, -2.420e-5, 7.661e-7
0.176, -2.463e-5, -2.447e-5, 1.568e-7
0.172, -2.414e-5, -2.462e-5, -4.776e-7
0.168, -2.352e-5, -2.465e-5, -1.130e-6
0.164, -2.278e-5, -2.457e-5, -1.789e-6
0.160, -2.194e-5, -2.439e-5, -2.448e-6
0.156, -2.102e-5, -2.411e-5, -3.096e-6
0.152, -2.003e-5, -2.375e-5, -3.728e-6
0.148, -1.899e-5, -2.332e-5, -4.334e-6
0.144, -1.793e-5, -2.283e-5, -4.906e-6
0.140, -1.685e-5, -2.230e-5, -5.446e-6
0.136, -1.577e-5, -2.172e-5, -5.953e-6
0.132, -1.470e-5, -2.112e-5, -6.417e-6
0.128, -1.367e-5, -2.051e-5, -6.837e-6
0.124, -1.267e-5, -1.989e-5, -7.216e-6
0.120, -1.172e-5, -1.926e-5, -7.549e-6
0.116, -1.081e-5, -1.865e-5, -7.841e-6
0.112, -9.948e-6, -1.805e-5, -8.099e-6
0.108, -9.144e-6, -1.746e-5, -8.319e-6
0.104, -8.395e-6, -1.690e-5, -8.504e-6
0.100, -7.699e-6, -1.635e-5, -8.656e-6
0.096, -7.056e-6, -1.584e-5, -8.779e-6
0.092, -6.465e-6, -1.534e-5, -8.874e-6
0.088, -5.923e-6, -1.487e-5, -8.945e-6
0.084, -5.429e-6, -1.442e-5, -8.993e-6
0.080, -4.979e-6, -1.400e-5, -9.021e-6
0.076, -4.568e-6, -1.360e-5, -9.033e-6
0.072, -4.194e-6, -1.323e-5, -9.032e-6
0.068, -3.858e-6, -1.287e-5, -9.016e-6
0.064, -3.553e-6, -1.254e-5, -8.989e-6
0.060, -3.275e-6, -1.223e-5, -8.952e-6
0.056, -3.024e-6, -1.193e-5, -8.908e-6
0.052, -2.795e-6, -1.165e-5, -8.858e-6
0.048, -2.590e-6, -1.139e-5, -8.803e-6
0.044, -2.406e-6, -1.115e-5, -8.743e-6
0.040, -2.242e-6, -1.092e-5, -8.678e-6
0.036, -2.090e-6, -1.070e-5, -8.612e-6
0.032, -1.951e-6, -1.049e-5, -8.543e-6
0.028, -1.824e-6, -1.030e-5, -8.472e-6
0.024, -1.712e-6, -1.011e-5, -8.398e-6
0.020, -1.610e-6, -9.935e-6, -8.325e-6
0.016, -1.515e-6, -9.769e-6, -8.254e-6
0.012, -1.427e-6, -9.609e-6, -8.183e-6
0.008, -1.347e-6, -9.459e-6, -8.112e-6
0.004, -1.276e-6, -9.317e-6, -8.041e-6
-0.000, -1.215e-6, -9.182e-6, -7.968e-6
-0.004, -1.160e-6, -9.055e-6, -7.895e-6
