5 Hz
Potential/V, Diff(i/A), For(i/A), Rev(i/A)
0.496, -2.000e-7, 6.133e-7, 8.133e-7
0.492, -1.917e-7, 5.851e-7, 7.768e-7
0.488, -1.836e-7, 5.598e-7, 7.434e-7
0.484, -1.757e-7, 5.375e-7, 7.132e-7
0.480, -1.677e-7, 5.182e-7, 6.859e-7
0.476, -1.597e-7, 5.018e-7, 6.615e-7
0.472, -1.555e-7, 4.874e-7, 6.428e-7
0.468, -1.569e-7, 4.734e-7, 6.303e-7
0.464, -1.625e-7, 4.589e-7, 6.214e-7
0.460, -1.688e-7, 4.444e-7, 6.132e-7
0.456, -1.735e-7, 4.304e-7, 6.039e-7
0.452, -1.761e-7, 4.173e-7, 5.934e-7
0.448, -1.766e-7, 4.054e-7, 5.820e-7
0.444, -1.758e-7, 3.951e-7, 5.709e-7
0.440, -1.741e-7, 3.860e-7, 5.601e-7
0.436, -1.723e-7, 3.778e-7, 5.500e-7
0.432, -1.710e-7, 3.695e-7, 5.404e-7
0.428, -1.714e-7, 3.606e-7, 5.319e-7
0.424, -1.736e-7, 3.507e-7, 5.243e-7
0.420, -1.777e-7, 3.399e-7, 5.176e-7
0.416, -1.837e-7, 3.283e-7, 5.120e-7
0.412, -1.909e-7, 3.161e-7, 5.070e-7
0.408, -1.990e-7, 3.036e-7, 5.027e-7
0.404, -2.079e-7, 2.912e-7, 4.991e-7
0.400, -2.169e-7, 2.791e-7, 4.960e-7
0.396, -2.262e-7, 2.671e-7, 4.932e-7
0.392, -2.369e-7, 2.543e-7, 4.911e-7
0.388, -2.504e-7, 2.392e-7, 4.896e-7
0.384, -2.691e-7, 2.200e-7, 4.890e-7
0.380, -2.920e-7, 1.974e-7, 4.893e-7
0.376, -3.168e-7, 1.737e-7, 4.905e-7
0.372, -3.415e-7, 1.513e-7, 4.927e-7
0.368, -3.670e-7, 1.290e-7, 4.960e-7
0.364, -3.966e-7, 1.040e-7, 5.007e-7
0.360, -4.334e-7, 7.350e-8, 5.069e-7
0.356, -4.800e-7, 3.517e-8, 5.152e-7
0.352, -5.360e-7, -1.027e-8, 5.257e-7
0.348, -5.992e-7, -6.015e-8, 5.391e-7
0.344, -6.711e-7, -1.162e-7, 5.549e-7
0.340, -7.530e-7, -1.806e-7, 5.724e-7
0.336, -8.421e-7, -2.507e-7, 5.913e-7
0.332, -9.438e-7, -3.313e-7, 6.125e-7
0.328, -1.061e-6, -4.238e-7, 6.371e-7
0.324, -1.199e-6, -5.296e-7, 6.691e-7
0.320, -1.362e-6, -6.524e-7, 7.092e-7
0.316, -1.549e-6, -7.919e-7, 7.568e-7
0.312, -1.759e-6, -9.478e-7, 8.113e-7
0.308, -1.994e-6, -1.123e-6, 8.710e-7
0.304, -2.256e-6, -1.321e-6, 9.356e-7
0.300, -2.553e-6, -1.545e-6, 1.008e-6
0.296, -2.889e-6, -1.801e-6, 1.089e-6
0.292, -3.264e-6, -2.086e-6, 1.179e-6
