File: krzywa kalibracyjna swv - 100hz - próbka
Potential/V, Diff(i/A), For(i/A), Rev(i/A)
0.496, -2.878e-6, 1.267e-5, 1.555e-5
0.492, -2.893e-6, 1.254e-5, 1.544e-5
0.488, -2.906e-6, 1.243e-5, 1.534e-5
0.484, -2.919e-6, 1.234e-5, 1.526e-5
0.480, -2.933e-6, 1.228e-5, 1.521e-5
0.476, -2.925e-6, 1.220e-5, 1.513e-5
0.472, -2.946e-6, 1.214e-5, 1.509e-5
0.468, -2.951e-6, 1.207e-5, 1.502e-5
0.464, -2.985e-6, 1.200e-5, 1.498e-5
0.460, -2.993e-6, 1.193e-5, 1.492e-5
0.456, -3.036e-6, 1.186e-5, 1.489e-5
0.452, -3.061e-6, 1.178e-5, 1.484e-5
0.448, -3.120e-6, 1.170e-5, 1.482e-5
0.444, -3.164e-6, 1.161e-5, 1.478e-5
0.440, -3.237e-6, 1.152e-5, 1.476e-5
0.436, -3.297e-6, 1.142e-5, 1.472e-5
0.432, -3.391e-6, 1.132e-5, 1.471e-5
0.428, -3.472e-6, 1.121e-5, 1.468e-5
0.424, -3.596e-6, 1.109e-5, 1.469e-5
0.420, -3.710e-6, 1.095e-5, 1.466e-5
0.416, -3.863e-6, 1.081e-5, 1.467e-5
0.412, -4.010e-6, 1.065e-5, 1.466e-5
0.408, -4.206e-6, 1.048e-5, 1.469e-5
0.404, -4.397e-6, 1.029e-5, 1.469e-5
0.400, -4.657e-6, 1.008e-5, 1.473e-5
0.396, -4.929e-6, 9.826e-6, 1.476e-5
0.392, -5.265e-6, 9.554e-6, 1.482e-5
0.388, -5.619e-6, 9.244e-6, 1.486e-5
0.384, -6.054e-6, 8.904e-6, 1.496e-5
0.380, -6.521e-6, 8.512e-6, 1.503e-5
0.376, -7.104e-6, 8.067e-6, 1.517e-5
0.372, -7.742e-6, 7.555e-6, 1.530e-5
0.368, -8.502e-6, 6.982e-6, 1.548e-5
0.364, -9.348e-6, 6.318e-6, 1.567e-5
0.360, -1.035e-5, 5.566e-6, 1.591e-5
0.356, -1.146e-5, 4.701e-6, 1.616e-5
0.352, -1.276e-5, 3.726e-6, 1.648e-5
0.348, -1.422e-5, 2.604e-6, 1.683e-5
0.344, -1.593e-5, 1.333e-6, 1.726e-5
0.340, -1.786e-5, -1.350e-7, 1.772e-5
0.336, -2.010e-5, -1.803e-6, 1.830e-5
0.332, -2.263e-5, -3.719e-6, 1.891e-5
0.328, -2.553e-5, -5.883e-6, 1.965e-5
0.324, -2.883e-5, -8.369e-6, 2.046e-5
0.320, -3.259e-5, -1.118e-5, 2.142e-5
0.316, -3.683e-5, -1.438e-5, 2.245e-5
0.312, -4.167e-5, -1.800e-5, 2.367e-5
0.308, -4.712e-5, -2.212e-5, 2.500e-5
0.304, -5.326e-5, -2.674e-5, 2.653e-5
0.300, -6.014e-5, -3.195e-5, 2.819e-5
0.296, -6.786e-5, -3.778e-5, 3.008e-5
0.292, -7.640e-5, -4.429e-5, 3.210e-5
0.288, -8.590e-5, -5.152e-5, 3.438e-5
0.284, -9.637e-5, -5.957e-5, 3.680e-5
0.280, -1.079e-4, -6.839e-5, 3.947e-5
0.276, -1.203e-4, -7.808e-5, 4.226e-5
0.272, -1.339e-4, -8.860e-5, 4.530e-5
0.268, -1.484e-4, -9.999e-5, 4.838e-5
0.264, -1.638e-4, -1.122e-4, 5.165e-5
0.260, -1.802e-4, -1.253e-4, 5.488e-5
0.256, -1.974e-4, -1.392e-4, 5.820e-5
0.252, -2.152e-4, -1.538e-4, 6.134e-5
0.248, -2.336e-4, -1.692e-4, 6.442e-5
0.244, -2.522e-4, -1.851e-4, 6.714e-5
0.240, -2.710e-4, -2.014e-4, 6.957e-5
0.236, -2.895e-4, -2.181e-4, 7.139e-5
0.232, -3.077e-4, -2.349e-4, 7.275e-5
0.228, -3.251e-4, -2.518e-4, 7.332e-5
0.224, -3.418e-4, -2.686e-4, 7.323e-5
0.220, -3.574e-4, -2.851e-4, 7.223e-5
0.216, -3.716e-4, -3.012e-4, 7.042e-5
0.212, -3.842e-4, -3.167e-4, 6.751e-5
0.208, -3.951e-4, -3.313e-4, 6.381e-5
0.204, -4.038e-4, -3.448e-4, 5.903e-5
0.200, -4.105e-4, -3.571e-4, 5.346e-5
0.196, -4.149e-4, -3.680e-4, 4.691e-5
0.192, -4.169e-4, -3.772e-4, 3.966e-5
0.188, -4.164e-4, -3.849e-4, 3.158e-5
