File: krzywa kalibracyjna swv - 5hz - 8mm
Potential/V, Diff(i/A), For(i/A), Rev(i/A)
0.496, -2.462e-7, 1.951e-6, 2.197e-6
0.492, -2.511e-7, 1.857e-6, 2.108e-6
0.488, -2.541e-7, 1.772e-6, 2.026e-6
0.484, -2.555e-7, 1.696e-6, 1.951e-6
0.480, -2.545e-7, 1.630e-6, 1.885e-6
0.476, -2.517e-7, 1.570e-6, 1.821e-6
0.472, -2.499e-7, 1.514e-6, 1.764e-6
0.468, -2.483e-7, 1.461e-6, 1.709e-6
0.464, -2.498e-7, 1.409e-6, 1.659e-6
0.460, -2.526e-7, 1.363e-6, 1.616e-6
0.456, -2.565e-7, 1.319e-6, 1.575e-6
0.452, -2.619e-7, 1.277e-6, 1.539e-6
0.448, -2.719e-7, 1.232e-6, 1.504e-6
0.444, -2.816e-7, 1.187e-6, 1.469e-6
0.440, -2.892e-7, 1.147e-6, 1.436e-6
0.436, -2.969e-7, 1.108e-6, 1.405e-6
0.432, -3.051e-7, 1.072e-6, 1.377e-6
0.428, -3.166e-7, 1.038e-6, 1.354e-6
0.424, -3.368e-7, 9.971e-7, 1.334e-6
0.420, -3.593e-7, 9.548e-7, 1.314e-6
0.416, -3.806e-7, 9.138e-7, 1.294e-6
0.412, -4.047e-7, 8.716e-7, 1.276e-6
0.408, -4.343e-7, 8.267e-7, 1.261e-6
0.404, -4.725e-7, 7.761e-7, 1.249e-6
0.400, -5.173e-7, 7.215e-7, 1.239e-6
0.396, -5.645e-7, 6.667e-7, 1.231e-6
0.392, -6.139e-7, 6.119e-7, 1.226e-6
0.388, -6.704e-7, 5.534e-7, 1.224e-6
0.384, -7.375e-7, 4.880e-7, 1.225e-6
0.380, -8.225e-7, 4.090e-7, 1.231e-6
0.376, -9.230e-7, 3.189e-7, 1.242e-6
0.372, -1.036e-6, 2.202e-7, 1.257e-6
0.368, -1.165e-6, 1.100e-7, 1.275e-6
0.364, -1.314e-6, -1.393e-8, 1.300e-6
0.360, -1.483e-6, -1.516e-7, 1.331e-6
0.356, -1.678e-6, -3.086e-7, 1.369e-6
0.352, -1.905e-6, -4.888e-7, 1.416e-6
0.348, -2.164e-6, -6.925e-7, 1.471e-6
0.344, -2.459e-6, -9.226e-7, 1.537e-6
0.340, -2.797e-6, -1.184e-6, 1.613e-6
0.336, -3.182e-6, -1.478e-6, 1.703e-6
0.332, -3.620e-6, -1.814e-6, 1.807e-6
0.328, -4.123e-6, -2.197e-6, 1.927e-6
0.324, -4.693e-6, -2.630e-6, 2.063e-6
0.320, -5.337e-6, -3.121e-6, 2.217e-6
0.316, -6.065e-6, -3.676e-6, 2.389e-6
0.312, -6.888e-6, -4.305e-6, 2.583e-6
0.308, -7.816e-6, -5.015e-6, 2.801e-6
0.304, -8.856e-6, -5.812e-6, 3.044e-6
0.300, -1.002e-5, -6.706e-6, 3.315e-6
0.296, -1.132e-5, -7.709e-6, 3.614e-6
0.292, -1.277e-5, -8.825e-6, 3.941e-6
0.288, -1.437e-5, -1.007e-5, 4.296e-6
0.284, -1.614e-5, -1.146e-5, 4.681e-6
0.280, -1.808e-5, -1.298e-5, 5.094e-6
0.276, -2.020e-5, -1.467e-5, 5.535e-6
0.272, -2.251e-5, -1.651e-5, 6.000e-6
0.268, -2.501e-5, -1.853e-5, 6.482e-6
0.264, -2.769e-5, -2.071e-5, 6.976e-6
0.260, -3.055e-5, -2.307e-5, 7.480e-6
0.256, -3.359e-5, -2.561e-5, 7.982e-6
0.252, -3.679e-5, -2.832e-5, 8.471e-6
0.248, -4.014e-5, -3.120e-5, 8.939e-6
0.244, -4.360e-5, -3.424e-5, 9.366e-6
0.240, -4.715e-5, -3.741e-5, 9.734e-6
0.236, -5.074e-5, -4.070e-5, 1.003e-5
0.232, -5.433e-5, -4.409e-5, 1.024e-5
0.228, -5.790e-5, -4.756e-5, 1.034e-5
0.224, -6.139e-5, -5.107e-5, 1.032e-5
0.220, -6.476e-5, -5.460e-5, 1.016e-5
0.216, -6.795e-5, -5.810e-5, 9.845e-6
0.212, -7.090e-5, -6.153e-5, 9.362e-6
0.208, -7.357e-5, -6.486e-5, 8.706e-6
0.204, -7.589e-5, -6.802e-5, 7.871e-6
0.200, -7.782e-5, -7.097e-5, 6.853e-6
0.196, -7.934e-5, -7.368e-5, 5.669e-6
0.192, -8.039e-5, -7.609e-5, 4.301e-6
0.188, -8.096e-5, -7.818e-5, 2.779e-6
0.184, -8.107e-5, -7.995e-5, 1.120e-6
0.180, -8.068e-5, -8.134e-5, -6.571e-7
0.176, -7.981e-5, -8.236e-5, -2.552e-6
0.172, -7.848e-5, -8.300e-5, -4.519e-6
0.168, -7.671e-5, -8.326e-5, -6.548e-6
0.164, -7.453e-5, -8.314e-5, -8.608e-6
0.160, -7.200e-5, -8.268e-5, -1.067e-5
0.156, -6.919e-5, -8.189e-5, -1.270e-5
