Delay -5C 15C 35C 55C 70C
-4469.08154 -3.2e-05 3e-06 3.8e-05 3.6e-05 4e-05
-4468.08085 -0.000202 6.1e-05 -5e-06 -0.00015 2.4e-05
-4467.08016 -0.000171 8e-05 0 0 0.000133
-4466.07947 -8.1e-05 1.9e-05 -3.2e-05 -4.2e-05 3.8e-05
-4465.07878 -0.000175 8.2e-05 6.6e-05 6.2e-05 -6e-06
-4464.07809 -3.6e-05 -5.7e-05 -3.4e-05 5.3e-05 -6.8e-05
-4463.0774 -4.1e-05 -5.7e-05 4.3e-05 -2.5e-05 0.000128
-4462.07671 8e-06 7.4e-05 -2e-05 5.8e-05 8.3e-05
-4461.07602 -0.00012 0.000203 -7e-06 4.6e-05 -1.7e-05
-4460.07533 -9.1e-05 -6e-05 -2.5e-05 1e-06 0
-4459.07464 0.000175 4.2e-05 5.1e-05 -7.9e-05 5.9e-05
-4458.07395 7e-05 2e-06 -5.4e-05 -7e-06 0.000146
-4457.07326 -0.000188 8.1e-05 2.8e-05 1.2e-05 5e-06
-4456.07257 -3.6e-05 -0.000109 -4e-06 3.4e-05 0.000107
-4455.07188 -9e-06 -2.9e-05 3.6e-05 -3.5e-05 1.7e-05
-4454.07119 -0.000108 -0.000139 1.8e-05 4.7e-05 -8e-06
-4453.0705 5.3e-05 -6.7e-05 -9e-06 8.2e-05 9.5e-05
-4452.06981 5.8e-05 -3.1e-05 7.7e-05 3.9e-05 -4e-06
-4451.06912 4.9e-05 4.1e-05 2.5e-05 4.3e-05 1.4e-05
-4450.06843 -1.8e-05 -7.9e-05 1.7e-05 0.000143 3.5e-05
-4449.06774 1e-06 -0.000118 -3.4e-05 5e-05 9.2e-05
-4448.06705 9.8e-05 -1.2e-05 -4.6e-05 -2.6e-05 4.8e-05
-4447.06636 9.9e-05 5.6e-05 -3.8e-05 7.7e-05 -8e-06
-4446.06567 1e-05 6.8e-05 3.1e-05 0.000109 7e-05
-4445.06498 -2e-06 -9.2e-05 -1e-05 -4.5e-05 -4.5e-05
-4444.06429 -1.6e-05 3.5e-05 -1.3e-05 6.7e-05 -4.2e-05
-4443.0636 7.9e-05 -3.4e-05 1.1e-05 -6.6e-05 -3.5e-05
-4442.06291 0.00012 -0.000175 2e-05 0.000119 0.000176
-4441.06222 3e-05 -6.3e-05 -1.9e-05 -3.6e-05 2.9e-05
-4440.06153 -1.9e-05 -8e-05 -5.9e-05 8.1e-05 -0.00013
-4439.06084 -4e-06 5.6e-05 -2.7e-05 4.4e-05 -6.3e-05
-4438.06015 9.6e-05 8.5e-05 -7.9e-05 -2.2e-05 3.6e-05
-4437.05946 -8.4e-05 -2.9e-05 7.7e-05 6.9e-05 -6e-06
-4436.05877 -0.00014 5e-06 1e-06 -7e-06 3.4e-05
-4435.05808 6.2e-05 -0.000226 9.2e-05 3e-06 5.5e-05
-4434.05739 2.7e-05 6.7e-05 -2.4e-05 -3.6e-05 -7.6e-05
-4433.0567 0.000144 -8.1e-05 -2e-06 8.5e-05 5.1e-05
-4432.05601 3.4e-05 9.1e-05 -1.9e-05 -9.9e-05 6e-05
-4431.05532 8.8e-05 2e-05 4.9e-05 -4.8e-05 -2.6e-05
-4430.05463 5.1e-05 -2.5e-05 3e-06 -6e-06 9.1e-05
-4429.05394 4.3e-05 8.2e-05 2.9e-05 -3.7e-05 -3.1e-05
-4428.05325 -6.5e-05 8.1e-05 9.3e-05 -0.000121 4.5e-05
-4427.05256 -2.3e-05 8.2e-05 -3.9e-05 -9e-05 -1.8e-05
-4426.05187 5.7e-05 5.2e-05 -3.3e-05 -9.8e-05 4.7e-05
-4425.05118 0.000163 6.5e-05 7e-06 3.3e-05 1.3e-05
-4424.05049 -0.00011 1.4e-05 7.4e-05 6.4e-05 0.000142
-4423.0498 -1.7e-05 4.1e-05 3.3e-05 1.9e-05 -3e-06
-4422.04911 4e-06 2.4e-05 6.4e-05 -9.6e-05 -2.7e-05
-4421.04842 -2e-05 -2e-06 7e-06 5.5e-05 -8.2e-05
-4420.04773 -3.6e-05 -5e-06 7.3e-05 -1.3e-05 3.7e-05
-4419.04704 8.8e-05 0.000111 8.8e-05 5.3e-05 -0.000135
-4418.04635 7.5e-05 6.2e-05 3.8e-05 -8.1e-05 3.1e-05
-4417.04566 3e-05 0.000271 -2.7e-05 -4.7e-05 -7.4e-05
-4416.04497 -7.8e-05 0.000167 0.000112 5e-05 3.3e-05
-4415.04428 0.000134 4.3e-05 4.5e-05 -7.4e-05 -5e-05
-4414.04359 5.3e-05 3.1e-05 -4.4e-05 -5.8e-05 -2.6e-05
-4413.0429 8.1e-05 7.8e-05 -8.6e-05 -5.9e-05 2.3e-05
-4412.04221 -4.5e-05 1.2e-05 6.1e-05 -4.3e-05 -9e-06
-4411.04152 -6e-05 8.2e-05 6.7e-05 -3.5e-05 -2.4e-05
-4410.04083 4.2e-05 -0.00014 -5e-05 6.4e-05 3.3e-05
-4409.04014 -4.6e-05 1.2e-05 0.000141 -0.000192 8e-06
-4408.03945 0 0.000118 0.000136 -4.9e-05 2.9e-05
-4407.03876 -4.6e-05 0.000157 9.6e-05 7.3e-05 3.6e-05
-4406.03807 -0.000112 1.7e-05 1.1e-05 -9.7e-05 1e-05
-4405.03738 0.000126 4.6e-05 -4.4e-05 -7.3e-05 -1e-05
-4404.03669 -3.5e-05 -1.4e-05 -4.6e-05 -6.4e-05 6.7e-05
-4403.036 -0.000128 6.4e-05 -5e-06 4e-05 9.9e-05
-4402.03531 -9.6e-05 -1.3e-05 6.6e-05 -4.7e-05 1.4e-05
-4401.03462 0.000108 -5e-06 4.3e-05 -4e-06 3.8e-05
-4400.03393 5.2e-05 -1.4e-05 9.7e-05 0.000108 3.4e-05
-4399.03324 6.6e-05 -9e-06 2.8e-05 6.3e-05 -3e-06
-4398.03255 -8.4e-05 3.6e-05 -3e-05 -4e-05 2.8e-05
-4397.03186 4e-05 -4.6e-05 0.000157 2e-05 6.8e-05
-4396.03117 8.9e-05 6e-06 0.000101 3e-06 -0.000116
-4395.03048 1.1e-05 8e-05 2.9e-05 -3.9e-05 -8e-05
-4394.02979 2e-05 0.000104 6.3e-05 4e-05 5.3e-05
-4393.0291 -1.7e-05 4e-05 5.9e-05 -3e-05 -2.7e-05
-4392.02841 -5.7e-05 -7.7e-05 -1.4e-05 -2.1e-05 0.000127
-4391.02772 -0.000207 5.6e-05 7.2e-05 8.2e-05 2e-06
-4390.02703 6e-06 1.9e-05 -6.2e-05 2.6e-05 1.9e-05
-4389.02634 -1.2e-05 -5.1e-05 2.8e-05 0.000112 -8.3e-05
-4388.02565 -1.3e-05 6.2e-05 -2.7e-05 6.3e-05 -1e-05
-4387.02496 -0.000126 -8.5e-05 5.6e-05 -5.3e-05 -1e-05
-4386.02427 5.3e-05 -8e-06 -3.8e-05 2.9e-05 -1e-05
-4385.02358 -2.6e-05 -9e-05 0.000109 1.8e-05 -9e-05
