Delay -5C 15C 35C 55C
-4418.04635 5.6e-05 -6.8e-05 -6.3e-05 -0.000123
-4417.04566 -6.6e-05 6e-06 -1.1e-05 -3.8e-05
-4416.04497 2.9e-05 0.000127 -6.5e-05 7.5e-05
-4415.04428 -7.4e-05 -3.9e-05 -0.000132 -0.000141
-4414.04359 4.9e-05 7.1e-05 0.000124 3.9e-05
-4413.0429 0.000109 2.8e-05 7.6e-05 7e-05
-4412.04221 0.000148 -7e-05 0.00013 -0.000151
-4411.04152 0.000187 -8.7e-05 4e-05 -1.2e-05
-4410.04083 4e-06 -2.2e-05 -9.1e-05 -0.000144
-4409.04014 3.3e-05 0.000179 -0.000122 3.4e-05
-4408.03945 2.9e-05 -5.9e-05 1.8e-05 -1.1e-05
-4407.03876 4.8e-05 4.8e-05 -7e-05 -7.8e-05
-4406.03807 7.1e-05 -0.000127 -9.7e-05 3.9e-05
-4405.03738 -1e-05 -0.000131 -0.000131 0.000131
-4404.03669 6.2e-05 -9.6e-05 -4e-05 9.2e-05
-4403.036 0.000149 -9.8e-05 -3.6e-05 -1.1e-05
-4402.03531 -3.8e-05 8.5e-05 -4.7e-05 -1.3e-05
-4401.03462 -1.7e-05 -3.2e-05 9.3e-05 -0.000154
-4400.03393 -4.2e-05 -1.4e-05 -1.1e-05 4.3e-05
-4399.03324 0.000104 -7e-06 -4.2e-05 -0.000142
-4398.03255 4.6e-05 2.7e-05 1.4e-05 -2.2e-05
-4397.03186 0.00013 -0.000142 9e-05 -1.5e-05
-4396.03117 -2e-06 0.000171 -0.00013 1.3e-05
-4395.03048 6e-06 -7.4e-05 -7.2e-05 -0.000137
-4394.02979 3.5e-05 9.5e-05 0.000151 -6.8e-05
-4393.0291 7.9e-05 5.9e-05 4e-05 1.8e-05
-4392.02841 1.4e-05 -8.8e-05 9.1e-05 -3.7e-05
-4391.02772 7.9e-05 -1.4e-05 4.9e-05 -5.5e-05
-4390.02703 4.6e-05 2e-06 -3.3e-05 0.000188
-4389.02634 0 -0.000125 -3.9e-05 -0.000128
-4388.02565 8.4e-05 1.9e-05 4.3e-05 -0.000104
-4387.02496 5.8e-05 0.000125 4.5e-05 -1.7e-05
-4386.02427 -5.5e-05 4e-05 6.8e-05 2.2e-05
-4385.02358 6.9e-05 -4.5e-05 1.4e-05 0.000156
-4384.02289 -4.9e-05 1.9e-05 0.000162 0.000127
-4383.0222 7.3e-05 -0.000116 1.7e-05 5.8e-05
-4382.02151 7.8e-05 5e-05 -0.000111 2.7e-05
-4381.02082 3.7e-05 5e-06 -6.9e-05 9e-05
-4380.02013 4.2e-05 -8.9e-05 -0.00012 -2.3e-05
-4379.01944 -5e-06 -5.9e-05 2e-05 2e-06
-4378.01875 -0.000144 8e-05 4.2e-05 3.2e-05
-4377.01806 2.3e-05 3.7e-05 -7.8e-05 3e-05
-4376.01737 0.000224 -1.2e-05 -5.9e-05 -0.000186
-4375.01668 -0.000164 7.4e-05 0.000194 6.3e-05
-4374.01599 -5.3e-05 -7.8e-05 5.6e-05 2.2e-05
-4373.0153 -8.5e-05 -0.000155 -5.9e-05 6.6e-05
-4372.01461 -8.5e-05 -8e-06 5.6e-05 -9e-05
-4371.01392 3.2e-05 2e-05 7.5e-05 -7.9e-05
-4370.01323 0.00014 -7.1e-05 7.6e-05 -3.4e-05
-4369.01254 -6.7e-05 -6.1e-05 -8.6e-05 -0.00013
-4368.01185 -2e-05 0.000113 0.000109 -7e-06
-4367.01116 -5.6e-05 -5.3e-05 5.1e-05 1.8e-05
-4366.01047 7e-06 0.000101 4.9e-05 -2.5e-05
-4365.00978 -0.000122 -5.8e-05 1.8e-05 -0.000131
-4364.00909 4.7e-05 -0.0001 1e-06 -7.5e-05
-4363.0084 -8.5e-05 -1.3e-05 -7.2e-05 1.2e-05
-4362.00771 0.00011 -0.00011 -1.3e-05 -2e-05
-4361.00702 -2.1e-05 -3e-06 -9.9e-05 -9.8e-05
-4360.00633 -0.000223 -5e-05 3.2e-05 0.000213
-4359.00564 -0.000107 -6.5e-05 -3.5e-05 -4e-05
-4358.00495 0.000139 3.3e-05 1.4e-05 7.8e-05
-4357.00426 -1.5e-05 -9.3e-05 0.000141 -1.9e-05
-4356.00357 -2.4e-05 -1.8e-05 -8.7e-05 -4.9e-05
-4355.00288 -0.000103 -3e-06 9e-06 0
-4354.00219 0.0001 -4.2e-05 -5.3e-05 9.4e-05
-4353.0015 0.000105 6.8e-05 3.9e-05 5.2e-05
-4352.00081 -5.3e-05 3.8e-05 -7e-06 5e-06
-4351.00012 -0.000151 3e-06 -4.2e-05 2.4e-05
-4349.99943 0.000147 0.000125 -3.4e-05 -8.9e-05
-4348.99874 -8.6e-05 -5e-06 0.000154 5.9e-05
-4347.99805 0.000167 -5e-06 3.7e-05 -5.7e-05
-4346.99736 -2.9e-05 -3.7e-05 1.3e-05 5.6e-05
-4345.99667 3e-06 -2.6e-05 3e-06 2.9e-05
-4344.99598 9.3e-05 6.2e-05 0.000155 9.9e-05
-4343.99529 -5.2e-05 0.000227 -6.3e-05 -0.000109
-4342.9946 -4.6e-05 -8.3e-05 0.000227 -3.9e-05
-4341.99391 -9.3e-05 3.9e-05 -4.5e-05 8.3e-05
-4340.99322 0.000107 8.4e-05 0.000124 -3e-06
-4339.99253 -0.000185 0 -1.1e-05 4.5e-05
-4338.99184 0 0.00012 1.3e-05 2e-06
-4337.99115 -0.000217 -0.000157 4e-05 -0.000159
-4336.99046 -9.3e-05 -0.000108 -5.7e-05 2.3e-05
-4335.98977 -0.000134 5.9e-05 7.6e-05 -0.000106
-4334.98908 -0.00017 -7e-06 -2.1e-05 2.6e-05
-4333.98839 2e-06 -2.1e-05 8.1e-05 2.2e-05
-4332.9877 -8.6e-05 -3.8e-05 4.3e-05 -0.000156
-4331.98701 -1e-05 -4.4e-05 -0.000193 -5.9e-05
-4330.98632 -8e-06 -2.6e-05 9e-05 4e-05
-4329.98563 -0.000174 1.4e-05 -7.9e-05 -3.5e-05
-4328.98494 2.8e-05 -0.000188 1.3e-05 -2.3e-05
-4327.98425 6e-06 3.7e-05 0.000117 -3.2e-05
-4326.98356 7.1e-05 -0.000137 9.6e-05 9.2e-05
-4325.98287 3.4e-05 -2.4e-05 -8e-06 2.9e-05
-4324.98218 6.7e-05 -1.5e-05 9.5e-05 -5.5e-05
-4323.98149 1.2e-05 -1.2e-05 1.9e-05 -8.2e-05
-4322.9808 7.5e-05 -2.4e-05 1.9e-05 -3.8e-05
-4321.98011 5.3e-05 -8.8e-05 -8.8e-05 -5e-06
-4320.97942 -0.000126 -2.9e-05 -7.5e-05 -1.4e-05
-4319.97873 8.9e-05 0.000209 3.7e-05 -6.8e-05
-4318.97804 -1e-06 5.7e-05 6.6e-05 8.8e-05
-4317.97735 9.5e-05 5.3e-05 -3e-05 -4.1e-05
-4316.97666 -1.4e-05 0.000183 6.5e-05 -0.000106
-4315.97597 -1.5e-05 0.000234 -4.2e-05 0.000107
-4314.97528 -0.000104 7.7e-05 -0.000133 -0.000118
-4313.97459 8.1e-05 -0.000114 -3.5e-05 -1.3e-05
-4312.9739 2.8e-05 4.7e-05 -9e-05 -3.1e-05
-4311.97321 2.4e-05 0.000112 1e-06 -4.9e-05
-4310.97252 -0.000101 -1.7e-05 6.7e-05 -2.2e-05
-4309.97183 -7.4e-05 8.3e-05 9.1e-05 -1e-06
-4308.97114 8e-06 5.5e-05 3e-06 -0.000174
-4307.97045 -0.000106 2.3e-05 6.3e-05 -1.1e-05
-4306.96976 5.3e-05 -2e-05 1.6e-05 -0.000101
-4305.96907 5e-06 8.5e-05 0 -8e-06
-4304.96838 -0.000166 0.000124 -0.000102 -0.000107
