Wavenumber parallel perpendicular
-0.06835938 0.0325500208 0.063104756
0.4137649 0.0303612838 0.0754541876
0.8958892 0.0332897189 0.0841481828
1.378013 0.0388881827 0.0871529648
1.860138 0.0476145862 0.083267426
2.342262 0.0601113484 0.0724526792
2.824386 0.0747141922 0.0559502636
3.30651 0.0876014497 0.0360952724
3.788635 0.0945159434 0.0162793708
4.270759 0.0900722022 0.00529276968
4.752883 0.0684132946 0.01669099256
5.235008 0.0398425051 0.03312613744
5.717132 0.01027196072 0.04804444656
6.199256 -0.01176733121 0.05977113252
6.68138 -0.00200117145 0.0650598234
7.163505 0.0229213254 0.0635518356
7.645629 0.0506842801 0.0549001816
8.127753 0.0768911981 0.0395065616
8.609878 0.097566892 0.01974746884
9.092002 0.108758872 0.00189177692
9.574126 0.1008762843 0.0088540078
10.05625 0.08477426 0.024643619
10.53837 0.0697913899 0.0370727632
11.0205 0.0580119547 0.0467087632
11.50262 0.0494031164 0.0557789012
11.98475 0.0440156065 0.065242892
12.46687 0.0424198063 0.0736840896
12.949 0.0441391177 0.0784726624
13.43112 0.0470190961 0.0773975048
13.91324 0.0481955655 0.0696253096
14.39537 0.0453576801 0.05601486
14.87749 0.0384914962 0.0388472656
15.35962 0.03506723044 0.02080191784
15.84174 0.052895789 0.00411799036
16.32387 0.0847047021 -0.00144551572
16.80599 0.1154847388 0.00062963648
17.28811 0.139432512 8.799164e-05
17.77024 0.1480302399 4.897199999999e-07
18.25236 0.1360415973 0.00366516656
18.73449 0.103990415 0.01114679676
19.21661 0.0577554204 0.02057165396
19.69874 0.00790048042 0.0295544876
20.18086 0.01112193737 0.03157049808
20.66298 0.043769157 0.02689624872
21.14511 0.0626773347 0.01856533976
21.62723 0.0656399846 0.00878320696
22.10936 0.0518804849 0.00674357376
22.59148 0.02725202826 0.01606924924
23.0736 0.01475075802 0.022460867
23.55573 0.02850224979 0.02118546892
24.03785 0.0480211184 0.01761820808
24.51998 0.0602437288 0.02287390556
25.0021 0.0640741491 0.037895154
25.48423 0.06397328 0.055400048
25.96635 0.0630572348 0.0710725092
26.44847 0.0625057286 0.0833998572
26.9306 0.0620073067 0.0923963876
27.41272 0.0606132739 0.0983106212
27.89485 0.0576205925 0.100701414
28.37697 0.0530249455 0.0984126748
28.8591 0.0474846288 0.090294534
29.34122 0.0420407493 0.07602617
29.82335 0.0378077382 0.0565203408
30.30547 0.0356791026 0.0337920572
30.78759 0.0358393363 0.01099866504
31.26972 0.02894797255 0.01047446708
31.75184 0.01724294175 0.03036495968
32.23397 0.01238976811 0.04737835388
32.71609 0.01294478299 0.06029695452
33.19822 0.01566374675 0.068958945
33.68034 0.0179778793 0.0733580892
34.16246 0.0188632665 0.0736021132
34.64459 0.0188477932 0.0700812112
35.12671 0.01930879914 0.06382235552
35.60884 0.0213773346 0.0566990424
36.09096 0.02522377679 0.05075301572
36.57309 0.030244053 0.0465856424
37.05521 0.0354464676 0.0429470756
37.53733 0.0393433992 0.0388546752
38.01946 0.0399820482 0.035892472
38.50158 0.0356367369 0.0380872228
38.98371 0.02655937145 0.0475397802
39.46583 0.01561409176 0.06154221568
39.94796 0.00727380632 0.07577282856
40.43008 0.00710455031 0.08690173668
40.9122 0.0167172597 0.0942116912
41.39433 0.030523599 0.1001970332
41.87645 0.0414323286 0.107874294
42.35858 0.0471304435 0.1163832692
42.8407 0.0525898587 0.1202505964
43.32283 0.0671323935 0.1133422004
