Mar. 30, 2023   16:03:28
Cyclic Voltammetry
File: 05mmol2mvs
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.268
High E (V) = 0.5
Low E (V) = -0.1
Init P/N = N
Scan Rate (V/s) = 0.002
Segment = 4
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6

Segment 1:
Ep = 0.015V
ip = -3.979e-7A
Ah = -8.363e-6C

Segment 2:
Ep = 0.304V
ip = 6.518e-6A
Ah = 2.278e-4C

Segment 3:
Ep = 0.224V
ip = -5.895e-6A
Ah = -1.930e-4C

Segment 4:

Potential/V, Current/A, Charge/C

Segment 1:
0.267, -1.204e-6, -6.022e-7
0.266, -1.020e-6, -1.112e-6
0.265, -1.108e-6, -1.667e-6
0.264, -1.237e-6, -2.285e-6
0.263, -1.371e-6, -2.970e-6
0.262, -1.507e-6, -3.724e-6
0.261, -1.634e-6, -4.541e-6
0.260, -1.757e-6, -5.419e-6
0.259, -1.876e-6, -6.357e-6
0.258, -1.987e-6, -7.350e-6
0.257, -2.091e-6, -8.396e-6
0.256, -2.202e-6, -9.497e-6
0.255, -2.300e-6, -1.065e-5
0.254, -2.390e-6, -1.184e-5
0.253, -2.479e-6, -1.308e-5
0.252, -2.567e-6, -1.436e-5
0.251, -2.651e-6, -1.569e-5
0.250, -2.731e-6, -1.706e-5
0.249, -2.807e-6, -1.846e-5
0.248, -2.875e-6, -1.990e-5
0.247, -2.946e-6, -2.137e-5
0.246, -3.012e-6, -2.288e-5
0.245, -3.075e-6, -2.441e-5
0.244, -3.132e-6, -2.598e-5
0.243, -3.188e-6, -2.757e-5
0.242, -3.243e-6, -2.920e-5
0.241, -3.294e-6, -3.084e-5
0.240, -3.341e-6, -3.251e-5
0.239, -3.387e-6, -3.421e-5
0.238, -3.427e-6, -3.592e-5
0.237, -3.470e-6, -3.765e-5
0.236, -3.507e-6, -3.941e-5
0.235, -3.540e-6, -4.118e-5
0.234, -3.575e-6, -4.297e-5
0.233, -3.606e-6, -4.477e-5
0.232, -3.633e-6, -4.658e-5
0.231, -3.659e-6, -4.841e-5
0.230, -3.684e-6, -5.026e-5
0.229, -3.705e-6, -5.211e-5
0.228, -3.726e-6, -5.397e-5
0.227, -3.745e-6, -5.584e-5
0.226, -3.763e-6, -5.773e-5
0.225, -3.777e-6, -5.961e-5
0.224, -3.789e-6, -6.151e-5
0.223, -3.800e-6, -6.341e-5
0.222, -3.807e-6, -6.531e-5
0.221, -3.814e-6, -6.722e-5
0.220, -3.822e-6, -6.913e-5
0.219, -3.828e-6, -7.104e-5
0.218, -3.832e-6, -7.296e-5
0.217, -3.832e-6, -7.488e-5
0.216, -3.834e-6, -7.679e-5
0.215, -3.836e-6, -7.871e-5
0.214, -3.834e-6, -8.063e-5
0.213, -3.831e-6, -8.254e-5
0.212, -3.829e-6, -8.446e-5
0.211, -3.824e-6, -8.637e-5
0.210, -3.819e-6, -8.828e-5
0.209, -3.813e-6, -9.019e-5
0.208, -3.806e-6, -9.209e-5
0.207, -3.799e-6, -9.399e-5
0.206, -3.791e-6, -9.588e-5
0.205, -3.778e-6, -9.777e-5
0.204, -3.769e-6, -9.966e-5
0.203, -3.760e-6, -1.015e-4
0.202, -3.750e-6, -1.034e-4
0.201, -3.739e-6, -1.053e-4
0.200, -3.726e-6, -1.071e-4
0.199, -3.715e-6, -1.090e-4
0.198, -3.705e-6, -1.109e-4
0.197, -3.691e-6, -1.127e-4
0.196, -3.678e-6, -1.145e-4
0.195, -3.665e-6, -1.164e-4
0.194, -3.651e-6, -1.182e-4
0.193, -3.637e-6, -1.200e-4
0.192, -3.623e-6, -1.218e-4
0.191, -3.609e-6, -1.236e-4
0.190, -3.595e-6, -1.254e-4
0.189, -3.580e-6, -1.272e-4
0.188, -3.566e-6, -1.290e-4
0.187, -3.550e-6, -1.308e-4
0.186, -3.536e-6, -1.325e-4
0.185, -3.521e-6, -1.343e-4
0.184, -3.506e-6, -1.361e-4
0.183, -3.492e-6, -1.378e-4
0.182, -3.477e-6, -1.395e-4
0.181, -3.462e-6, -1.413e-4
0.180, -3.449e-6, -1.430e-4
0.179, -3.434e-6, -1.447e-4
0.178, -3.418e-6, -1.464e-4
0.177, -3.404e-6, -1.481e-4
0.176, -3.389e-6, -1.498e-4
0.175, -3.375e-6, -1.515e-4
0.174, -3.360e-6, -1.532e-4
0.173, -3.346e-6, -1.549e-4
0.172, -3.332e-6, -1.565e-4
0.171, -3.318e-6, -1.582e-4
0.170, -3.305e-6, -1.598e-4
0.169, -3.291e-6, -1.615e-4
0.168, -3.277e-6, -1.631e-4
0.167, -3.264e-6, -1.648e-4
0.166, -3.250e-6, -1.664e-4
0.165, -3.237e-6, -1.680e-4
0.164, -3.224e-6, -1.696e-4
0.163, -3.211e-6, -1.712e-4
0.162, -3.198e-6, -1.728e-4
0.161, -3.186e-6, -1.744e-4
0.160, -3.173e-6, -1.760e-4
0.159, -3.161e-6, -1.776e-4
0.158, -3.149e-6, -1.792e-4
0.157, -3.137e-6, -1.807e-4
0.156, -3.126e-6, -1.823e-4
0.155, -3.114e-6, -1.838e-4
0.154, -3.103e-6, -1.854e-4
0.153, -3.093e-6, -1.869e-4
0.152, -3.082e-6, -1.885e-4
0.151, -3.071e-6, -1.900e-4
0.150, -3.060e-6, -1.915e-4
0.149, -3.050e-6, -1.931e-4
0.148, -3.040e-6, -1.946e-4
0.147, -3.030e-6, -1.961e-4
0.146, -3.020e-6, -1.976e-4
0.145, -3.011e-6, -1.991e-4
0.144, -3.002e-6, -2.006e-4
0.143, -2.992e-6, -2.021e-4
0.142, -2.983e-6, -2.036e-4
0.141, -2.975e-6, -2.051e-4
0.140, -2.966e-6, -2.066e-4
0.139, -2.958e-6, -2.081e-4
0.138, -2.950e-6, -2.095e-4
0.137, -2.941e-6, -2.110e-4
0.136, -2.933e-6, -2.125e-4
0.135, -2.925e-6, -2.139e-4
0.134, -2.918e-6, -2.154e-4
0.133, -2.911e-6, -2.168e-4
0.132, -2.904e-6, -2.183e-4
0.131, -2.897e-6, -2.197e-4
0.130, -2.890e-6, -2.212e-4
0.129, -2.883e-6, -2.226e-4
0.128, -2.877e-6, -2.241e-4
0.127, -2.872e-6, -2.255e-4
0.126, -2.866e-6, -2.269e-4
0.125, -2.860e-6, -2.284e-4
0.124, -2.855e-6, -2.298e-4
0.123, -2.850e-6, -2.312e-4
0.122, -2.845e-6, -2.326e-4
0.121, -2.840e-6, -2.341e-4
0.120, -2.835e-6, -2.355e-4
0.119, -2.831e-6, -2.369e-4
0.118, -2.826e-6, -2.383e-4
0.117, -2.822e-6, -2.397e-4
0.116, -2.819e-6, -2.411e-4
0.115, -2.816e-6, -2.425e-4
0.114, -2.812e-6, -2.439e-4
0.113, -2.808e-6, -2.453e-4
0.112, -2.805e-6, -2.468e-4
0.111, -2.802e-6, -2.482e-4
0.110, -2.800e-6, -2.496e-4
0.109, -2.797e-6, -2.510e-4
0.108, -2.795e-6, -2.523e-4
0.107, -2.793e-6, -2.537e-4
0.106, -2.792e-6, -2.551e-4
0.105, -2.790e-6, -2.565e-4
0.104, -2.788e-6, -2.579e-4
0.103, -2.787e-6, -2.593e-4
0.102, -2.786e-6, -2.607e-4
0.101, -2.785e-6, -2.621e-4
0.100, -2.784e-6, -2.635e-4
0.099, -2.784e-6, -2.649e-4
0.098, -2.784e-6, -2.663e-4
0.097, -2.784e-6, -2.677e-4
0.096, -2.785e-6, -2.691e-4
0.095, -2.786e-6, -2.705e-4
0.094, -2.787e-6, -2.719e-4
0.093, -2.788e-6, -2.733e-4
0.092, -2.790e-6, -2.746e-4
0.091, -2.791e-6, -2.760e-4
0.090, -2.793e-6, -2.774e-4
0.089, -2.795e-6, -2.788e-4
0.088, -2.797e-6, -2.802e-4
0.087, -2.800e-6, -2.816e-4
0.086, -2.802e-6, -2.830e-4
0.085, -2.806e-6, -2.844e-4
0.084, -2.809e-6, -2.858e-4
0.083, -2.813e-6, -2.872e-4
0.082, -2.816e-6, -2.887e-4
0.081, -2.821e-6, -2.901e-4
0.080, -2.825e-6, -2.915e-4
0.079, -2.829e-6, -2.929e-4
0.078, -2.834e-6, -2.943e-4
0.077, -2.839e-6, -2.957e-4
0.076, -2.844e-6, -2.972e-4
0.075, -2.850e-6, -2.986e-4
0.074, -2.855e-6, -3.000e-4
0.073, -2.861e-6, -3.014e-4
0.072, -2.867e-6, -3.029e-4
0.071, -2.874e-6, -3.043e-4
0.070, -2.881e-6, -3.057e-4
0.069, -2.888e-6, -3.072e-4
0.068, -2.895e-6, -3.086e-4
0.067, -2.902e-6, -3.101e-4
0.066, -2.909e-6, -3.115e-4
0.065, -2.917e-6, -3.130e-4
0.064, -2.924e-6, -3.145e-4
0.063, -2.932e-6, -3.159e-4
0.062, -2.940e-6, -3.174e-4
0.061, -2.949e-6, -3.189e-4
0.060, -2.958e-6, -3.204e-4
0.059, -2.966e-6, -3.218e-4
0.058, -2.975e-6, -3.233e-4
0.057, -2.983e-6, -3.248e-4
0.056, -2.992e-6, -3.263e-4
0.055, -3.000e-6, -3.278e-4
0.054, -3.009e-6, -3.293e-4
0.053, -3.018e-6, -3.308e-4
0.052, -3.026e-6, -3.323e-4
0.051, -3.034e-6, -3.339e-4
0.050, -3.043e-6, -3.354e-4
0.049, -3.051e-6, -3.369e-4
0.048, -3.059e-6, -3.384e-4
0.047, -3.067e-6, -3.400e-4
0.046, -3.074e-6, -3.415e-4
0.045, -3.082e-6, -3.430e-4
0.044, -3.090e-6, -3.446e-4
0.043, -3.097e-6, -3.461e-4
