Mar. 30, 2023   16:26:07
Cyclic Voltammetry
File: 05mmol80mvs
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.268
High E (V) = 0.5
Low E (V) = -0.05
Init P/N = N
Scan Rate (V/s) = 0.08
Segment = 4
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:

Segment 2:
Ep = 0.308V
ip = 2.982e-5A
Ah = 2.711e-5C

Segment 3:
Ep = 0.213V
ip = -2.767e-5A
Ah = -2.487e-5C

Segment 4:

Potential/V, Current/A, Charge/C

Segment 1:
0.267, 5.367e-7, 6.709e-9
0.266, -5.711e-7, -4.302e-10
0.265, -1.518e-6, -1.941e-8
0.264, -2.378e-6, -4.913e-8
0.263, -3.187e-6, -8.897e-8
0.262, -3.900e-6, -1.377e-7
0.261, -4.639e-6, -1.957e-7
0.260, -5.277e-6, -2.617e-7
0.259, -5.911e-6, -3.356e-7
0.258, -6.520e-6, -4.171e-7
0.257, -7.082e-6, -5.056e-7
0.256, -7.647e-6, -6.012e-7
0.255, -8.208e-6, -7.038e-7
0.254, -8.697e-6, -8.125e-7
0.253, -9.225e-6, -9.278e-7
0.252, -9.694e-6, -1.049e-6
0.251, -1.017e-5, -1.176e-6
0.250, -1.063e-5, -1.309e-6
0.249, -1.107e-5, -1.447e-6
0.248, -1.149e-5, -1.591e-6
0.247, -1.193e-5, -1.740e-6
0.246, -1.231e-5, -1.894e-6
0.245, -1.272e-5, -2.053e-6
0.244, -1.308e-5, -2.216e-6
0.243, -1.344e-5, -2.384e-6
0.242, -1.381e-5, -2.557e-6
0.241, -1.415e-5, -2.734e-6
0.240, -1.448e-5, -2.915e-6
0.239, -1.481e-5, -3.100e-6
0.238, -1.509e-5, -3.289e-6
0.237, -1.542e-5, -3.482e-6
0.236, -1.569e-5, -3.678e-6
0.235, -1.596e-5, -3.877e-6
0.234, -1.623e-5, -4.080e-6
0.233, -1.647e-5, -4.286e-6
0.232, -1.671e-5, -4.495e-6
0.231, -1.695e-5, -4.707e-6
0.230, -1.715e-5, -4.921e-6
0.229, -1.738e-5, -5.139e-6
0.228, -1.756e-5, -5.358e-6
0.227, -1.776e-5, -5.580e-6
0.226, -1.794e-5, -5.804e-6
0.225, -1.809e-5, -6.031e-6
0.224, -1.825e-5, -6.259e-6
0.223, -1.842e-5, -6.489e-6
0.222, -1.852e-5, -6.720e-6
0.221, -1.869e-5, -6.954e-6
0.220, -1.879e-5, -7.189e-6
0.219, -1.890e-5, -7.425e-6
0.218, -1.900e-5, -7.663e-6
0.217, -1.909e-5, -7.901e-6
0.216, -1.917e-5, -8.141e-6
0.215, -1.926e-5, -8.382e-6
0.214, -1.930e-5, -8.623e-6
0.213, -1.938e-5, -8.865e-6
0.212, -1.940e-5, -9.108e-6
0.211, -1.946e-5, -9.351e-6
0.210, -1.949e-5, -9.594e-6
0.209, -1.952e-5, -9.838e-6
0.208, -1.953e-5, -1.008e-5
0.207, -1.956e-5, -1.033e-5
0.206, -1.953e-5, -1.057e-5
0.205, -1.955e-5, -1.082e-5
0.204, -1.952e-5, -1.106e-5
0.203, -1.951e-5, -1.130e-5
0.202, -1.949e-5, -1.155e-5
0.201, -1.947e-5, -1.179e-5
0.200, -1.943e-5, -1.203e-5
0.199, -1.942e-5, -1.228e-5
0.198, -1.935e-5, -1.252e-5
0.197, -1.933e-5, -1.276e-5
0.196, -1.928e-5, -1.300e-5
0.195, -1.923e-5, -1.324e-5
0.194, -1.917e-5, -1.348e-5
0.193, -1.910e-5, -1.372e-5
0.192, -1.904e-5, -1.396e-5
0.191, -1.899e-5, -1.419e-5
0.190, -1.890e-5, -1.443e-5
0.189, -1.884e-5, -1.467e-5
0.188, -1.876e-5, -1.490e-5
0.187, -1.868e-5, -1.513e-5
0.186, -1.860e-5, -1.537e-5
0.185, -1.852e-5, -1.560e-5
0.184, -1.844e-5, -1.583e-5
0.183, -1.836e-5, -1.606e-5
0.182, -1.826e-5, -1.629e-5
0.181, -1.819e-5, -1.651e-5
0.180, -1.808e-5, -1.674e-5
0.179, -1.800e-5, -1.696e-5
0.178, -1.790e-5, -1.719e-5
0.177, -1.782e-5, -1.741e-5
0.176, -1.771e-5, -1.763e-5
0.175, -1.763e-5, -1.785e-5
0.174, -1.752e-5, -1.807e-5
0.173, -1.744e-5, -1.829e-5
0.172, -1.733e-5, -1.851e-5
0.171, -1.724e-5, -1.872e-5
0.170, -1.714e-5, -1.894e-5
0.169, -1.705e-5, -1.915e-5
0.168, -1.694e-5, -1.936e-5
0.167, -1.685e-5, -1.957e-5
0.166, -1.674e-5, -1.978e-5
0.165, -1.666e-5, -1.999e-5
0.164, -1.655e-5, -2.020e-5
0.163, -1.646e-5, -2.040e-5
0.162, -1.636e-5, -2.061e-5
0.161, -1.627e-5, -2.081e-5
0.160, -1.617e-5, -2.101e-5
0.159, -1.609e-5, -2.121e-5
0.158, -1.598e-5, -2.141e-5
0.157, -1.590e-5, -2.161e-5
0.156, -1.580e-5, -2.181e-5
0.155, -1.572e-5, -2.201e-5
0.154, -1.563e-5, -2.220e-5
0.153, -1.554e-5, -2.240e-5
0.152, -1.544e-5, -2.259e-5
0.151, -1.536e-5, -2.278e-5
0.150, -1.525e-5, -2.297e-5
0.149, -1.518e-5, -2.316e-5
0.148, -1.509e-5, -2.335e-5
0.147, -1.501e-5, -2.354e-5
0.146, -1.492e-5, -2.372e-5
0.145, -1.484e-5, -2.391e-5
0.144, -1.475e-5, -2.409e-5
0.143, -1.468e-5, -2.428e-5
0.142, -1.459e-5, -2.446e-5
0.141, -1.452e-5, -2.464e-5
0.140, -1.443e-5, -2.482e-5
0.139, -1.436e-5, -2.500e-5
0.138, -1.428e-5, -2.518e-5
0.137, -1.421e-5, -2.536e-5
0.136, -1.413e-5, -2.553e-5
0.135, -1.406e-5, -2.571e-5
0.134, -1.397e-5, -2.588e-5
0.133, -1.391e-5, -2.606e-5
0.132, -1.383e-5, -2.623e-5
0.131, -1.375e-5, -2.640e-5
0.130, -1.368e-5, -2.657e-5
0.129, -1.361e-5, -2.674e-5
0.128, -1.353e-5, -2.691e-5
0.127, -1.348e-5, -2.708e-5
0.126, -1.339e-5, -2.725e-5
0.125, -1.334e-5, -2.742e-5
0.124, -1.327e-5, -2.758e-5
0.123, -1.321e-5, -2.775e-5
0.122, -1.314e-5, -2.791e-5
0.121, -1.308e-5, -2.807e-5
0.120, -1.301e-5, -2.824e-5
0.119, -1.296e-5, -2.840e-5
0.118, -1.289e-5, -2.856e-5
0.117, -1.284e-5, -2.872e-5
0.116, -1.277e-5, -2.888e-5
0.115, -1.272e-5, -2.904e-5
0.114, -1.266e-5, -2.920e-5
0.113, -1.260e-5, -2.936e-5
0.112, -1.254e-5, -2.951e-5
0.111, -1.249e-5, -2.967e-5
0.110, -1.242e-5, -2.982e-5
0.109, -1.238e-5, -2.998e-5
0.108, -1.232e-5, -3.013e-5
0.107, -1.227e-5, -3.029e-5
0.106, -1.220e-5, -3.044e-5
0.105, -1.216e-5, -3.059e-5
0.104, -1.210e-5, -3.074e-5
0.103, -1.206e-5, -3.089e-5
0.102, -1.200e-5, -3.104e-5
0.101, -1.196e-5, -3.119e-5
0.100, -1.191e-5, -3.134e-5
0.099, -1.186e-5, -3.149e-5
0.098, -1.181e-5, -3.164e-5
0.097, -1.177e-5, -3.178e-5
0.096, -1.171e-5, -3.193e-5
0.095, -1.168e-5, -3.208e-5
0.094, -1.162e-5, -3.222e-5
0.093, -1.159e-5, -3.237e-5
0.092, -1.153e-5, -3.251e-5
0.091, -1.150e-5, -3.265e-5
0.090, -1.145e-5, -3.280e-5
0.089, -1.142e-5, -3.294e-5
0.088, -1.136e-5, -3.308e-5
0.087, -1.133e-5, -3.322e-5
0.086, -1.127e-5, -3.336e-5
0.085, -1.125e-5, -3.350e-5
0.084, -1.120e-5, -3.364e-5
0.083, -1.117e-5, -3.378e-5
0.082, -1.112e-5, -3.392e-5
0.081, -1.108e-5, -3.406e-5
0.080, -1.104e-5, -3.420e-5
0.079, -1.101e-5, -3.434e-5
0.078, -1.096e-5, -3.447e-5
0.077, -1.093e-5, -3.461e-5
0.076, -1.088e-5, -3.475e-5
0.075, -1.086e-5, -3.488e-5
0.074, -1.082e-5, -3.502e-5
0.073, -1.078e-5, -3.515e-5
0.072, -1.074e-5, -3.529e-5
0.071, -1.072e-5, -3.542e-5
0.070, -1.065e-5, -3.555e-5
0.069, -1.064e-5, -3.569e-5
0.068, -1.059e-5, -3.582e-5
0.067, -1.057e-5, -3.595e-5
0.066, -1.053e-5, -3.608e-5
0.065, -1.049e-5, -3.621e-5
0.064, -1.045e-5, -3.635e-5
0.063, -1.044e-5, -3.648e-5
0.062, -1.039e-5, -3.661e-5
0.061, -1.038e-5, -3.674e-5
0.060, -1.034e-5, -3.686e-5
0.059, -1.031e-5, -3.699e-5
0.058, -1.027e-5, -3.712e-5
0.057, -1.025e-5, -3.725e-5
0.056, -1.021e-5, -3.738e-5
0.055, -1.019e-5, -3.750e-5
0.054, -1.015e-5, -3.763e-5
0.053, -1.013e-5, -3.776e-5
0.052, -1.009e-5, -3.788e-5
0.051, -1.007e-5, -3.801e-5
0.050, -1.004e-5, -3.814e-5
0.049, -1.001e-5, -3.826e-5
0.048, -9.976e-6, -3.839e-5
0.047, -9.960e-6, -3.851e-5
0.046, -9.918e-6, -3.863e-5
0.045, -9.906e-6, -3.876e-5
0.044, -9.865e-6, -3.888e-5
0.043, -9.853e-6, -3.900e-5
0.042, -9.816e-6, -3.913e-5
0.041, -9.804e-6, -3.925e-5
