Mar. 30, 2023   16:59:32
Cyclic Voltammetry
File: 10mmol120mvs
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.268
High E (V) = 0.5
Low E (V) = 0
Init P/N = N
Scan Rate (V/s) = 0.12
Segment = 4
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 5e-5

Segment 1:

Segment 2:
Ep = 0.316V
ip = 6.872e-5A
Ah = 4.510e-5C

Segment 3:
Ep = 0.201V
ip = -6.528e-5A
Ah = -4.344e-5C

Segment 4:
Ep = 0.314V
ip = 6.777e-5A
Ah = 4.335e-5C

Potential/V, Current/A, Charge/C

Segment 1:
0.267, 3.238e-7, 2.699e-9
0.266, -1.591e-6, -1.056e-8
0.265, -3.296e-6, -3.803e-8
0.264, -4.925e-6, -7.907e-8
0.263, -6.451e-6, -1.328e-7
0.262, -7.984e-6, -1.994e-7
0.261, -9.364e-6, -2.774e-7
0.260, -1.064e-5, -3.661e-7
0.259, -1.203e-5, -4.663e-7
0.258, -1.313e-5, -5.757e-7
0.257, -1.450e-5, -6.966e-7
0.256, -1.562e-5, -8.267e-7
0.255, -1.682e-5, -9.669e-7
0.254, -1.787e-5, -1.116e-6
0.253, -1.896e-5, -1.274e-6
0.252, -2.004e-5, -1.441e-6
0.251, -2.105e-5, -1.616e-6
0.250, -2.210e-5, -1.800e-6
0.249, -2.316e-5, -1.993e-6
0.248, -2.405e-5, -2.194e-6
0.247, -2.510e-5, -2.403e-6
0.246, -2.591e-5, -2.619e-6
0.245, -2.693e-5, -2.843e-6
0.244, -2.768e-5, -3.074e-6
0.243, -2.865e-5, -3.313e-6
0.242, -2.945e-5, -3.558e-6
0.241, -3.025e-5, -3.810e-6
0.240, -3.105e-5, -4.069e-6
0.239, -3.182e-5, -4.334e-6
0.238, -3.260e-5, -4.606e-6
0.237, -3.335e-5, -4.884e-6
0.236, -3.405e-5, -5.168e-6
0.235, -3.484e-5, -5.458e-6
0.234, -3.539e-5, -5.753e-6
0.233, -3.621e-5, -6.054e-6
0.232, -3.670e-5, -6.360e-6
0.231, -3.745e-5, -6.672e-6
0.230, -3.807e-5, -6.990e-6
0.229, -3.866e-5, -7.312e-6
0.228, -3.924e-5, -7.639e-6
0.227, -3.977e-5, -7.970e-6
0.226, -4.031e-5, -8.306e-6
0.225, -4.086e-5, -8.647e-6
0.224, -4.130e-5, -8.991e-6
0.223, -4.188e-5, -9.340e-6
0.222, -4.217e-5, -9.691e-6
0.221, -4.276e-5, -1.005e-5
0.220, -4.306e-5, -1.041e-5
0.219, -4.355e-5, -1.077e-5
0.218, -4.387e-5, -1.113e-5
0.217, -4.423e-5, -1.150e-5
0.216, -4.455e-5, -1.187e-5
0.215, -4.489e-5, -1.225e-5
0.214, -4.517e-5, -1.263e-5
0.213, -4.549e-5, -1.300e-5
0.212, -4.568e-5, -1.338e-5
0.211, -4.605e-5, -1.377e-5
0.210, -4.613e-5, -1.415e-5
0.209, -4.647e-5, -1.454e-5
0.208, -4.652e-5, -1.493e-5
0.207, -4.681e-5, -1.532e-5
0.206, -4.690e-5, -1.571e-5
0.205, -4.704e-5, -1.610e-5
0.204, -4.713e-5, -1.649e-5
0.203, -4.722e-5, -1.689e-5
0.202, -4.731e-5, -1.728e-5
0.201, -4.737e-5, -1.768e-5
0.200, -4.738e-5, -1.807e-5
0.199, -4.753e-5, -1.847e-5
0.198, -4.743e-5, -1.886e-5
0.197, -4.757e-5, -1.926e-5
0.196, -4.745e-5, -1.965e-5
0.195, -4.753e-5, -2.005e-5
0.194, -4.742e-5, -2.045e-5
0.193, -4.740e-5, -2.084e-5
0.192, -4.734e-5, -2.123e-5
0.191, -4.728e-5, -2.163e-5
0.190, -4.718e-5, -2.202e-5
0.189, -4.711e-5, -2.241e-5
0.188, -4.697e-5, -2.281e-5
0.187, -4.693e-5, -2.320e-5
0.186, -4.670e-5, -2.359e-5
0.185, -4.666e-5, -2.398e-5
0.184, -4.641e-5, -2.436e-5
0.183, -4.636e-5, -2.475e-5
0.182, -4.613e-5, -2.513e-5
0.181, -4.603e-5, -2.552e-5
0.180, -4.583e-5, -2.590e-5
0.179, -4.565e-5, -2.628e-5
0.178, -4.542e-5, -2.666e-5
0.177, -4.529e-5, -2.703e-5
0.176, -4.502e-5, -2.741e-5
0.175, -4.491e-5, -2.778e-5
0.174, -4.460e-5, -2.816e-5
0.173, -4.450e-5, -2.853e-5
0.172, -4.420e-5, -2.889e-5
0.171, -4.409e-5, -2.926e-5
0.170, -4.381e-5, -2.963e-5
0.169, -4.362e-5, -2.999e-5
0.168, -4.337e-5, -3.035e-5
0.167, -4.316e-5, -3.071e-5
0.166, -4.292e-5, -3.107e-5
0.165, -4.271e-5, -3.143e-5
0.164, -4.243e-5, -3.178e-5
0.163, -4.227e-5, -3.213e-5
0.162, -4.196e-5, -3.248e-5
0.161, -4.182e-5, -3.283e-5
0.160, -4.149e-5, -3.318e-5
0.159, -4.135e-5, -3.352e-5
0.158, -4.105e-5, -3.386e-5
0.157, -4.087e-5, -3.420e-5
0.156, -4.060e-5, -3.454e-5
0.155, -4.040e-5, -3.488e-5
0.154, -4.014e-5, -3.521e-5
0.153, -3.996e-5, -3.554e-5
0.152, -3.969e-5, -3.588e-5
0.151, -3.950e-5, -3.620e-5
0.150, -3.922e-5, -3.653e-5
0.149, -3.906e-5, -3.686e-5
0.148, -3.875e-5, -3.718e-5
0.147, -3.860e-5, -3.750e-5
0.146, -3.832e-5, -3.782e-5
0.145, -3.815e-5, -3.814e-5
0.144, -3.788e-5, -3.845e-5
0.143, -3.766e-5, -3.877e-5
0.142, -3.739e-5, -3.908e-5
0.141, -3.724e-5, -3.939e-5
0.140, -3.699e-5, -3.970e-5
0.139, -3.683e-5, -4.001e-5
0.138, -3.655e-5, -4.031e-5
0.137, -3.641e-5, -4.061e-5
0.136, -3.613e-5, -4.091e-5
0.135, -3.603e-5, -4.121e-5
0.134, -3.574e-5, -4.151e-5
0.133, -3.560e-5, -4.181e-5
0.132, -3.537e-5, -4.210e-5
0.131, -3.521e-5, -4.240e-5
0.130, -3.502e-5, -4.269e-5
0.129, -3.485e-5, -4.298e-5
0.128, -3.461e-5, -4.327e-5
0.127, -3.447e-5, -4.356e-5
0.126, -3.422e-5, -4.384e-5
0.125, -3.413e-5, -4.412e-5
0.124, -3.387e-5, -4.441e-5
0.123, -3.375e-5, -4.469e-5
0.122, -3.354e-5, -4.497e-5
0.121, -3.341e-5, -4.525e-5
0.120, -3.320e-5, -4.552e-5
0.119, -3.306e-5, -4.580e-5
0.118, -3.287e-5, -4.607e-5
0.117, -3.272e-5, -4.635e-5
0.116, -3.253e-5, -4.662e-5
0.115, -3.242e-5, -4.689e-5
0.114, -3.221e-5, -4.715e-5
0.113, -3.212e-5, -4.742e-5
0.112, -3.190e-5, -4.769e-5
0.111, -3.180e-5, -4.795e-5
0.110, -3.161e-5, -4.822e-5
0.109, -3.149e-5, -4.848e-5
0.108, -3.132e-5, -4.874e-5
0.107, -3.120e-5, -4.900e-5
0.106, -3.100e-5, -4.926e-5
0.105, -3.092e-5, -4.952e-5
0.104, -3.071e-5, -4.977e-5
0.103, -3.065e-5, -5.003e-5
0.102, -3.044e-5, -5.028e-5
0.101, -3.038e-5, -5.053e-5
0.100, -3.018e-5, -5.079e-5
0.099, -3.013e-5, -5.104e-5
0.098, -2.992e-5, -5.129e-5
0.097, -2.988e-5, -5.154e-5
0.096, -2.969e-5, -5.178e-5
0.095, -2.961e-5, -5.203e-5
0.094, -2.944e-5, -5.227e-5
0.093, -2.936e-5, -5.252e-5
0.092, -2.920e-5, -5.276e-5
0.091, -2.912e-5, -5.301e-5
0.090, -2.893e-5, -5.325e-5
0.089, -2.889e-5, -5.349e-5
0.088, -2.871e-5, -5.373e-5
0.087, -2.867e-5, -5.397e-5
0.086, -2.848e-5, -5.420e-5
0.085, -2.844e-5, -5.444e-5
0.084, -2.827e-5, -5.468e-5
0.083, -2.823e-5, -5.491e-5
0.082, -2.804e-5, -5.514e-5
0.081, -2.801e-5, -5.538e-5
0.080, -2.782e-5, -5.561e-5
0.079, -2.779e-5, -5.584e-5
0.078, -2.761e-5, -5.607e-5
0.077, -2.758e-5, -5.630e-5
0.076, -2.741e-5, -5.653e-5
0.075, -2.737e-5, -5.676e-5
0.074, -2.724e-5, -5.698e-5
0.073, -2.719e-5, -5.721e-5
0.072, -2.702e-5, -5.744e-5
0.071, -2.699e-5, -5.766e-5
0.070, -2.683e-5, -5.788e-5
0.069, -2.680e-5, -5.811e-5
0.068, -2.664e-5, -5.833e-5
0.067, -2.660e-5, -5.855e-5
0.066, -2.646e-5, -5.877e-5
0.065, -2.643e-5, -5.899e-5
0.064, -2.629e-5, -5.921e-5
0.063, -2.628e-5, -5.943e-5
0.062, -2.610e-5, -5.965e-5
0.061, -2.609e-5, -5.987e-5
0.060, -2.592e-5, -6.008e-5
0.059, -2.589e-5, -6.030e-5
0.058, -2.579e-5, -6.051e-5
0.057, -2.574e-5, -6.073e-5
0.056, -2.561e-5, -6.094e-5
0.055, -2.558e-5, -6.115e-5
0.054, -2.543e-5, -6.137e-5
0.053, -2.541e-5, -6.158e-5
0.052, -2.530e-5, -6.179e-5
0.051, -2.528e-5, -6.200e-5
0.050, -2.512e-5, -6.221e-5
0.049, -2.511e-5, -6.242e-5
0.048, -2.497e-5, -6.263e-5
0.047, -2.494e-5, -6.283e-5
0.046, -2.484e-5, -6.304e-5
0.045, -2.482e-5, -6.325e-5
0.044, -2.468e-5, -6.345e-5
0.043, -2.466e-5, -6.366e-5
0.042, -2.455e-5, -6.386e-5
