Mar. 30, 2023   16:55:55
Cyclic Voltammetry
File: 10mmol20mvs
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.268
High E (V) = 0.5
Low E (V) = 0
Init P/N = N
Scan Rate (V/s) = 0.02
Segment = 4
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 2e-5

Segment 1:

Segment 2:
Ep = 0.301V
ip = 3.197e-5A
Ah = 1.102e-4C

Segment 3:
Ep = 0.215V
ip = -3.045e-5A
Ah = -1.073e-4C

Segment 4:

Potential/V, Current/A, Charge/C

Segment 1:
0.267, 2.143e-6, 1.072e-7
0.266, 6.716e-7, 1.407e-7
0.265, -5.614e-7, 1.127e-7
0.264, -1.606e-6, 3.236e-8
0.263, -2.565e-6, -9.588e-8
0.262, -3.445e-6, -2.681e-7
0.261, -4.254e-6, -4.808e-7
0.260, -5.015e-6, -7.316e-7
0.259, -5.720e-6, -1.018e-6
0.258, -6.414e-6, -1.338e-6
0.257, -7.068e-6, -1.692e-6
0.256, -7.698e-6, -2.077e-6
0.255, -8.309e-6, -2.492e-6
0.254, -8.898e-6, -2.937e-6
0.253, -9.458e-6, -3.410e-6
0.252, -9.992e-6, -3.910e-6
0.251, -1.051e-5, -4.435e-6
0.250, -1.102e-5, -4.986e-6
0.249, -1.150e-5, -5.561e-6
0.248, -1.196e-5, -6.158e-6
0.247, -1.242e-5, -6.779e-6
0.246, -1.285e-5, -7.422e-6
0.245, -1.327e-5, -8.085e-6
0.244, -1.367e-5, -8.769e-6
0.243, -1.408e-5, -9.473e-6
0.242, -1.446e-5, -1.020e-5
0.241, -1.482e-5, -1.094e-5
0.240, -1.519e-5, -1.170e-5
0.239, -1.553e-5, -1.247e-5
0.238, -1.585e-5, -1.327e-5
0.237, -1.617e-5, -1.407e-5
0.236, -1.647e-5, -1.490e-5
0.235, -1.675e-5, -1.573e-5
0.234, -1.703e-5, -1.659e-5
0.233, -1.728e-5, -1.745e-5
0.232, -1.754e-5, -1.833e-5
0.231, -1.776e-5, -1.922e-5
0.230, -1.797e-5, -2.011e-5
0.229, -1.818e-5, -2.102e-5
0.228, -1.840e-5, -2.194e-5
0.227, -1.859e-5, -2.287e-5
0.226, -1.877e-5, -2.381e-5
0.225, -1.893e-5, -2.476e-5
0.224, -1.908e-5, -2.571e-5
0.223, -1.921e-5, -2.667e-5
0.222, -1.934e-5, -2.764e-5
0.221, -1.948e-5, -2.861e-5
0.220, -1.958e-5, -2.959e-5
0.219, -1.967e-5, -3.058e-5
0.218, -1.977e-5, -3.156e-5
0.217, -1.984e-5, -3.256e-5
0.216, -1.991e-5, -3.355e-5
0.215, -1.997e-5, -3.455e-5
0.214, -2.002e-5, -3.555e-5
0.213, -2.006e-5, -3.655e-5
0.212, -2.009e-5, -3.756e-5
0.211, -2.012e-5, -3.856e-5
0.210, -2.014e-5, -3.957e-5
0.209, -2.014e-5, -4.058e-5
0.208, -2.015e-5, -4.159e-5
0.207, -2.013e-5, -4.259e-5
0.206, -2.012e-5, -4.360e-5
0.205, -2.009e-5, -4.460e-5
0.204, -2.006e-5, -4.561e-5
0.203, -2.003e-5, -4.661e-5
0.202, -2.001e-5, -4.761e-5
0.201, -1.996e-5, -4.861e-5
0.200, -1.992e-5, -4.960e-5
0.199, -1.987e-5, -5.060e-5
0.198, -1.981e-5, -5.159e-5
0.197, -1.975e-5, -5.257e-5
0.196, -1.968e-5, -5.356e-5
0.195, -1.961e-5, -5.454e-5
0.194, -1.954e-5, -5.551e-5
0.193, -1.946e-5, -5.649e-5
0.192, -1.939e-5, -5.746e-5
0.191, -1.931e-5, -5.842e-5
0.190, -1.922e-5, -5.938e-5
0.189, -1.914e-5, -6.034e-5
0.188, -1.905e-5, -6.129e-5
0.187, -1.896e-5, -6.224e-5
0.186, -1.886e-5, -6.318e-5
0.185, -1.877e-5, -6.412e-5
0.184, -1.868e-5, -6.506e-5
0.183, -1.857e-5, -6.598e-5
0.182, -1.847e-5, -6.691e-5
0.181, -1.837e-5, -6.783e-5
0.180, -1.827e-5, -6.874e-5
0.179, -1.817e-5, -6.965e-5
0.178, -1.806e-5, -7.055e-5
0.177, -1.796e-5, -7.145e-5
0.176, -1.785e-5, -7.234e-5
0.175, -1.775e-5, -7.323e-5
0.174, -1.765e-5, -7.411e-5
0.173, -1.754e-5, -7.499e-5
0.172, -1.744e-5, -7.586e-5
0.171, -1.733e-5, -7.673e-5
0.170, -1.723e-5, -7.759e-5
0.169, -1.713e-5, -7.845e-5
0.168, -1.702e-5, -7.930e-5
0.167, -1.692e-5, -8.014e-5
0.166, -1.682e-5, -8.098e-5
0.165, -1.672e-5, -8.182e-5
0.164, -1.661e-5, -8.265e-5
0.163, -1.652e-5, -8.348e-5
0.162, -1.642e-5, -8.430e-5
0.161, -1.632e-5, -8.511e-5
0.160, -1.622e-5, -8.592e-5
0.159, -1.612e-5, -8.673e-5
0.158, -1.603e-5, -8.753e-5
0.157, -1.593e-5, -8.833e-5
0.156, -1.583e-5, -8.912e-5
0.155, -1.574e-5, -8.991e-5
0.154, -1.565e-5, -9.069e-5
0.153, -1.555e-5, -9.147e-5
0.152, -1.546e-5, -9.224e-5
0.151, -1.537e-5, -9.301e-5
0.150, -1.528e-5, -9.377e-5
0.149, -1.519e-5, -9.453e-5
0.148, -1.508e-5, -9.529e-5
0.147, -1.499e-5, -9.604e-5
0.146, -1.491e-5, -9.678e-5
0.145, -1.482e-5, -9.752e-5
0.144, -1.474e-5, -9.826e-5
0.143, -1.465e-5, -9.899e-5
0.142, -1.457e-5, -9.972e-5
0.141, -1.449e-5, -1.004e-4
0.140, -1.442e-5, -1.012e-4
0.139, -1.433e-5, -1.019e-4
0.138, -1.425e-5, -1.026e-4
0.137, -1.418e-5, -1.033e-4
0.136, -1.410e-5, -1.040e-4
0.135, -1.403e-5, -1.047e-4
0.134, -1.395e-5, -1.054e-4
0.133, -1.388e-5, -1.061e-4
0.132, -1.381e-5, -1.068e-4
0.131, -1.373e-5, -1.075e-4
0.130, -1.367e-5, -1.082e-4
0.129, -1.360e-5, -1.088e-4
0.128, -1.352e-5, -1.095e-4
0.127, -1.346e-5, -1.102e-4
0.126, -1.339e-5, -1.109e-4
0.125, -1.333e-5, -1.115e-4
0.124, -1.326e-5, -1.122e-4
0.123, -1.320e-5, -1.128e-4
0.122, -1.313e-5, -1.135e-4
0.121, -1.307e-5, -1.142e-4
0.120, -1.301e-5, -1.148e-4
0.119, -1.295e-5, -1.155e-4
0.118, -1.289e-5, -1.161e-4
0.117, -1.283e-5, -1.167e-4
0.116, -1.277e-5, -1.174e-4
0.115, -1.271e-5, -1.180e-4
0.114, -1.265e-5, -1.186e-4
0.113, -1.260e-5, -1.193e-4
0.112, -1.254e-5, -1.199e-4
0.111, -1.249e-5, -1.205e-4
0.110, -1.243e-5, -1.212e-4
0.109, -1.237e-5, -1.218e-4
0.108, -1.232e-5, -1.224e-4
0.107, -1.227e-5, -1.230e-4
0.106, -1.222e-5, -1.236e-4
0.105, -1.217e-5, -1.242e-4
0.104, -1.212e-5, -1.248e-4
0.103, -1.207e-5, -1.254e-4
0.102, -1.202e-5, -1.260e-4
0.101, -1.198e-5, -1.266e-4
0.100, -1.193e-5, -1.272e-4
0.099, -1.189e-5, -1.278e-4
0.098, -1.184e-5, -1.284e-4
0.097, -1.180e-5, -1.290e-4
0.096, -1.175e-5, -1.296e-4
0.095, -1.170e-5, -1.302e-4
0.094, -1.166e-5, -1.308e-4
0.093, -1.161e-5, -1.313e-4
0.092, -1.157e-5, -1.319e-4
0.091, -1.153e-5, -1.325e-4
0.090, -1.149e-5, -1.331e-4
0.089, -1.145e-5, -1.336e-4
0.088, -1.141e-5, -1.342e-4
0.087, -1.137e-5, -1.348e-4
0.086, -1.133e-5, -1.353e-4
0.085, -1.129e-5, -1.359e-4
0.084, -1.125e-5, -1.365e-4
0.083, -1.121e-5, -1.370e-4
0.082, -1.117e-5, -1.376e-4
0.081, -1.113e-5, -1.381e-4
0.080, -1.109e-5, -1.387e-4
0.079, -1.105e-5, -1.393e-4
0.078, -1.102e-5, -1.398e-4
0.077, -1.098e-5, -1.404e-4
0.076, -1.095e-5, -1.409e-4
0.075, -1.091e-5, -1.414e-4
0.074, -1.088e-5, -1.420e-4
0.073, -1.084e-5, -1.425e-4
0.072, -1.081e-5, -1.431e-4
0.071, -1.077e-5, -1.436e-4
0.070, -1.074e-5, -1.441e-4
0.069, -1.071e-5, -1.447e-4
0.068, -1.068e-5, -1.452e-4
0.067, -1.064e-5, -1.458e-4
0.066, -1.061e-5, -1.463e-4
0.065, -1.058e-5, -1.468e-4
0.064, -1.055e-5, -1.473e-4
0.063, -1.052e-5, -1.479e-4
0.062, -1.049e-5, -1.484e-4
0.061, -1.045e-5, -1.489e-4
0.060, -1.042e-5, -1.494e-4
0.059, -1.039e-5, -1.500e-4
0.058, -1.036e-5, -1.505e-4
0.057, -1.033e-5, -1.510e-4
0.056, -1.031e-5, -1.515e-4
0.055, -1.028e-5, -1.520e-4
0.054, -1.025e-5, -1.525e-4
0.053, -1.022e-5, -1.530e-4
0.052, -1.020e-5, -1.535e-4
0.051, -1.017e-5, -1.541e-4
0.050, -1.014e-5, -1.546e-4
0.049, -1.011e-5, -1.551e-4
0.048, -1.009e-5, -1.556e-4
0.047, -1.006e-5, -1.561e-4
0.046, -1.003e-5, -1.566e-4
0.045, -1.001e-5, -1.571e-4
0.044, -9.980e-6, -1.576e-4
0.043, -9.956e-6, -1.581e-4
0.042, -9.933e-6, -1.586e-4
0.041, -9.909e-6, -1.591e-4
