Mar. 30, 2023   16:32:25
Cyclic Voltammetry
File: 05mmol200mvs
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.268
High E (V) = 0.5
Low E (V) = -0.05
Init P/N = N
Scan Rate (V/s) = 0.2
Segment = 4
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:

Segment 2:
Ep = 0.316V
ip = 4.419e-5A
Ah = 1.715e-5C

Segment 3:
Ep = 0.206V
ip = -4.035e-5A
Ah = -1.535e-5C

Segment 4:

Potential/V, Current/A, Charge/C

Segment 1:
0.267, 1.246e-6, 6.228e-9
0.266, -3.758e-8, 6.040e-9
0.265, -1.149e-6, 2.953e-10
0.264, -2.164e-6, -1.053e-8
0.263, -3.147e-6, -2.626e-8
0.262, -4.102e-6, -4.677e-8
0.261, -4.987e-6, -7.170e-8
0.260, -5.801e-6, -1.007e-7
0.259, -6.631e-6, -1.339e-7
0.258, -7.462e-6, -1.712e-7
0.257, -8.228e-6, -2.123e-7
0.256, -8.949e-6, -2.571e-7
0.255, -9.690e-6, -3.055e-7
0.254, -1.042e-5, -3.576e-7
0.253, -1.112e-5, -4.132e-7
0.252, -1.174e-5, -4.720e-7
0.251, -1.243e-5, -5.341e-7
0.250, -1.311e-5, -5.996e-7
0.249, -1.372e-5, -6.682e-7
0.248, -1.430e-5, -7.397e-7
0.247, -1.491e-5, -8.143e-7
0.246, -1.553e-5, -8.919e-7
0.245, -1.609e-5, -9.723e-7
0.244, -1.659e-5, -1.055e-6
0.243, -1.716e-5, -1.141e-6
0.242, -1.771e-5, -1.230e-6
0.241, -1.822e-5, -1.321e-6
0.240, -1.868e-5, -1.414e-6
0.239, -1.917e-5, -1.510e-6
0.238, -1.967e-5, -1.608e-6
0.237, -2.012e-5, -1.709e-6
0.236, -2.054e-5, -1.812e-6
0.235, -2.099e-5, -1.917e-6
0.234, -2.143e-5, -2.024e-6
0.233, -2.184e-5, -2.133e-6
0.232, -2.219e-5, -2.244e-6
0.231, -2.257e-5, -2.357e-6
0.230, -2.297e-5, -2.472e-6
0.229, -2.332e-5, -2.588e-6
0.228, -2.363e-5, -2.706e-6
0.227, -2.397e-5, -2.826e-6
0.226, -2.431e-5, -2.948e-6
0.225, -2.461e-5, -3.071e-6
0.224, -2.489e-5, -3.195e-6
0.223, -2.518e-5, -3.321e-6
0.222, -2.546e-5, -3.448e-6
0.221, -2.570e-5, -3.577e-6
0.220, -2.591e-5, -3.706e-6
0.219, -2.615e-5, -3.837e-6
0.218, -2.639e-5, -3.969e-6
0.217, -2.659e-5, -4.102e-6
0.216, -2.674e-5, -4.236e-6
0.215, -2.693e-5, -4.370e-6
0.214, -2.711e-5, -4.506e-6
0.213, -2.725e-5, -4.642e-6
0.212, -2.736e-5, -4.779e-6
0.211, -2.751e-5, -4.917e-6
0.210, -2.765e-5, -5.055e-6
0.209, -2.773e-5, -5.193e-6
0.208, -2.780e-5, -5.332e-6
0.207, -2.790e-5, -5.472e-6
0.206, -2.799e-5, -5.612e-6
0.205, -2.805e-5, -5.752e-6
0.204, -2.806e-5, -5.893e-6
0.203, -2.812e-5, -6.033e-6
0.202, -2.817e-5, -6.174e-6
0.201, -2.818e-5, -6.315e-6
0.200, -2.820e-5, -6.456e-6
0.199, -2.820e-5, -6.597e-6
0.198, -2.822e-5, -6.738e-6
0.197, -2.821e-5, -6.879e-6
0.196, -2.817e-5, -7.020e-6
0.195, -2.816e-5, -7.161e-6
0.194, -2.815e-5, -7.301e-6
0.193, -2.810e-5, -7.442e-6
0.192, -2.802e-5, -7.582e-6
0.191, -2.798e-5, -7.722e-6
0.190, -2.794e-5, -7.862e-6
0.189, -2.787e-5, -8.001e-6
0.188, -2.778e-5, -8.140e-6
0.187, -2.770e-5, -8.278e-6
0.186, -2.763e-5, -8.416e-6
0.185, -2.754e-5, -8.554e-6
0.184, -2.744e-5, -8.691e-6
0.183, -2.736e-5, -8.828e-6
0.182, -2.727e-5, -8.965e-6
0.181, -2.716e-5, -9.100e-6
0.180, -2.704e-5, -9.235e-6
0.179, -2.694e-5, -9.370e-6
0.178, -2.684e-5, -9.504e-6
0.177, -2.671e-5, -9.638e-6
0.176, -2.659e-5, -9.771e-6
0.175, -2.647e-5, -9.903e-6
0.174, -2.636e-5, -1.004e-5
0.173, -2.621e-5, -1.017e-5
0.172, -2.608e-5, -1.030e-5
0.171, -2.596e-5, -1.043e-5
0.170, -2.584e-5, -1.056e-5
0.169, -2.570e-5, -1.068e-5
0.168, -2.556e-5, -1.081e-5
0.167, -2.543e-5, -1.094e-5
0.166, -2.531e-5, -1.107e-5
0.165, -2.516e-5, -1.119e-5
0.164, -2.502e-5, -1.132e-5
0.163, -2.490e-5, -1.144e-5
0.162, -2.476e-5, -1.156e-5
0.161, -2.460e-5, -1.169e-5
0.160, -2.446e-5, -1.181e-5
0.159, -2.433e-5, -1.193e-5
0.158, -2.421e-5, -1.205e-5
0.157, -2.406e-5, -1.217e-5
0.156, -2.392e-5, -1.229e-5
0.155, -2.380e-5, -1.241e-5
0.154, -2.367e-5, -1.253e-5
0.153, -2.353e-5, -1.265e-5
0.152, -2.338e-5, -1.276e-5
0.151, -2.326e-5, -1.288e-5
0.150, -2.312e-5, -1.300e-5
0.149, -2.298e-5, -1.311e-5
0.148, -2.285e-5, -1.323e-5
0.147, -2.273e-5, -1.334e-5
0.146, -2.260e-5, -1.345e-5
0.145, -2.247e-5, -1.356e-5
0.144, -2.234e-5, -1.368e-5
0.143, -2.222e-5, -1.379e-5
0.142, -2.210e-5, -1.390e-5
0.141, -2.197e-5, -1.401e-5
0.140, -2.184e-5, -1.412e-5
0.139, -2.173e-5, -1.423e-5
0.138, -2.160e-5, -1.433e-5
0.137, -2.147e-5, -1.444e-5
0.136, -2.136e-5, -1.455e-5
0.135, -2.125e-5, -1.465e-5
0.134, -2.113e-5, -1.476e-5
0.133, -2.101e-5, -1.486e-5
0.132, -2.090e-5, -1.497e-5
0.131, -2.079e-5, -1.507e-5
0.130, -2.068e-5, -1.518e-5
0.129, -2.056e-5, -1.528e-5
0.128, -2.045e-5, -1.538e-5
0.127, -2.035e-5, -1.548e-5
0.126, -2.024e-5, -1.558e-5
0.125, -2.013e-5, -1.569e-5
0.124, -2.002e-5, -1.579e-5
0.123, -1.992e-5, -1.588e-5
0.122, -1.981e-5, -1.598e-5
0.121, -1.971e-5, -1.608e-5
0.120, -1.961e-5, -1.618e-5
0.119, -1.952e-5, -1.628e-5
0.118, -1.942e-5, -1.638e-5
0.117, -1.932e-5, -1.647e-5
0.116, -1.922e-5, -1.657e-5
0.115, -1.914e-5, -1.666e-5
0.114, -1.904e-5, -1.676e-5
0.113, -1.894e-5, -1.685e-5
0.112, -1.885e-5, -1.695e-5
0.111, -1.877e-5, -1.704e-5
0.110, -1.867e-5, -1.714e-5
0.109, -1.858e-5, -1.723e-5
0.108, -1.850e-5, -1.732e-5
0.107, -1.842e-5, -1.741e-5
0.106, -1.833e-5, -1.750e-5
0.105, -1.824e-5, -1.760e-5
0.104, -1.816e-5, -1.769e-5
0.103, -1.809e-5, -1.778e-5
0.102, -1.800e-5, -1.787e-5
0.101, -1.791e-5, -1.796e-5
0.100, -1.784e-5, -1.805e-5
0.099, -1.777e-5, -1.813e-5
0.098, -1.768e-5, -1.822e-5
0.097, -1.760e-5, -1.831e-5
0.096, -1.753e-5, -1.840e-5
0.095, -1.746e-5, -1.849e-5
0.094, -1.739e-5, -1.857e-5
0.093, -1.730e-5, -1.866e-5
0.092, -1.723e-5, -1.875e-5
0.091, -1.717e-5, -1.883e-5
0.090, -1.709e-5, -1.892e-5
0.089, -1.702e-5, -1.900e-5
0.088, -1.694e-5, -1.909e-5
0.087, -1.688e-5, -1.917e-5
0.086, -1.681e-5, -1.925e-5
0.085, -1.673e-5, -1.934e-5
0.084, -1.667e-5, -1.942e-5
0.083, -1.661e-5, -1.950e-5
0.082, -1.655e-5, -1.959e-5
0.081, -1.647e-5, -1.967e-5
0.080, -1.641e-5, -1.975e-5
0.079, -1.636e-5, -1.983e-5
0.078, -1.629e-5, -1.992e-5
0.077, -1.622e-5, -2.000e-5
0.076, -1.616e-5, -2.008e-5
0.075, -1.611e-5, -2.016e-5
0.074, -1.605e-5, -2.024e-5
0.073, -1.599e-5, -2.032e-5
0.072, -1.593e-5, -2.040e-5
0.071, -1.588e-5, -2.048e-5
0.070, -1.582e-5, -2.056e-5
0.069, -1.576e-5, -2.063e-5
0.068, -1.571e-5, -2.071e-5
0.067, -1.566e-5, -2.079e-5
0.066, -1.560e-5, -2.087e-5
0.065, -1.553e-5, -2.095e-5
0.064, -1.548e-5, -2.102e-5
0.063, -1.544e-5, -2.110e-5
0.062, -1.538e-5, -2.118e-5
0.061, -1.532e-5, -2.126e-5
0.060, -1.527e-5, -2.133e-5
0.059, -1.523e-5, -2.141e-5
0.058, -1.517e-5, -2.148e-5
0.057, -1.512e-5, -2.156e-5
0.056, -1.507e-5, -2.163e-5
0.055, -1.503e-5, -2.171e-5
0.054, -1.498e-5, -2.178e-5
0.053, -1.492e-5, -2.186e-5
0.052, -1.488e-5, -2.193e-5
0.051, -1.484e-5, -2.201e-5
0.050, -1.479e-5, -2.208e-5
0.049, -1.474e-5, -2.216e-5
0.048, -1.469e-5, -2.223e-5
0.047, -1.465e-5, -2.230e-5
0.046, -1.460e-5, -2.238e-5
0.045, -1.455e-5, -2.245e-5
0.044, -1.452e-5, -2.252e-5
0.043, -1.448e-5, -2.259e-5
0.042, -1.444e-5, -2.267e-5
0.041, -1.438e-5, -2.274e-5
