Mar. 30, 2023   17:15:49
Cyclic Voltammetry
File: ref200mvs
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.268
High E (V) = 0.5
Low E (V) = -0.3
Init P/N = N
Scan Rate (V/s) = 0.2
Segment = 2
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6

Segment 1:

Segment 2:

Potential/V, Current/A, Charge/C

Segment 1:
0.267, -1.669e-7, -8.346e-10
0.266, -1.931e-7, -1.800e-9
0.265, -2.145e-7, -2.872e-9
0.264, -2.221e-7, -3.983e-9
0.263, -2.226e-7, -5.096e-9
0.262, -2.363e-7, -6.278e-9
0.261, -2.480e-7, -7.517e-9
0.260, -2.532e-7, -8.784e-9
0.259, -2.486e-7, -1.003e-8
0.258, -2.592e-7, -1.132e-8
0.257, -2.717e-7, -1.268e-8
0.256, -2.725e-7, -1.404e-8
0.255, -2.690e-7, -1.539e-8
0.254, -2.761e-7, -1.677e-8
0.253, -2.894e-7, -1.822e-8
0.252, -2.891e-7, -1.966e-8
0.251, -2.820e-7, -2.107e-8
0.250, -2.912e-7, -2.253e-8
0.249, -2.996e-7, -2.403e-8
0.248, -3.025e-7, -2.554e-8
0.247, -2.989e-7, -2.703e-8
0.246, -3.049e-7, -2.856e-8
0.245, -3.135e-7, -3.012e-8
0.244, -3.151e-7, -3.170e-8
0.243, -3.119e-7, -3.326e-8
0.242, -3.148e-7, -3.483e-8
0.241, -3.264e-7, -3.647e-8
0.240, -3.269e-7, -3.810e-8
0.239, -3.224e-7, -3.971e-8
0.238, -3.289e-7, -4.136e-8
0.237, -3.389e-7, -4.305e-8
0.236, -3.375e-7, -4.474e-8
0.235, -3.309e-7, -4.639e-8
0.234, -3.412e-7, -4.810e-8
0.233, -3.489e-7, -4.984e-8
0.232, -3.527e-7, -5.161e-8
0.231, -3.444e-7, -5.333e-8
0.230, -3.499e-7, -5.508e-8
0.229, -3.622e-7, -5.689e-8
0.228, -3.592e-7, -5.869e-8
0.227, -3.562e-7, -6.047e-8
0.226, -3.643e-7, -6.229e-8
0.225, -3.723e-7, -6.415e-8
0.224, -3.727e-7, -6.601e-8
0.223, -3.693e-7, -6.786e-8
0.222, -3.728e-7, -6.972e-8
0.221, -3.840e-7, -7.164e-8
0.220, -3.821e-7, -7.355e-8
0.219, -3.782e-7, -7.545e-8
0.218, -3.851e-7, -7.737e-8
0.217, -3.965e-7, -7.935e-8
0.216, -3.922e-7, -8.132e-8
0.215, -3.896e-7, -8.326e-8
0.214, -3.968e-7, -8.525e-8
0.213, -4.047e-7, -8.727e-8
0.212, -4.022e-7, -8.928e-8
0.211, -3.984e-7, -9.127e-8
0.210, -4.048e-7, -9.330e-8
0.209, -4.094e-7, -9.534e-8
0.208, -4.088e-7, -9.739e-8
0.207, -4.018e-7, -9.940e-8
0.206, -4.032e-7, -1.014e-7
0.205, -4.073e-7, -1.035e-7
0.204, -4.080e-7, -1.055e-7
0.203, -4.012e-7, -1.075e-7
0.202, -4.030e-7, -1.095e-7
0.201, -4.092e-7, -1.116e-7
0.200, -4.025e-7, -1.136e-7
0.199, -3.993e-7, -1.156e-7
0.198, -4.010e-7, -1.176e-7
0.197, -4.073e-7, -1.196e-7
0.196, -4.012e-7, -1.216e-7
0.195, -3.957e-7, -1.236e-7
0.194, -3.989e-7, -1.256e-7
0.193, -4.059e-7, -1.276e-7
0.192, -3.975e-7, -1.296e-7
0.191, -3.936e-7, -1.316e-7
0.190, -3.953e-7, -1.335e-7
0.189, -4.022e-7, -1.356e-7
0.188, -3.994e-7, -1.376e-7
0.187, -3.913e-7, -1.395e-7
0.186, -3.967e-7, -1.415e-7
0.185, -3.998e-7, -1.435e-7
0.184, -3.970e-7, -1.455e-7
0.183, -3.930e-7, -1.474e-7
0.182, -3.944e-7, -1.494e-7
0.181, -4.023e-7, -1.514e-7
0.180, -4.001e-7, -1.534e-7
0.179, -3.911e-7, -1.554e-7
0.178, -3.989e-7, -1.574e-7
0.177, -4.011e-7, -1.594e-7
0.176, -3.972e-7, -1.614e-7
0.175, -3.961e-7, -1.634e-7
0.174, -3.962e-7, -1.653e-7
0.173, -4.041e-7, -1.674e-7
0.172, -4.028e-7, -1.694e-7
0.171, -3.946e-7, -1.713e-7
0.170, -4.001e-7, -1.733e-7
0.169, -4.034e-7, -1.754e-7
0.168, -4.009e-7, -1.774e-7
0.167, -3.991e-7, -1.794e-7
0.166, -4.015e-7, -1.814e-7
0.165, -4.091e-7, -1.834e-7
0.164, -4.045e-7, -1.854e-7
0.163, -4.001e-7, -1.874e-7
0.162, -4.035e-7, -1.895e-7
0.161, -4.102e-7, -1.915e-7
0.160, -4.073e-7, -1.935e-7
0.159, -4.009e-7, -1.955e-7
0.158, -4.052e-7, -1.976e-7
0.157, -4.124e-7, -1.996e-7
0.156, -4.108e-7, -2.017e-7
0.155, -4.049e-7, -2.037e-7
0.154, -4.074e-7, -2.057e-7
0.153, -4.172e-7, -2.078e-7
0.152, -4.115e-7, -2.099e-7
0.151, -4.072e-7, -2.119e-7
0.150, -4.099e-7, -2.140e-7
0.149, -4.198e-7, -2.161e-7
0.148, -4.156e-7, -2.182e-7
0.147, -4.090e-7, -2.202e-7
0.146, -4.130e-7, -2.223e-7
0.145, -4.212e-7, -2.244e-7
0.144, -4.177e-7, -2.265e-7
0.143, -4.125e-7, -2.285e-7
0.142, -4.138e-7, -2.306e-7
0.141, -4.227e-7, -2.327e-7
0.140, -4.231e-7, -2.348e-7
0.139, -4.144e-7, -2.369e-7
0.138, -4.200e-7, -2.390e-7
0.137, -4.266e-7, -2.411e-7
0.136, -4.251e-7, -2.432e-7
0.135, -4.165e-7, -2.453e-7
0.134, -4.205e-7, -2.474e-7
0.133, -4.310e-7, -2.496e-7
0.132, -4.276e-7, -2.517e-7
0.131, -4.220e-7, -2.538e-7
0.130, -4.249e-7, -2.560e-7
0.129, -4.332e-7, -2.581e-7
0.128, -4.307e-7, -2.603e-7
0.127, -4.227e-7, -2.624e-7
0.126, -4.273e-7, -2.645e-7
0.125, -4.360e-7, -2.667e-7
0.124, -4.347e-7, -2.689e-7
0.123, -4.268e-7, -2.710e-7
0.122, -4.307e-7, -2.732e-7
0.121, -4.380e-7, -2.754e-7
0.120, -4.359e-7, -2.775e-7
0.119, -4.327e-7, -2.797e-7
0.118, -4.331e-7, -2.819e-7
0.117, -4.421e-7, -2.841e-7
0.116, -4.390e-7, -2.863e-7
0.115, -4.368e-7, -2.885e-7
0.114, -4.379e-7, -2.906e-7
0.113, -4.469e-7, -2.929e-7
0.112, -4.441e-7, -2.951e-7
0.111, -4.392e-7, -2.973e-7
0.110, -4.409e-7, -2.995e-7
0.109, -4.519e-7, -3.018e-7
0.108, -4.494e-7, -3.040e-7
0.107, -4.394e-7, -3.062e-7
0.106, -4.457e-7, -3.084e-7
0.105, -4.534e-7, -3.107e-7
0.104, -4.518e-7, -3.130e-7
0.103, -4.458e-7, -3.152e-7
0.102, -4.516e-7, -3.174e-7
0.101, -4.577e-7, -3.197e-7
0.100, -4.549e-7, -3.220e-7
0.099, -4.502e-7, -3.243e-7
0.098, -4.531e-7, -3.265e-7
0.097, -4.600e-7, -3.288e-7
0.096, -4.613e-7, -3.311e-7
0.095, -4.522e-7, -3.334e-7
0.094, -4.563e-7, -3.357e-7
0.093, -4.642e-7, -3.380e-7
0.092, -4.641e-7, -3.403e-7
0.091, -4.541e-7, -3.426e-7
0.090, -4.601e-7, -3.449e-7
0.089, -4.665e-7, -3.472e-7
0.088, -4.647e-7, -3.495e-7
0.087, -4.583e-7, -3.518e-7
0.086, -4.646e-7, -3.542e-7
0.085, -4.711e-7, -3.565e-7
0.084, -4.707e-7, -3.589e-7
0.083, -4.618e-7, -3.612e-7
0.082, -4.689e-7, -3.635e-7
0.081, -4.728e-7, -3.659e-7
0.080, -4.744e-7, -3.683e-7
0.079, -4.668e-7, -3.706e-7
0.078, -4.702e-7, -3.729e-7
0.077, -4.768e-7, -3.753e-7
0.076, -4.777e-7, -3.777e-7
0.075, -4.701e-7, -3.801e-7
0.074, -4.735e-7, -3.824e-7
0.073, -4.833e-7, -3.848e-7
0.072, -4.787e-7, -3.872e-7
0.071, -4.726e-7, -3.896e-7
0.070, -4.783e-7, -3.920e-7
0.069, -4.866e-7, -3.944e-7
0.068, -4.838e-7, -3.968e-7
0.067, -4.762e-7, -3.992e-7
0.066, -4.818e-7, -4.016e-7
0.065, -4.922e-7, -4.041e-7
0.064, -4.881e-7, -4.065e-7
0.063, -4.819e-7, -4.090e-7
0.062, -4.843e-7, -4.114e-7
0.061, -4.935e-7, -4.138e-7
0.060, -4.916e-7, -4.163e-7
0.059, -4.837e-7, -4.187e-7
0.058, -4.899e-7, -4.212e-7
0.057, -4.964e-7, -4.236e-7
0.056, -4.936e-7, -4.261e-7
0.055, -4.899e-7, -4.286e-7
0.054, -4.939e-7, -4.310e-7
0.053, -4.987e-7, -4.335e-7
0.052, -4.978e-7, -4.360e-7
0.051, -4.926e-7, -4.385e-7
0.050, -4.963e-7, -4.410e-7
0.049, -5.049e-7, -4.435e-7
0.048, -5.011e-7, -4.460e-7
0.047, -4.955e-7, -4.485e-7
0.046, -4.983e-7, -4.510e-7
0.045, -5.091e-7, -4.535e-7
0.044, -5.076e-7, -4.560e-7
0.043, -4.993e-7, -4.585e-7
0.042, -5.023e-7, -4.611e-7
0.041, -5.141e-7, -4.636e-7
0.040, -5.089e-7, -4.662e-7
0.039, -5.013e-7, -4.687e-7
0.038, -5.071e-7, -4.712e-7
0.037, -5.157e-7, -4.738e-7
0.036, -5.138e-7, -4.764e-7
