Mar. 30, 2023   16:20:15
Cyclic Voltammetry
File: 05mmol20mvs
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.268
High E (V) = 0.5
Low E (V) = -0.05
Init P/N = N
Scan Rate (V/s) = 0.02
Segment = 4
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-5

Segment 1:

Segment 2:
Ep = 0.301V
ip = 1.615e-5A
Ah = 5.545e-5C

Segment 3:
Ep = 0.219V
ip = -1.513e-5A
Ah = -5.219e-5C

Segment 4:

Potential/V, Current/A, Charge/C

Segment 1:
0.267, -4.322e-7, -2.161e-8
0.266, -1.211e-6, -8.214e-8
0.265, -1.838e-6, -1.740e-7
0.264, -2.385e-6, -2.933e-7
0.263, -2.869e-6, -4.368e-7
0.262, -3.309e-6, -6.022e-7
0.261, -3.718e-6, -7.881e-7
0.260, -4.098e-6, -9.930e-7
0.259, -4.461e-6, -1.216e-6
0.258, -4.801e-6, -1.456e-6
0.257, -5.118e-6, -1.712e-6
0.256, -5.431e-6, -1.984e-6
0.255, -5.721e-6, -2.270e-6
0.254, -5.995e-6, -2.569e-6
0.253, -6.264e-6, -2.883e-6
0.252, -6.521e-6, -3.209e-6
0.251, -6.775e-6, -3.547e-6
0.250, -7.007e-6, -3.898e-6
0.249, -7.234e-6, -4.259e-6
0.248, -7.458e-6, -4.632e-6
0.247, -7.680e-6, -5.016e-6
0.246, -7.882e-6, -5.410e-6
0.245, -8.078e-6, -5.814e-6
0.244, -8.266e-6, -6.228e-6
0.243, -8.446e-6, -6.650e-6
0.242, -8.620e-6, -7.081e-6
0.241, -8.780e-6, -7.520e-6
0.240, -8.938e-6, -7.967e-6
0.239, -9.086e-6, -8.421e-6
0.238, -9.236e-6, -8.883e-6
0.237, -9.373e-6, -9.351e-6
0.236, -9.503e-6, -9.827e-6
0.235, -9.622e-6, -1.031e-5
0.234, -9.736e-6, -1.079e-5
0.233, -9.842e-6, -1.129e-5
0.232, -9.944e-6, -1.178e-5
0.231, -1.004e-5, -1.229e-5
0.230, -1.013e-5, -1.279e-5
0.229, -1.022e-5, -1.330e-5
0.228, -1.029e-5, -1.382e-5
0.227, -1.037e-5, -1.434e-5
0.226, -1.043e-5, -1.486e-5
0.225, -1.048e-5, -1.538e-5
0.224, -1.054e-5, -1.591e-5
0.223, -1.059e-5, -1.644e-5
0.222, -1.063e-5, -1.697e-5
0.221, -1.067e-5, -1.750e-5
0.220, -1.071e-5, -1.804e-5
0.219, -1.073e-5, -1.858e-5
0.218, -1.077e-5, -1.911e-5
0.217, -1.079e-5, -1.965e-5
0.216, -1.079e-5, -2.019e-5
0.215, -1.081e-5, -2.073e-5
0.214, -1.082e-5, -2.127e-5
0.213, -1.082e-5, -2.182e-5
0.212, -1.082e-5, -2.236e-5
0.211, -1.082e-5, -2.290e-5
0.210, -1.080e-5, -2.344e-5
0.209, -1.079e-5, -2.398e-5
0.208, -1.078e-5, -2.452e-5
0.207, -1.077e-5, -2.505e-5
0.206, -1.074e-5, -2.559e-5
0.205, -1.070e-5, -2.613e-5
0.204, -1.067e-5, -2.666e-5
0.203, -1.064e-5, -2.719e-5
0.202, -1.062e-5, -2.772e-5
0.201, -1.058e-5, -2.825e-5
0.200, -1.055e-5, -2.878e-5
0.199, -1.051e-5, -2.930e-5
0.198, -1.048e-5, -2.983e-5
0.197, -1.043e-5, -3.035e-5
0.196, -1.039e-5, -3.087e-5
0.195, -1.035e-5, -3.139e-5
0.194, -1.031e-5, -3.190e-5
0.193, -1.026e-5, -3.242e-5
0.192, -1.022e-5, -3.293e-5
0.191, -1.017e-5, -3.343e-5
0.190, -1.012e-5, -3.394e-5
0.189, -1.007e-5, -3.444e-5
0.188, -1.002e-5, -3.495e-5
0.187, -9.973e-6, -3.544e-5
0.186, -9.922e-6, -3.594e-5
0.185, -9.869e-6, -3.643e-5
0.184, -9.818e-6, -3.693e-5
0.183, -9.766e-6, -3.741e-5
0.182, -9.711e-6, -3.790e-5
0.181, -9.660e-6, -3.838e-5
0.180, -9.607e-6, -3.886e-5
0.179, -9.556e-6, -3.934e-5
0.178, -9.501e-6, -3.982e-5
0.177, -9.448e-6, -4.029e-5
0.176, -9.398e-6, -4.076e-5
0.175, -9.346e-6, -4.122e-5
0.174, -9.286e-6, -4.169e-5
0.173, -9.231e-6, -4.215e-5
0.172, -9.179e-6, -4.261e-5
0.171, -9.123e-6, -4.307e-5
0.170, -9.072e-6, -4.352e-5
0.169, -9.020e-6, -4.397e-5
0.168, -8.969e-6, -4.442e-5
0.167, -8.917e-6, -4.486e-5
0.166, -8.866e-6, -4.531e-5
0.165, -8.816e-6, -4.575e-5
0.164, -8.768e-6, -4.619e-5
0.163, -8.715e-6, -4.662e-5
0.162, -8.668e-6, -4.706e-5
0.161, -8.617e-6, -4.749e-5
0.160, -8.570e-6, -4.792e-5
0.159, -8.518e-6, -4.834e-5
0.158, -8.472e-6, -4.877e-5
0.157, -8.424e-6, -4.919e-5
0.156, -8.379e-6, -4.961e-5
0.155, -8.329e-6, -5.002e-5
0.154, -8.285e-6, -5.044e-5
0.153, -8.238e-6, -5.085e-5
0.152, -8.194e-6, -5.126e-5
0.151, -8.146e-6, -5.166e-5
0.150, -8.101e-6, -5.207e-5
0.149, -8.058e-6, -5.247e-5
0.148, -8.017e-6, -5.287e-5
0.147, -7.978e-6, -5.327e-5
0.146, -7.934e-6, -5.367e-5
0.145, -7.894e-6, -5.406e-5
0.144, -7.851e-6, -5.446e-5
0.143, -7.809e-6, -5.485e-5
0.142, -7.768e-6, -5.524e-5
0.141, -7.725e-6, -5.562e-5
0.140, -7.690e-6, -5.601e-5
0.139, -7.651e-6, -5.639e-5
0.138, -7.611e-6, -5.677e-5
0.137, -7.568e-6, -5.715e-5
0.136, -7.520e-6, -5.752e-5
0.135, -7.488e-6, -5.790e-5
0.134, -7.452e-6, -5.827e-5
0.133, -7.415e-6, -5.864e-5
0.132, -7.377e-6, -5.901e-5
0.131, -7.343e-6, -5.938e-5
0.130, -7.311e-6, -5.974e-5
0.129, -7.272e-6, -6.011e-5
0.128, -7.242e-6, -6.047e-5
0.127, -7.213e-6, -6.083e-5
0.126, -7.176e-6, -6.119e-5
0.125, -7.141e-6, -6.155e-5
0.124, -7.115e-6, -6.190e-5
0.123, -7.077e-6, -6.225e-5
0.122, -7.049e-6, -6.261e-5
0.121, -7.022e-6, -6.296e-5
0.120, -6.988e-6, -6.331e-5
0.119, -6.957e-6, -6.366e-5
0.118, -6.926e-6, -6.400e-5
0.117, -6.896e-6, -6.435e-5
0.116, -6.871e-6, -6.469e-5
0.115, -6.837e-6, -6.503e-5
0.114, -6.817e-6, -6.537e-5
0.113, -6.782e-6, -6.571e-5
0.112, -6.756e-6, -6.605e-5
0.111, -6.730e-6, -6.639e-5
0.110, -6.702e-6, -6.672e-5
0.109, -6.678e-6, -6.706e-5
0.108, -6.647e-6, -6.739e-5
0.107, -6.629e-6, -6.772e-5
0.106, -6.597e-6, -6.805e-5
0.105, -6.576e-6, -6.838e-5
0.104, -6.544e-6, -6.870e-5
0.103, -6.528e-6, -6.903e-5
0.102, -6.496e-6, -6.936e-5
0.101, -6.480e-6, -6.968e-5
0.100, -6.450e-6, -7.000e-5
0.099, -6.434e-6, -7.032e-5
0.098, -6.406e-6, -7.064e-5
0.097, -6.386e-6, -7.096e-5
0.096, -6.359e-6, -7.128e-5
0.095, -6.339e-6, -7.160e-5
0.094, -6.318e-6, -7.191e-5
0.093, -6.293e-6, -7.223e-5
0.092, -6.278e-6, -7.254e-5
0.091, -6.249e-6, -7.286e-5
0.090, -6.237e-6, -7.317e-5
0.089, -6.206e-6, -7.348e-5
0.088, -6.188e-6, -7.379e-5
0.087, -6.164e-6, -7.410e-5
0.086, -6.144e-6, -7.440e-5
0.085, -6.128e-6, -7.471e-5
0.084, -6.103e-6, -7.501e-5
0.083, -6.091e-6, -7.532e-5
0.082, -6.069e-6, -7.562e-5
0.081, -6.049e-6, -7.592e-5
0.080, -6.037e-6, -7.623e-5
0.079, -6.011e-6, -7.653e-5
0.078, -5.997e-6, -7.683e-5
0.077, -5.981e-6, -7.713e-5
0.076, -5.958e-6, -7.742e-5
0.075, -5.947e-6, -7.772e-5
0.074, -5.931e-6, -7.802e-5
0.073, -5.907e-6, -7.831e-5
0.072, -5.895e-6, -7.861e-5
0.071, -5.875e-6, -7.890e-5
0.070, -5.855e-6, -7.919e-5
0.069, -5.847e-6, -7.949e-5
0.068, -5.826e-6, -7.978e-5
0.067, -5.806e-6, -8.007e-5
0.066, -5.794e-6, -8.036e-5
0.065, -5.775e-6, -8.065e-5
0.064, -5.757e-6, -8.093e-5
0.063, -5.749e-6, -8.122e-5
0.062, -5.732e-6, -8.151e-5
0.061, -5.711e-6, -8.179e-5
0.060, -5.701e-6, -8.208e-5
0.059, -5.687e-6, -8.236e-5
0.058, -5.666e-6, -8.265e-5
0.057, -5.656e-6, -8.293e-5
0.056, -5.647e-6, -8.321e-5
0.055, -5.628e-6, -8.349e-5
0.054, -5.611e-6, -8.377e-5
0.053, -5.600e-6, -8.405e-5
0.052, -5.583e-6, -8.433e-5
0.051, -5.565e-6, -8.461e-5
0.050, -5.558e-6, -8.489e-5
0.049, -5.548e-6, -8.517e-5
0.048, -5.529e-6, -8.544e-5
0.047, -5.513e-6, -8.572e-5
0.046, -5.506e-6, -8.599e-5
0.045, -5.492e-6, -8.627e-5
0.044, -5.473e-6, -8.654e-5
0.043, -5.463e-6, -8.682e-5
0.042, -5.457e-6, -8.709e-5
0.041, -5.443e-6, -8.736e-5
