Mar. 30, 2023   17:14:41
Cyclic Voltammetry
File: ref20mvs
Data Source:  Experiment
Instrument Model:  CHI600B
Header: 
Note: 

Init E (V) = 0.268
High E (V) = 0.5
Low E (V) = -0.2
Init P/N = N
Scan Rate (V/s) = 0.02
Segment = 2
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6

Segment 1:

Segment 2:

Potential/V, Current/A, Charge/C

Segment 1:
0.267, 3.849e-8, 1.924e-9
0.266, 3.190e-8, 3.519e-9
0.265, 2.782e-8, 4.911e-9
0.264, 2.507e-8, 6.164e-9
0.263, 2.157e-8, 7.243e-9
0.262, 1.781e-8, 8.133e-9
0.261, 1.576e-8, 8.921e-9
0.260, 1.378e-8, 9.610e-9
0.259, 1.178e-8, 1.020e-8
0.258, 9.850e-9, 1.069e-8
0.257, 7.933e-9, 1.109e-8
0.256, 5.970e-9, 1.139e-8
0.255, 3.899e-9, 1.158e-8
0.254, 1.358e-9, 1.165e-8
0.253, 4.598e-10, 1.167e-8
0.252, -1.001e-9, 1.162e-8
0.251, -2.949e-9, 1.148e-8
0.250, -4.155e-9, 1.127e-8
0.249, -5.533e-9, 1.099e-8
0.248, -6.725e-9, 1.065e-8
0.247, -8.368e-9, 1.024e-8
0.246, -9.223e-9, 9.775e-9
0.245, -9.917e-9, 9.279e-9
0.244, -1.186e-8, 8.686e-9
0.243, -1.311e-8, 8.031e-9
0.242, -1.395e-8, 7.333e-9
0.241, -1.516e-8, 6.575e-9
0.240, -1.658e-8, 5.746e-9
0.239, -1.781e-8, 4.856e-9
0.238, -1.867e-8, 3.922e-9
0.237, -1.927e-8, 2.959e-9
0.236, -2.010e-8, 1.954e-9
0.235, -2.145e-8, 8.813e-10
0.234, -2.305e-8, -2.710e-10
0.233, -2.373e-8, -1.457e-9
0.232, -2.389e-8, -2.652e-9
0.231, -2.518e-8, -3.911e-9
0.230, -2.706e-8, -5.264e-9
0.229, -2.758e-8, -6.643e-9
0.228, -2.852e-8, -8.069e-9
0.227, -2.883e-8, -9.511e-9
0.226, -2.951e-8, -1.099e-8
0.225, -3.111e-8, -1.254e-8
0.224, -3.191e-8, -1.414e-8
0.223, -3.270e-8, -1.577e-8
0.222, -3.332e-8, -1.744e-8
0.221, -3.378e-8, -1.913e-8
0.220, -3.419e-8, -2.084e-8
0.219, -3.495e-8, -2.258e-8
0.218, -3.549e-8, -2.436e-8
0.217, -3.682e-8, -2.620e-8
0.216, -3.676e-8, -2.804e-8
0.215, -3.715e-8, -2.990e-8
0.214, -3.755e-8, -3.177e-8
0.213, -3.751e-8, -3.365e-8
0.212, -3.737e-8, -3.552e-8
0.211, -3.776e-8, -3.740e-8
0.210, -3.802e-8, -3.931e-8
0.209, -3.789e-8, -4.120e-8
0.208, -3.805e-8, -4.310e-8
0.207, -3.813e-8, -4.501e-8
0.206, -3.834e-8, -4.693e-8
0.205, -3.798e-8, -4.883e-8
0.204, -3.848e-8, -5.075e-8
0.203, -3.861e-8, -5.268e-8
0.202, -3.873e-8, -5.462e-8
0.201, -3.908e-8, -5.657e-8
0.200, -3.917e-8, -5.853e-8
0.199, -4.017e-8, -6.054e-8
0.198, -4.044e-8, -6.256e-8
0.197, -4.082e-8, -6.460e-8
0.196, -4.133e-8, -6.667e-8
0.195, -4.189e-8, -6.876e-8
0.194, -4.227e-8, -7.087e-8
0.193, -4.225e-8, -7.299e-8
0.192, -4.295e-8, -7.514e-8
0.191, -4.293e-8, -7.728e-8
0.190, -4.324e-8, -7.944e-8
0.189, -4.337e-8, -8.161e-8
0.188, -4.366e-8, -8.379e-8
0.187, -4.362e-8, -8.598e-8
0.186, -4.436e-8, -8.819e-8
0.185, -4.504e-8, -9.045e-8
0.184, -4.484e-8, -9.269e-8
0.183, -4.552e-8, -9.496e-8
0.182, -4.628e-8, -9.728e-8
0.181, -4.662e-8, -9.961e-8
0.180, -4.672e-8, -1.019e-7
0.179, -4.744e-8, -1.043e-7
0.178, -4.760e-8, -1.067e-7
0.177, -4.786e-8, -1.091e-7
0.176, -4.800e-8, -1.115e-7
0.175, -4.811e-8, -1.139e-7
0.174, -4.830e-8, -1.163e-7
0.173, -4.883e-8, -1.188e-7
0.172, -4.895e-8, -1.212e-7
0.171, -4.929e-8, -1.237e-7
0.170, -4.977e-8, -1.262e-7
0.169, -5.010e-8, -1.287e-7
0.168, -5.067e-8, -1.312e-7
0.167, -5.152e-8, -1.338e-7
0.166, -5.182e-8, -1.364e-7
0.165, -5.206e-8, -1.390e-7
0.164, -5.245e-8, -1.416e-7
0.163, -5.274e-8, -1.442e-7
0.162, -5.283e-8, -1.469e-7
0.161, -5.314e-8, -1.495e-7
0.160, -5.358e-8, -1.522e-7
0.159, -5.382e-8, -1.549e-7
0.158, -5.409e-8, -1.576e-7
0.157, -5.445e-8, -1.603e-7
0.156, -5.527e-8, -1.631e-7
0.155, -5.538e-8, -1.658e-7
0.154, -5.645e-8, -1.687e-7
0.153, -5.634e-8, -1.715e-7
0.152, -5.697e-8, -1.743e-7
0.151, -5.695e-8, -1.772e-7
0.150, -5.762e-8, -1.801e-7
0.149, -5.747e-8, -1.829e-7
0.148, -5.781e-8, -1.858e-7
0.147, -5.787e-8, -1.887e-7
0.146, -5.797e-8, -1.916e-7
0.145, -5.853e-8, -1.945e-7
0.144, -5.840e-8, -1.975e-7
0.143, -5.888e-8, -2.004e-7
0.142, -5.903e-8, -2.034e-7
0.141, -5.978e-8, -2.064e-7
0.140, -6.013e-8, -2.094e-7
0.139, -6.042e-8, -2.124e-7
0.138, -6.141e-8, -2.154e-7
0.137, -6.135e-8, -2.185e-7
0.136, -6.214e-8, -2.216e-7
0.135, -6.196e-8, -2.247e-7
0.134, -6.246e-8, -2.278e-7
0.133, -6.240e-8, -2.310e-7
0.132, -6.274e-8, -2.341e-7
0.131, -6.295e-8, -2.372e-7
0.130, -6.297e-8, -2.404e-7
0.129, -6.363e-8, -2.436e-7
0.128, -6.351e-8, -2.468e-7
0.127, -6.429e-8, -2.500e-7
0.126, -6.410e-8, -2.532e-7
0.125, -6.522e-8, -2.564e-7
0.124, -6.557e-8, -2.597e-7
0.123, -6.582e-8, -2.630e-7
0.122, -6.651e-8, -2.663e-7
0.121, -6.668e-8, -2.697e-7
0.120, -6.690e-8, -2.730e-7
0.119, -6.725e-8, -2.764e-7
0.118, -6.752e-8, -2.797e-7
0.117, -6.755e-8, -2.831e-7
0.116, -6.771e-8, -2.865e-7
0.115, -6.802e-8, -2.899e-7
0.114, -6.800e-8, -2.933e-7
0.113, -6.853e-8, -2.967e-7
0.112, -6.861e-8, -3.002e-7
0.111, -6.953e-8, -3.036e-7
0.110, -6.967e-8, -3.071e-7
0.109, -7.013e-8, -3.106e-7
0.108, -7.083e-8, -3.142e-7
0.107, -7.095e-8, -3.177e-7
0.106, -7.157e-8, -3.213e-7
0.105, -7.168e-8, -3.249e-7
0.104, -7.198e-8, -3.285e-7
0.103, -7.235e-8, -3.321e-7
0.102, -7.258e-8, -3.357e-7
0.101, -7.311e-8, -3.394e-7
0.100, -7.331e-8, -3.431e-7
0.099, -7.411e-8, -3.468e-7
0.098, -7.385e-8, -3.505e-7
0.097, -7.472e-8, -3.542e-7
0.096, -7.550e-8, -3.580e-7
0.095, -7.570e-8, -3.617e-7
0.094, -7.616e-8, -3.656e-7
0.093, -7.641e-8, -3.694e-7
0.092, -7.686e-8, -3.732e-7
0.091, -7.687e-8, -3.771e-7
0.090, -7.723e-8, -3.809e-7
0.089, -7.728e-8, -3.848e-7
0.088, -7.738e-8, -3.887e-7
0.087, -7.755e-8, -3.925e-7
0.086, -7.765e-8, -3.964e-7
0.085, -7.794e-8, -4.003e-7
0.084, -7.804e-8, -4.042e-7
0.083, -7.877e-8, -4.082e-7
0.082, -7.879e-8, -4.121e-7
0.081, -7.987e-8, -4.161e-7
0.080, -7.986e-8, -4.201e-7
0.079, -8.050e-8, -4.241e-7
0.078, -8.087e-8, -4.281e-7
0.077, -8.121e-8, -4.322e-7
0.076, -8.162e-8, -4.363e-7
0.075, -8.177e-8, -4.404e-7
0.074, -8.214e-8, -4.445e-7
0.073, -8.216e-8, -4.486e-7
0.072, -8.245e-8, -4.527e-7
0.071, -8.282e-8, -4.569e-7
0.070, -8.292e-8, -4.610e-7
0.069, -8.335e-8, -4.652e-7
0.068, -8.364e-8, -4.694e-7
0.067, -8.435e-8, -4.736e-7
0.066, -8.494e-8, -4.778e-7
0.065, -8.523e-8, -4.821e-7
0.064, -8.598e-8, -4.864e-7
0.063, -8.609e-8, -4.907e-7
0.062, -8.648e-8, -4.950e-7
0.061, -8.669e-8, -4.993e-7
0.060, -8.700e-8, -5.037e-7
0.059, -8.714e-8, -5.080e-7
0.058, -8.724e-8, -5.124e-7
0.057, -8.780e-8, -5.168e-7
0.056, -8.765e-8, -5.212e-7
0.055, -8.848e-8, -5.256e-7
0.054, -8.871e-8, -5.300e-7
0.053, -8.915e-8, -5.345e-7
0.052, -8.981e-8, -5.390e-7
0.051, -9.019e-8, -5.435e-7
0.050, -9.079e-8, -5.480e-7
0.049, -9.109e-8, -5.526e-7
0.048, -9.136e-8, -5.572e-7
0.047, -9.170e-8, -5.617e-7
0.046, -9.199e-8, -5.663e-7
0.045, -9.235e-8, -5.710e-7
0.044, -9.266e-8, -5.756e-7
0.043, -9.333e-8, -5.803e-7
0.042, -9.308e-8, -5.849e-7
0.041, -9.408e-8, -5.896e-7
0.040, -9.442e-8, -5.943e-7
0.039, -9.506e-8, -5.991e-7
0.038, -9.564e-8, -6.039e-7
0.037, -9.570e-8, -6.087e-7
0.036, -9.649e-8, -6.135e-7
